   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_282.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00288909, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00497647, 0, 3.71186e-19, 0, 1.41421, -3.71186e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28142e-21, 0, 0, 0, 1.17253e-19, 0, 2.49652e-19, 0, 0
0.012842, 0, 7.26473e-19, 0, 1.41421, -7.26473e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32846e-21, 0, 0, 0, 2.32509e-19, 0, 4.85636e-19, 0, 0
0.0207076, 0, 1.40905e-18, 0, 1.41421, -1.40905e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60536e-20, 0, 0, 0, 4.56908e-19, 0, 9.3609e-19, 0, 0
0.0285731, 0, 2.76415e-18, 0, 1.41421, -2.76415e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12311e-20, 0, 0, 0, 9.11822e-19, 0, 1.8211e-18, 0, 0
0.0364387, 0, 5.25946e-18, 0, 1.41421, -5.25946e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90428e-20, 0, 0, 0, 1.75761e-18, 0, 3.44281e-18, 0, 0
0.0443043, 0, 9.92617e-18, 0, 1.41421, -9.92617e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10696e-19, 0, 0, 0, 3.36073e-18, 0, 6.45475e-18, 0, 0
0.0521698, 0, 1.85851e-17, 0, 1.41421, -1.85851e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05854e-19, 0, 0, 0, 6.37585e-18, 0, 1.20034e-17, 0, 0
0.0600354, 0, 3.45276e-17, 0, 1.41421, -3.45276e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79761e-19, 0, 0, 0, 1.20038e-17, 0, 2.2144e-17, 0, 0
0.067901, 0, 6.36584e-17, 0, 1.41421, -6.36584e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95105e-19, 0, 0, 0, 2.24314e-17, 0, 4.05319e-17, 0, 0
0.0757665, 0, 1.16492e-16, 0, 1.41421, -1.16492e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26251e-18, 0, 0, 0, 4.16125e-17, 0, 7.36175e-17, 0, 0
0.0836321, 0, 2.1162e-16, 0, 1.41421, -2.1162e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27571e-18, 0, 0, 0, 7.66464e-17, 0, 1.32698e-16, 0, 0
0.0914976, 0, 3.81668e-16, 0, 1.41421, -3.81668e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07139e-18, 0, 0, 0, 1.40192e-16, 0, 2.37405e-16, 0, 0
0.0993632, 0, 6.8351e-16, 0, 1.41421, -6.8351e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23035e-18, 0, 0, 0, 2.54675e-16, 0, 4.21605e-16, 0, 0
0.107229, 0, 1.21558e-15, 0, 1.41421, -1.21558e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2747e-17, 0, 0, 0, 4.59549e-16, 0, 7.43281e-16, 0, 0
0.115094, 0, 2.14709e-15, 0, 1.41421, -2.14709e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23113e-17, 0, 0, 0, 8.23792e-16, 0, 1.30098e-15, 0, 0
0.12296, 0, 3.76695e-15, 0, 1.41421, -3.76695e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87746e-17, 0, 0, 0, 1.46721e-15, 0, 2.26097e-15, 0, 0
