   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_58.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.202036, 0, 1.31007e-20, 0, 1.41421, -1.31007e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17737e-23, 0, 0, 2.11067e-25, 3.04077e-24, 0, 1.30256e-20, 0, 0, 0
0.209909, 0, 3.59423e-20, 0, 1.41421, -3.59423e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96914e-22, 0, 0, 5.82794e-25, 8.54782e-24, 0, 3.57363e-20, 0, 0, 0
0.217783, 0, 9.66036e-20, 0, 1.41421, -9.66036e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29249e-22, 0, 0, 1.57695e-24, 2.35156e-23, 0, 9.60493e-20, 0, 0, 0
0.225657, 0, 2.54594e-19, 0, 1.41421, -2.54594e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3948e-21, 0, 0, 4.18527e-24, 6.33791e-23, 0, 2.53131e-19, 0, 0, 0
0.233531, 0, 6.58439e-19, 0, 1.41421, -6.58439e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60726e-21, 0, 0, 1.0904e-23, 1.67507e-22, 0, 6.54653e-19, 0, 0, 0
0.241405, 0, 1.67223e-18, 0, 1.41421, -1.67223e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16129e-21, 0, 0, 2.79072e-23, 4.34479e-22, 0, 1.66261e-18, 0, 0, 0
0.249279, 0, 4.26148e-18, 0, 1.41421, -4.26148e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33463e-20, 0, 0, 7.18601e-23, 1.13556e-21, 0, 4.23693e-18, 0, 0, 0
0.257153, 0, 1.0425e-17, 0, 1.41421, -1.0425e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.71124e-20, 0, 0, 1.77268e-22, 2.83308e-21, 0, 1.03649e-17, 0, 0, 0
0.265027, 0, 2.50941e-17, 0, 1.41421, -2.50941e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37475e-19, 0, 0, 4.30453e-22, 6.95289e-21, 0, 2.49493e-17, 0, 0, 0
0.272901, 0, 5.94592e-17, 0, 1.41421, -5.94592e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25738e-19, 0, 0, 1.02933e-21, 1.6793e-20, 0, 5.91157e-17, 0, 0, 0
0.280775, 0, 1.3873e-16, 0, 1.41421, -1.3873e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.60004e-19, 0, 0, 2.42485e-21, 3.99325e-20, 0, 1.37928e-16, 0, 0, 0
0.288649, 0, 3.18828e-16, 0, 1.41421, -3.18828e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74662e-18, 0, 0, 5.62928e-21, 9.35228e-20, 0, 3.16982e-16, 0, 0, 0
0.296523, 0, 7.21938e-16, 0, 1.41421, -7.21938e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95493e-18, 0, 0, 1.28823e-20, 2.15798e-19, 0, 7.17755e-16, 0, 0, 0
0.304397, 0, 1.61105e-15, 0, 1.41421, -1.61105e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82558e-18, 0, 0, 2.9069e-20, 4.90739e-19, 0, 1.60171e-15, 0, 0, 0
0.312271, 0, 3.54393e-15, 0, 1.41421, -3.54393e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9414e-17, 0, 0, 6.46957e-20, 1.10014e-18, 0, 3.52335e-15, 0, 0, 0
0.320145, 0, 7.68623e-15, 0, 1.41421, -7.68623e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21054e-17, 0, 0, 1.42051e-19, 2.43193e-18, 0, 7.64155e-15, 0, 0, 0
0.328019, 0, 1.64391e-14, 0, 1.41421, -1.64391e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.00525e-17, 0, 0, 3.07782e-19, 5.30236e-18, 0, 1.63434e-14, 0, 0, 0
0.335893, 0, 3.46775e-14, 0, 1.41421, -3.46775e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89959e-16, 0, 0, 6.58225e-19, 1.1405e-17, 0, 3.44754e-14, 0, 0, 0
0.343767, 0, 7.21591e-14, 0, 1.41421, -7.21591e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95275e-16, 0, 0, 1.38978e-18, 2.42062e-17, 0, 7.17382e-14, 0, 0, 0
0.35164, 0, 1.48139e-13, 0, 1.41421, -1.48139e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11474e-16, 0, 0, 2.89778e-18, 5.07052e-17, 0, 1.47274e-13, 0, 0, 0
0.359514, 0, 3.00079e-13, 0, 1.41421, -3.00079e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64377e-15, 0, 0, 5.96832e-18, 1.04847e-16, 0, 2.98325e-13, 0, 0, 0
0.367388, 0, 5.99853e-13, 0, 1.41421, -5.99853e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28587e-15, 0, 0, 1.21462e-17, 2.14058e-16, 0, 5.96341e-13, 0, 0, 0
