SCLK_A,SCLK_B,PMC,real_time_A,real_time_B,live_time_A,live_time_B,yellow_piece_temp,XPERCHAN_A,XPERCHAN_B,OFFSET_A,OFFSET_B
725638583,725638584,32,40,40,35.42369816353453,35.30709808062408,-1.196,7.862,7.881,-18.5,-22.4
725638627,725638628,33,40,40,35.424097719659244,35.302928535844764,-1.132,7.862,7.881,-18.5,-22.4
725638671,725638672,34,40,40,35.43286525869169,35.281394927792185,-1.196,7.862,7.881,-18.5,-22.4
725638715,725638716,35,40,40,35.40895856969408,35.263123817424606,-1.325,7.862,7.881,-18.5,-22.4
725638759,725638759,36,40,40,35.5766668850078,35.56127457882556,-1.132,7.862,7.881,-18.5,-22.4
725638802,725638803,37,40,40,35.540417427283565,35.52471810379314,-1.293,7.862,7.881,-18.5,-22.4
725638846,725638847,38,40,40,35.42472827084832,35.28395652995653,-1.293,7.862,7.881,-18.5,-22.4
725638890,725638891,39,40,40,35.43396264083615,35.28008062075157,-1.164,7.862,7.881,-18.5,-22.4
725638934,725638935,40,40,40,35.43640921635562,35.28396349633893,-1.389,7.862,7.881,-18.5,-22.4
725638978,725638979,41,40,40,35.43682385173328,35.29676626103605,-1.196,7.862,7.881,-18.5,-22.4
725639022,725639022,42,40,40,35.4517447839581,35.29661602588701,-1.26,7.862,7.881,-18.5,-22.4
725639066,725639066,43,40,40,35.43935963485838,35.26812056017088,-1.1,7.862,7.881,-18.5,-22.4
725639255,725639255,44,40,40,35.426408640673344,35.27110595437407,-1.26,7.862,7.881,-18.5,-22.4
725639299,725639299,45,40,40,35.425905258940496,35.27643147613039,-1.293,7.862,7.881,-18.5,-22.4
725639342,725639343,46,40,40,35.52108617222194,35.51158383611879,-1.196,7.862,7.881,-18.5,-22.4
725639386,725639387,47,40,40,35.529583582447245,35.50116448061861,-1.196,7.862,7.881,-18.5,-22.4
725639430,725639431,48,40,40,35.41668397471917,35.29085340235925,-1.164,7.862,7.881,-18.5,-22.4
725639474,725639474,49,40,40,35.43032150562337,35.292294034561614,-1.164,7.862,7.881,-18.5,-22.4
725639518,725639518,50,40,40,35.453353112946836,35.282283971427475,-1.068,7.862,7.881,-18.5,-22.4
725639561,725639562,51,40,40,35.43721814636715,35.30943427918179,-1.1,7.862,7.881,-18.5,-22.4
725639605,725639606,52,40,40,35.45049454259002,35.301666616214696,-1.1,7.862,7.881,-18.5,-22.4
725639649,725639650,53,40,40,35.441007032609505,35.28755371393706,-1.1,7.862,7.881,-18.5,-22.4
725639693,725639694,54,40,40,35.44865770212766,35.288238769205336,-1.004,7.862,7.881,-18.5,-22.4
725639737,725639738,55,40,40,35.42264110818728,35.30116494270778,-1.036,7.862,7.881,-18.5,-22.4
725639781,725639782,56,40,40,35.49911763323109,35.464854983870396,-0.94,7.862,7.881,-18.5,-22.4
725640017,725640017,59,5,5,4.4365466710569645,4.431259161462328,-1.196,7.862,7.881,-18.5,-22.4
725640024,725640025,60,5,5,4.435904870389195,4.430020636754035,-1.357,7.862,7.881,-18.5,-22.4
725640032,725640033,61,5,5,4.434307764044944,4.436864092550291,-1.293,7.862,7.881,-18.5,-22.4
725640040,725640040,62,5,5,4.437081154110706,4.4276617241379315,-1.196,7.862,7.881,-18.5,-22.4
725640047,725640048,63,5,5,4.434691632889404,4.429423579307301,-1.1,7.862,7.881,-18.5,-22.4
725640055,725640055,64,5,5,4.426826836384857,4.427107574834923,-1.196,7.862,7.881,-18.5,-22.4
725640063,725640063,65,5,5,4.4352804965697485,4.428454606634376,-1.164,7.862,7.881,-18.5,-22.4
725640070,725640071,66,5,5,4.430594362569753,4.434540839764792,-1.1,7.862,7.881,-18.5,-22.4
725640078,725640079,67,5,5,4.435549215256468,4.436334704968944,-1.1,7.862,7.881,-18.5,-22.4
