,PMC,Mg peak area M1,Al peak area M1,Si peak area M1,P peak area M1,S peak area M1,Rh peak area M1,K peak area Corr M1,Ca(a) peak area M1,Ti(a) peak area M1,Cr peak area M1,Mn peak area M1,Fe(a) peak area M1,Ni peak area M1
0,242,70.81891486350001,399.657454158,3259.035440438847,39.59490079682501,40.05121889629999,527.0748618544012,112.3946406176536,3628.876964222079,1027.355980142474,35.14949148244591,86.16588461234073,7425.3556419124525,46.093642573749996
1,243,73.678298177,405.43393877799997,3323.1738940636387,42.0807536116,46.92785325744378,549.1399740667711,103.19902339600475,3669.431355598929,1042.1881152750384,42.4546576213517,94.32971071775202,7565.667615249699,48.54635726400001
2,244,69.5354983745,396.00507666249996,3263.0272548153,39.911942913425,51.62194270331876,552.2585394642363,117.99471802711668,3602.147011294639,1028.5596722105338,41.95918014658399,97.93877588906241,7432.170692976151,48.20356189425001
3,245,69.21090129350002,397.2391515205,3247.0245726685794,40.12771431707501,47.7568311522625,544.2415078762856,120.56774998035958,3597.4224246182803,1031.1151653555598,37.75274013452831,89.47691828258374,7404.131780049952,46.3748870685
4,246,69.792896847,389.7234246105,3277.817995805977,42.07765291345,47.118560467625024,546.9328324619433,115.25459549623221,3657.678763886011,1028.7140054065117,38.98073424769703,96.09619597406814,7667.966777990201,47.62404372975
5,247,71.741795684,396.44025705850004,3270.4100177589066,41.49682716960001,46.10988251377503,544.3849435942507,112.24218714643575,3603.2370140823064,1028.7949289558499,41.4290239118385,97.27704100622739,7467.913024841501,47.93581181175001
6,248,70.561144186,394.71777217949995,3217.099032750825,40.91664003735,49.81174911727501,535.858431958158,114.21267030911308,3584.8082128483393,1037.9908540653203,46.11830523560798,85.61718651278656,7615.2115310964,48.56421070500001
7,249,71.74541420400001,395.647961786,3269.4366392661623,40.50678229895,41.82976938365626,546.8490884100977,115.19630538918095,3593.809124487926,1044.1551719272818,34.6211342911629,90.89702805922084,7400.0733091604025,47.450999150499996
8,250,72.51946880599999,403.68422569649994,3302.3190202698484,41.42155456367501,48.026432165668744,542.3827141244,107.5957703036107,3638.2496145922373,1039.5550480380587,36.77485893173976,88.19990944010922,7560.765032648851,47.534771785250015
9,251,67.40369744750001,394.3894936945,3251.4325507148005,40.043253627575005,49.37655032461876,537.5912808989807,121.67472836044054,3582.029825461764,1016.7334325660531,41.93194623256116,91.91926559699593,7440.829355098151,47.32453425425
10,252,69.87199515600001,405.49751126399997,3265.140976648082,39.127352014575,47.49540941748751,535.4298061362276,114.31757608145479,3621.816355860862,1030.043645412408,39.885338643529096,86.80152520065846,7399.0057771008505,48.367085656499995
11,253,72.2087291025,402.08668190099996,3327.519697140785,40.95298653957501,44.0338524513625,553.3568799722904,115.22425266979407,3678.6839550122527,1048.020572012125,40.89056547225837,95.86197274315188,7565.855319304151,47.909337996249995
12,254,71.7187224435,393.3642380425,3247.487924522498,40.42309199362501,50.14556811586251,530.0738725877325,109.03642473732026,3607.3959977225572,1033.0088669300544,38.6601010703704,97.22501575806238,7554.744656440302,47.45646055625
13,255,69.93807378550001,398.05708175949997,3256.1392855942995,38.890475990025,43.737140395743744,538.2050821182661,102.40213515749052,3601.3267609293853,1023.4354739868107,40.37162618378409,93.52062065813959,7452.8404262636495,48.0772568735
14,256,72.0528700695,399.7376314065,3271.096985342475,40.91819896532501,44.10722094774998,541.5306458271604,109.31990705526667,3608.571939871351,1025.7083362780477,41.108057449044736,95.60722372695892,7420.844487040602,47.214897349999994
15,257,72.478322363,405.55222772250005,3341.859404983186,39.80117811230001,40.944027043093755,543.5152810985323,114.58450834231074,3664.4489383819155,1046.9478806642721,43.91632201615437,92.71923685128161,7562.610711222051,49.188752746249996
16,258,69.6558983645,394.5513039375,3252.701834109221,40.67672829605,47.12269092211876,546.7711601314254,115.74823947952626,3626.9048472712807,1019.9374957254115,41.514156394078384,92.75356540371425,7385.707832940251,48.15384501650001
17,259,70.42306635899999,393.109303073,3278.7574702458787,40.203452042325004,44.10401325295002,533.1731953125652,112.55967551281307,3616.9305988192145,1017.2067204341874,41.63242265916773,90.85565821138673,7392.8712543235015,49.395392107750006
18,260,74.0988492135,403.31608301299997,3311.9218516270885,41.91501925325001,51.98033568643128,553.0037554641578,117.16574458984759,3671.548982207434,1056.8700741729283,38.641591960270446,97.52026397889652,7619.851825905551,48.620775184500005
19,261,70.718277439,401.959435011,3284.9513947168216,40.16147368365001,43.46247575205,547.1052080460543,116.05186516562857,3590.4640013402013,1028.8038368096647,38.02457896213055,89.48083865357636,7396.202513843,48.0509254975
20,262,69.5448624595,393.66030647249994,3234.6018108825874,40.455511699625,52.610529969443746,528.656957487864,112.46406945044285,3586.6790391496206,1035.9003839128409,45.052128343612424,92.61063605238094,7497.072616740849,48.120469142999994
21,263,71.583487566,392.0750758005,3223.0577137041964,40.0611037794,50.85223524139376,535.7905575486446,105.96232245922738,3611.96520069127,1036.483281187976,46.8174939786159,99.35489695711742,7508.49143591635,46.89263137325
22,264,69.63753529899999,401.0469312035,3332.205371866533,40.31041185655,39.70284424496876,539.2252945276193,112.3456745626977,3610.4399352280643,1034.583273654229,46.42014569473018,97.2771650889573,7486.030860319551,47.78253473424999
23,265,72.5628455585,402.3902022595,3274.8252955526814,39.50774002945,41.291829359537495,538.500377670859,117.90983220483692,3609.1368387425728,1034.0796727569484,35.46467133971751,90.69604212264122,7403.618561251,47.136901669
24,266,71.49525797449999,396.3509754255,3247.516939030256,40.277039551650006,49.60965032021874,537.1485850817301,109.83003920928095,3571.4379416906863,1037.2154102534787,35.66439259756808,93.38942673859438,7404.898868953851,49.881373627
