   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_9.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00260879, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00525738, 0, 2.50578e-17, 0, 1.41421, -2.50578e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15269e-20, 0, 0, 2.56114e-22, 0, 0, 2.5006e-17, 0, 0, 0
0.0131235, 0, 4.76685e-17, 0, 1.41421, -4.76685e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.80219e-20, 0, 0, 4.94697e-22, 0, 0, 4.757e-17, 0, 0, 0
0.0209897, 0, 8.98997e-17, 0, 1.41421, -8.98997e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84863e-19, 0, 0, 9.47461e-22, 0, 0, 8.97139e-17, 0, 0, 0
0.0288559, 0, 1.68119e-16, 0, 1.41421, -1.68119e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45707e-19, 0, 0, 1.79969e-21, 0, 0, 1.67772e-16, 0, 0, 0
0.0367221, 0, 3.11811e-16, 0, 1.41421, -3.11811e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41183e-19, 0, 0, 3.39102e-21, 0, 0, 3.11166e-16, 0, 0, 0
0.0445882, 0, 5.73661e-16, 0, 1.41421, -5.73661e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17963e-18, 0, 0, 6.33935e-21, 0, 0, 5.72475e-16, 0, 0, 0
0.0524544, 0, 1.04708e-15, 0, 1.41421, -1.04708e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15314e-18, 0, 0, 1.17601e-20, 0, 0, 1.04492e-15, 0, 0, 0
0.0603206, 0, 1.89641e-15, 0, 1.41421, -1.89641e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89964e-18, 0, 0, 2.16521e-20, 0, 0, 1.89249e-15, 0, 0, 0
0.0681867, 0, 3.40854e-15, 0, 1.41421, -3.40854e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00905e-18, 0, 0, 3.95705e-20, 0, 0, 3.40149e-15, 0, 0, 0
0.0760529, 0, 6.08054e-15, 0, 1.41421, -6.08054e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25035e-17, 0, 0, 7.17937e-20, 0, 0, 6.06797e-15, 0, 0, 0
0.0839191, 0, 1.07672e-14, 0, 1.41421, -1.07672e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21408e-17, 0, 0, 1.29329e-19, 0, 0, 1.07449e-14, 0, 0, 0
0.0917853, 0, 1.89277e-14, 0, 1.41421, -1.89277e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89215e-17, 0, 0, 2.3134e-19, 0, 0, 1.88886e-14, 0, 0, 0
0.0996514, 0, 3.30347e-14, 0, 1.41421, -3.30347e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79297e-17, 0, 0, 4.10959e-19, 0, 0, 3.29663e-14, 0, 0, 0
0.107518, 0, 5.72477e-14, 0, 1.41421, -5.72477e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17719e-16, 0, 0, 7.25074e-19, 0, 0, 5.71293e-14, 0, 0, 0
0.115384, 0, 9.85142e-14, 0, 1.41421, -9.85142e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02576e-16, 0, 0, 1.2707e-18, 0, 0, 9.83103e-14, 0, 0, 0
0.12325, 0, 1.68355e-13, 0, 1.41421, -1.68355e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4619e-16, 0, 0, 2.21218e-18, 0, 0, 1.68006e-13, 0, 0, 0
0.131116, 0, 2.85739e-13, 0, 1.41421, -2.85739e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87571e-16, 0, 0, 3.82612e-18, 0, 0, 2.85148e-13, 0, 0, 0
0.138982, 0, 4.81685e-13, 0, 1.41421, -4.81685e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90498e-16, 0, 0, 6.57508e-18, 0, 0, 4.80688e-13, 0, 0, 0
0.146848, 0, 8.06544e-13, 0, 1.41421, -8.06544e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65852e-15, 0, 0, 1.12275e-17, 0, 0, 8.04875e-13, 0, 0, 0
0.154715, 0, 1.34151e-12, 0, 1.41421, -1.34151e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7586e-15, 0, 0, 1.90519e-17, 0, 0, 1.33873e-12, 0, 0, 0
0.162581, 0, 2.2204e-12, 0, 1.41421, -2.2204e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56598e-15, 0, 0, 3.22325e-17, 0, 0, 2.2158e-12, 0, 0, 0
0.170447, 0, 3.64392e-12, 0, 1.41421, -3.64392e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49337e-15, 0, 0, 5.40131e-17, 0, 0, 3.63637e-12, 0, 0, 0
0.178313, 0, 5.94131e-12, 0, 1.41421, -5.94131e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2218e-14, 0, 0, 8.9974e-17, 0, 0, 5.929e-12, 0, 0, 0
0.186179, 0, 9.62475e-12, 0, 1.41421, -9.62475e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97934e-14, 0, 0, 1.49001e-16, 0, 0, 9.60481e-12, 0, 0, 0
0.194045, 0, 1.54921e-11, 0, 1.41421, -1.54921e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18607e-14, 0, 0, 2.45335e-16, 0, 0, 1.546e-11, 0, 0, 0
0.201912, 0, 2.47774e-11, 0, 1.41421, -2.47774e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09594e-14, 0, 0, 4.01689e-16, 0, 0, 2.4726e-11, 0, 0, 0
0.209778, 0, 3.93772e-11, 0, 1.41421, -3.93772e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09918e-14, 0, 0, 6.54081e-16, 0, 0, 3.92956e-11, 0, 0, 0
0.217644, 0, 6.2186e-11, 0, 1.41421, -6.2186e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27916e-13, 0, 0, 1.05937e-15, 0, 0, 6.2057e-11, 0, 0, 0
0.22551, 0, 9.75908e-11, 0, 1.41421, -9.75908e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00764e-13, 0, 0, 1.70689e-15, 0, 0, 9.73884e-11, 0, 0, 0
0.233376, 0, 1.52199e-10, 0, 1.41421, -1.52199e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13145e-13, 0, 0, 2.73645e-15, 0, 0, 1.51883e-10, 0, 0, 0
0.241242, 0, 2.3589e-10, 0, 1.41421, -2.3589e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85418e-13, 0, 0, 4.36593e-15, 0, 0, 2.354e-10, 0, 0, 0
0.249109, 0, 3.63343e-10, 0, 1.41421, -3.63343e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47847e-13, 0, 0, 6.93381e-15, 0, 0, 3.62588e-10, 0, 0, 0
0.256975, 0, 5.5622e-10, 0, 1.41421, -5.5622e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14512e-12, 0, 0, 1.09644e-14, 0, 0, 5.55064e-10, 0, 0, 0
0.264841, 0, 8.46269e-10, 0, 1.41421, -8.46269e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74281e-12, 0, 0, 1.72674e-14, 0, 0, 8.44509e-10, 0, 0, 0
0.272707, 0, 1.27973e-09, 7.56701e-44, 1.41421, -1.27973e-09, 0, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 7.56701e-44, 2.63646e-12, 7.56701e-44, 7.56701e-44, 2.70919e-14, 7.56701e-44, 7.56701e-44, 1.27706e-09, 7.56701e-44, 7.56701e-44, 7.56701e-44
0.280573, 0, 1.92346e-09, 1.44194e-42, 1.41421, -1.92346e-09, 0, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 1.44194e-42, 3.96447e-12, 1.44194e-42, 1.44194e-42, 4.23607e-14, 1.44194e-42, 1.44194e-42, 1.91945e-09, 1.44194e-42, 1.44194e-42, 1.44194e-42
0.28844, 0, 2.87353e-09, 2.13362e-41, 1.41421, -2.87353e-09, 0, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 2.13362e-41, 5.92597e-12, 2.13362e-41, 2.13362e-41, 6.60314e-14, 2.13362e-41, 2.13362e-41, 2.86754e-09, 2.13362e-41, 2.13362e-41, 2.13362e-41
0.296306, 0, 4.26708e-09, 2.88855e-40, 1.41421, -4.26708e-09, 0, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 2.88855e-40, 8.80567e-12, 2.88855e-40, 2.88855e-40, 1.02652e-13, 2.88855e-40, 2.88855e-40, 4.25818e-09, 2.88855e-40, 2.88855e-40, 2.88855e-40
0.304172, 0, 6.29853e-09, 3.50984e-39, 1.41421, -6.29853e-09, 0, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 3.50984e-39, 1.30081e-11, 3.50984e-39, 3.50984e-39, 1.59216e-13, 3.50984e-39, 3.50984e-39, 6.28536e-09, 3.50984e-39, 3.50984e-39, 3.50984e-39
0.312038, 0, 9.24172e-09, 3.84215e-38, 1.41421, -9.24172e-09, 0, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 3.84215e-38, 1.91046e-11, 3.84215e-38, 3.84215e-38, 2.46478e-13, 3.84215e-38, 3.84215e-38, 9.22237e-09, 3.84215e-38, 3.84215e-38, 3.84215e-38
0.319904, 0, 1.34799e-08, 3.80462e-37, 1.41421, -1.34799e-08, 0, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 3.80462e-37, 2.7897e-11, 3.80462e-37, 3.80462e-37, 3.80997e-13, 3.80462e-37, 3.80462e-37, 1.34516e-08, 3.80462e-37, 3.80462e-37, 3.80462e-37
0.32777, 0, 1.95457e-08, 3.42724e-36, 1.41421, -1.95457e-08, 0, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 3.42724e-36, 4.05037e-11, 3.42724e-36, 3.42724e-36, 5.88279e-13, 3.42724e-36, 3.42724e-36, 1.95046e-08, 3.42724e-36, 3.42724e-36, 3.42724e-36
0.335637, 0, 2.81748e-08, 2.8231e-35, 1.41421, -2.81748e-08, 0, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 2.8231e-35, 5.8476e-11, 2.8231e-35, 2.8231e-35, 9.0765e-13, 2.8231e-35, 2.8231e-35, 2.81154e-08, 2.8231e-35, 2.8231e-35, 2.8231e-35
0.343503, 0, 4.03768e-08, 2.13673e-34, 1.41421, -4.03768e-08, 0, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 2.13673e-34, 8.39531e-11, 2.13673e-34, 2.13673e-34, 1.39981e-12, 2.13673e-34, 2.13673e-34, 4.02914e-08, 2.13673e-34, 2.13673e-34, 2.13673e-34
0.351369, 0, 5.75277e-08, 1.49265e-33, 1.41421, -5.75277e-08, 0, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.49265e-33, 1.19867e-10, 1.49265e-33, 1.49265e-33, 2.15847e-12, 1.49265e-33, 1.49265e-33, 5.74056e-08, 1.49265e-33, 1.49265e-33, 1.49265e-33
0.359235, 0, 8.14916e-08, 1.01872e-32, 1.41421, -8.14916e-08, 0, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.01872e-32, 1.70217e-10, 1.01872e-32, 1.01872e-32, 3.3284e-12, 1.01872e-32, 1.01872e-32, 8.1318e-08, 1.01872e-32, 1.01872e-32, 1.01872e-32
0.367101, 0, 1.14777e-07, 6.44002e-32, 1.41421, -1.14777e-07, 0, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 6.44002e-32, 2.40424e-10, 6.44002e-32, 6.44002e-32, 5.13317e-12, 6.44002e-32, 6.44002e-32, 1.14532e-07, 6.44002e-32, 6.44002e-32, 6.44002e-32
0.374967, 0, 1.6074e-07, 3.81587e-31, 1.41421, -1.6074e-07, 0, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.81587e-31, 3.37802e-10, 3.81587e-31, 3.81587e-31, 7.91787e-12, 3.81587e-31, 3.81587e-31, 1.60394e-07, 3.81587e-31, 3.81587e-31, 3.81587e-31
0.382834, 0, 2.23838e-07, 2.15513e-30, 1.41421, -2.23838e-07, 0, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 2.15513e-30, 4.72168e-10, 2.15513e-30, 2.15513e-30, 1.22145e-11, 2.15513e-30, 2.15513e-30, 2.23354e-07, 2.15513e-30, 2.15513e-30, 2.15513e-30
0.3907, 0, 3.0996e-07, 1.14566e-29, 1.41421, -3.0996e-07, 0, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 1.14566e-29, 6.56629e-10, 1.14566e-29, 1.14566e-29, 1.88418e-11, 1.14566e-29, 1.14566e-29, 3.09284e-07, 1.14566e-29, 1.14566e-29, 1.14566e-29
0.398566, 0, 4.26831e-07, 5.72235e-29, 1.41421, -4.26831e-07, 0, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 5.72235e-29, 9.08604e-10, 5.72235e-29, 5.72235e-29, 2.90569e-11, 5.72235e-29, 5.72235e-29, 4.25893e-07, 5.72235e-29, 5.72235e-29, 5.72235e-29
0.406432, 0, 5.84531e-07, 2.69808e-28, 1.41421, -5.84531e-07, 0, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 2.69808e-28, 1.25114e-09, 2.69808e-28, 2.69808e-28, 4.47841e-11, 2.69808e-28, 2.69808e-28, 5.83235e-07, 2.69808e-28, 2.69808e-28, 2.69808e-28
0.414298, 0, 7.96125e-07, 1.2098e-27, 1.41421, -7.96125e-07, 0, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.2098e-27, 1.71456e-09, 1.2098e-27, 1.2098e-27, 6.89592e-11, 1.2098e-27, 1.2098e-27, 7.94342e-07, 1.2098e-27, 1.2098e-27, 1.2098e-27
0.422164, 0, 1.07844e-06, 5.15242e-27, 1.41421, -1.07844e-06, 0, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 5.15242e-27, 2.33865e-09, 5.15242e-27, 5.15242e-27, 1.06042e-10, 5.15242e-27, 5.15242e-27, 1.076e-06, 5.15242e-27, 5.15242e-27, 5.15242e-27
0.430031, 0, 1.45305e-06, 2.08621e-26, 1.41421, -1.45305e-06, 0, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 2.08621e-26, 3.1753e-09, 2.08621e-26, 2.08621e-26, 1.62777e-10, 2.08621e-26, 2.08621e-26, 1.44971e-06, 2.08621e-26, 2.08621e-26, 2.08621e-26
0.437897, 0, 1.94737e-06, 8.04819e-26, 1.41421, -1.94737e-06, 0, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 8.04819e-26, 4.29193e-09, 8.04819e-26, 8.04819e-26, 2.49316e-10, 8.04819e-26, 8.04819e-26, 1.94283e-06, 8.04819e-26, 8.04819e-26, 8.04819e-26
0.445763, 0, 2.59616e-06, 2.96465e-25, 1.41421, -2.59616e-06, 0, 2.96465e-25, 2.96465e-25, 2.96465e-25, 2.96465e-25, 2.96465e-25, 2.96465e-25, 2.96465e-25, 2.96465e-25, 9.40069e-13, 2.96465e-25, 2.96465e-25, 2.96465e-25, 5.7758e-09, 2.96465e-25, 2.96465e-25, 3.80847e-10, 2.96465e-25, 2.96465e-25, 2.59e-06, 2.96465e-25, 2.96465e-25, 2.96465e-25
