   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_99.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00365902, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00420931, 0, 1.10619e-19, 0, 1.41421, -1.10619e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9663e-22, 0, 2.56863e-24, 1.34223e-23, 0, 1.10106e-19, 0, 0
0.0120776, 0, 2.25134e-19, 0, 1.41421, -2.25134e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01075e-21, 0, 5.2958e-24, 2.78665e-23, 0, 2.2409e-19, 0, 0
0.019946, 0, 4.53381e-19, 0, 1.41421, -4.53381e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03547e-21, 0, 1.08055e-23, 5.72361e-23, 0, 4.51277e-19, 0, 0
0.0278143, 0, 9.03748e-19, 0, 1.41421, -9.03748e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0574e-21, 0, 2.18274e-23, 1.16351e-22, 0, 8.99552e-19, 0, 0
0.0356826, 0, 1.78376e-18, 0, 1.41421, -1.78376e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00819e-21, 0, 4.36659e-23, 2.34183e-22, 0, 1.77547e-18, 0, 0
0.0435509, 0, 3.48698e-18, 0, 1.41421, -3.48698e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56548e-20, 0, 8.65358e-23, 4.66844e-22, 0, 3.47077e-18, 0, 0
0.0514193, 0, 6.7531e-18, 0, 1.41421, -6.7531e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0318e-20, 0, 1.69934e-22, 9.22061e-22, 0, 6.72169e-18, 0, 0
0.0592876, 0, 1.296e-17, 0, 1.41421, -1.296e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81834e-20, 0, 3.30755e-22, 1.80488e-21, 0, 1.28996e-17, 0, 0
0.0671559, 0, 2.50024e-17, 0, 1.41421, -2.50024e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12247e-19, 0, 6.4974e-22, 3.57087e-21, 0, 2.48859e-17, 0, 0
0.0750242, 0, 4.70745e-17, 0, 1.41421, -4.70745e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11338e-19, 0, 1.24105e-21, 6.85861e-21, 0, 4.68551e-17, 0, 0
0.0828926, 0, 8.78934e-17, 0, 1.41421, -8.78934e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94591e-19, 0, 2.35134e-21, 1.30674e-20, 0, 8.74834e-17, 0, 0
0.0907609, 0, 1.62765e-16, 0, 1.41421, -1.62765e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3072e-19, 0, 4.41972e-21, 2.47015e-20, 0, 1.62006e-16, 0, 0
0.0986292, 0, 2.98993e-16, 0, 1.41421, -2.98993e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3423e-18, 0, 8.24304e-21, 4.63357e-20, 0, 2.97597e-16, 0, 0
0.106498, 0, 5.44895e-16, 0, 1.41421, -5.44895e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44624e-18, 0, 1.52566e-20, 8.62665e-20, 0, 5.42347e-16, 0, 0
0.114366, 0, 9.85299e-16, 0, 1.41421, -9.85299e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42335e-18, 0, 2.8026e-20, 1.59432e-19, 0, 9.80688e-16, 0, 0
0.122234, 0, 1.76796e-15, 0, 1.41421, -1.76796e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93698e-18, 0, 5.11035e-20, 2.92535e-19, 0, 1.75968e-15, 0, 0
0.130103, 0, 3.14829e-15, 0, 1.41421, -3.14829e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41336e-17, 0, 9.25071e-20, 5.32985e-19, 0, 3.13353e-15, 0, 0
0.137971, 0, 5.5643e-15, 0, 1.41421, -5.5643e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49798e-17, 0, 1.66257e-19, 9.64375e-19, 0, 5.53819e-15, 0, 0
0.145839, 0, 9.76158e-15, 0, 1.41421, -9.76158e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38223e-17, 0, 2.96693e-19, 1.73311e-18, 0, 9.71573e-15, 0, 0
0.153708, 0, 1.69996e-14, 0, 1.41421, -1.69996e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63153e-17, 0, 5.25785e-19, 3.09393e-18, 0, 1.69196e-14, 0, 0
0.161576, 0, 2.93897e-14, 0, 1.41421, -2.93897e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31937e-16, 0, 9.25392e-19, 5.48719e-18, 0, 2.92514e-14, 0, 0
0.169444, 0, 5.04455e-14, 0, 1.41421, -5.04455e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26461e-16, 0, 1.6177e-18, 9.66923e-18, 0, 5.02077e-14, 0, 0
