   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_99.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.177312, 0, 8.59698e-14, 0, 1.41421, -8.59698e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85937e-16, 0, 2.8091e-18, 1.6931e-17, 0, 8.55641e-14, 0, 0
0.185181, 0, 1.45476e-13, 0, 1.41421, -1.45476e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53077e-16, 0, 4.84589e-18, 2.94624e-17, 0, 1.44789e-13, 0, 0
0.193049, 0, 2.44446e-13, 0, 1.41421, -2.44446e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09738e-15, 0, 8.30533e-18, 5.09553e-17, 0, 2.4329e-13, 0, 0
0.200917, 0, 4.0789e-13, 0, 1.41421, -4.0789e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83114e-15, 0, 1.41437e-17, 8.76028e-17, 0, 4.05957e-13, 0, 0
0.208786, 0, 6.7591e-13, 0, 1.41421, -6.7591e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03441e-15, 0, 2.39352e-17, 1.49721e-16, 0, 6.72702e-13, 0, 0
0.216654, 0, 1.11235e-12, 0, 1.41421, -1.11235e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99386e-15, 0, 4.02556e-17, 2.54405e-16, 0, 1.10706e-12, 0, 0
0.224522, 0, 1.8181e-12, 0, 1.41421, -1.8181e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16258e-15, 0, 6.72957e-17, 4.29833e-16, 0, 1.80944e-12, 0, 0
0.232391, 0, 2.95144e-12, 0, 1.41421, -2.95144e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32515e-14, 0, 1.11836e-16, 7.22186e-16, 0, 2.93736e-12, 0, 0
0.240259, 0, 4.75891e-12, 0, 1.41421, -4.75891e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1368e-14, 0, 1.84789e-16, 1.20678e-15, 0, 4.73615e-12, 0, 0
0.248127, 0, 7.62168e-12, 0, 1.41421, -7.62168e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42249e-14, 0, 3.03628e-16, 2.0058e-15, 0, 7.58515e-12, 0, 0
0.255996, 0, 1.21249e-11, 0, 1.41421, -1.21249e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44524e-14, 0, 4.96208e-16, 3.31658e-15, 0, 1.20667e-11, 0, 0
0.263864, 0, 1.91605e-11, 0, 1.41421, -1.91605e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60603e-14, 0, 8.06734e-16, 5.45626e-15, 0, 1.90681e-11, 0, 0
0.271732, 0, 3.00776e-11, 0, 1.41421, -3.00776e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35119e-13, 0, 1.30511e-15, 8.93249e-15, 0, 2.99323e-11, 0, 0
0.279601, 0, 4.69034e-11, 0, 1.41421, -4.69034e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10752e-13, 0, 2.10149e-15, 1.45544e-14, 0, 4.6676e-11, 0, 0
0.287469, 0, 7.26611e-11, 0, 1.41421, -7.26611e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26578e-13, 0, 3.36899e-15, 2.36071e-14, 0, 7.23075e-11, 0, 0
0.295337, 0, 1.11827e-10, 1.079e-43, 1.41421, -1.11827e-10, 1.079e-43, 0, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 1.079e-43, 5.02782e-13, 1.079e-43, 5.37904e-15, 3.81245e-14, 1.079e-43, 1.11281e-10, 1.079e-43, 1.079e-43
0.303206, 0, 1.70984e-10, 1.79927e-42, 1.41421, -1.70984e-10, 1.79927e-42, 0, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 1.79927e-42, 7.69069e-13, 1.79927e-42, 8.55646e-15, 6.13157e-14, 1.79927e-42, 1.70145e-10, 1.79927e-42, 1.79927e-42
0.311074, 0, 2.59737e-10, 2.50314e-41, 1.41421, -2.59737e-10, 2.50314e-41, 0, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 2.50314e-41, 1.16886e-12, 2.50314e-41, 1.35654e-14, 9.82305e-14, 2.50314e-41, 2.58456e-10, 2.50314e-41, 2.50314e-41
0.318942, 0, 3.92012e-10, 3.08368e-40, 1.41421, -3.92012e-10, 3.08368e-40, 0, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 3.08368e-40, 1.7652e-12, 3.08368e-40, 2.14436e-14, 1.56796e-13, 3.08368e-40, 3.90068e-10, 3.08368e-40, 3.08368e-40
0.326811, 0, 5.87844e-10, 3.41352e-39, 1.41421, -5.87844e-10, 3.41352e-39, 0, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 3.41352e-39, 2.64898e-12, 3.41352e-39, 3.38118e-14, 2.4943e-13, 3.41352e-39, 5.84912e-10, 3.41352e-39, 3.41352e-39
0.334679, 0, 8.75864e-10, 3.41594e-38, 1.41421, -8.75864e-10, 3.41594e-38, 0, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.41594e-38, 3.95038e-12, 3.41594e-38, 5.32026e-14, 3.95552e-13, 3.41594e-38, 8.71465e-10, 3.41594e-38, 3.41594e-38
0.342547, 0, 1.29669e-09, 3.10734e-37, 1.41421, -1.29669e-09, 3.10734e-37, 0, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 3.10734e-37, 5.85461e-12, 3.10734e-37, 8.35749e-14, 6.25485e-13, 3.10734e-37, 1.29013e-09, 3.10734e-37, 3.10734e-37
0.350416, 0, 1.90755e-09, 2.58282e-36, 1.41421, -1.90755e-09, 2.58282e-36, 0, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 2.58282e-36, 8.62352e-12, 2.58282e-36, 1.31122e-13, 9.86522e-13, 2.58282e-36, 1.89781e-09, 2.58282e-36, 2.58282e-36
0.358284, 0, 2.78848e-09, 1.97146e-35, 1.41421, -2.78848e-09, 1.97146e-35, 0, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.97146e-35, 1.26248e-11, 1.97146e-35, 2.05541e-13, 1.55233e-12, 1.97146e-35, 2.7741e-09, 1.97146e-35, 1.97146e-35
0.366152, 0, 4.0507e-09, 1.38599e-34, 1.41421, -4.0507e-09, 1.38599e-34, 0, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.38599e-34, 1.83717e-11, 1.38599e-34, 3.22022e-13, 2.43756e-12, 1.38599e-34, 4.02957e-09, 1.38599e-34, 1.38599e-34
0.374021, 0, 5.84762e-09, 9.45229e-34, 1.41421, -5.84762e-09, 9.45229e-34, 0, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 9.45229e-34, 2.65761e-11, 9.45229e-34, 5.04375e-13, 3.82045e-12, 9.45229e-34, 5.81672e-09, 9.45229e-34, 9.45229e-34
0.381889, 0, 8.38943e-09, 6.25567e-33, 1.41421, -8.38943e-09, 6.25567e-33, 0, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 6.25567e-33, 3.82196e-11, 6.25567e-33, 7.89926e-13, 5.97779e-12, 6.25567e-33, 8.34445e-09, 6.25567e-33, 6.25567e-33
0.389757, 0, 1.19621e-08, 3.89513e-32, 1.41421, -1.19621e-08, 3.89513e-32, 0, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 3.89513e-32, 5.46474e-11, 3.89513e-32, 1.23716e-12, 9.33871e-12, 3.89513e-32, 1.18968e-08, 3.89513e-32, 3.89513e-32
0.397626, 0, 1.6952e-08, 2.26749e-31, 1.41421, -1.6952e-08, 2.26749e-31, 0, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 2.26749e-31, 7.76931e-11, 2.26749e-31, 1.93764e-12, 1.45677e-11, 2.26749e-31, 1.68578e-08, 2.26749e-31, 2.26749e-31
0.405494, 0, 2.3878e-08, 1.23484e-30, 1.41421, -2.3878e-08, 1.23484e-30, 0, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.23484e-30, 1.09842e-10, 1.23484e-30, 3.03453e-12, 2.26911e-11, 1.23484e-30, 2.37425e-08, 1.23484e-30, 1.23484e-30
0.413362, 0, 3.34317e-08, 6.308e-30, 1.41421, -3.34317e-08, 6.308e-30, 0, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 6.308e-30, 1.54442e-10, 6.308e-30, 4.75114e-12, 3.52908e-11, 6.308e-30, 3.32372e-08, 6.308e-30, 6.308e-30
0.421231, 0, 4.6529e-08, 3.03201e-29, 1.41421, -4.6529e-08, 3.03201e-29, 0, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 3.03201e-29, 2.15985e-10, 3.03201e-29, 7.43495e-12, 5.47966e-11, 3.03201e-29, 4.62507e-08, 3.03201e-29, 3.03201e-29
0.429099, 0, 6.43751e-08, 1.37563e-28, 1.41421, -6.43751e-08, 1.37563e-28, 0, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 1.37563e-28, 3.00462e-10, 1.37563e-28, 1.16248e-11, 8.49283e-11, 1.37563e-28, 6.39781e-08, 1.37563e-28, 1.37563e-28
0.436967, 0, 8.85454e-08, 5.90895e-28, 1.41421, -8.85454e-08, 5.90895e-28, 0, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 5.90895e-28, 4.15824e-10, 5.90895e-28, 1.81528e-11, 1.31355e-10, 5.90895e-28, 8.79801e-08, 5.90895e-28, 5.90895e-28
0.444836, 0, 1.21086e-07, 2.40994e-27, 1.41421, -1.21086e-07, 2.40994e-27, 0, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 2.40994e-27, 5.7257e-10, 2.40994e-27, 2.82987e-11, 2.02676e-10, 2.40994e-27, 1.20282e-07, 2.40994e-27, 2.40994e-27
0.452704, 0, 1.64637e-07, 9.35772e-27, 1.41421, -1.64637e-07, 9.35772e-27, 0, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 9.35772e-27, 7.84505e-10, 9.35772e-27, 4.40204e-11, 3.11866e-10, 9.35772e-27, 1.63496e-07, 9.35772e-27, 9.35772e-27
0.460572, 0, 2.22583e-07, 3.46818e-26, 1.41421, -2.22583e-07, 3.46818e-26, 0, 3.46818e-26, 3.46818e-26, 3.46818e-26, 3.46818e-26, 3.46818e-26, 3.46818e-26, 1.48782e-13, 3.46818e-26, 3.46818e-26, 3.46818e-26, 1.06968e-09, 3.46818e-26, 6.82971e-11, 4.7838e-10, 3.46818e-26, 2.20967e-07, 3.46818e-26, 3.46818e-26
0.468441, 0, 2.99239e-07, 1.22987e-25, 1.41421, -2.99239e-07, 1.22987e-25, 0, 1.22987e-25, 1.22987e-25, 1.22987e-25, 1.22987e-25, 1.22987e-25, 1.22987e-25, 4.81522e-13, 1.22987e-25, 1.22987e-25, 1.22987e-25, 1.4516e-09, 1.22987e-25, 1.05635e-10, 7.31199e-10, 1.22987e-25, 2.9695e-07, 1.22987e-25, 1.22987e-25
0.476309, 0, 4.02317e-07, 4.22656e-25, 1.41421, -4.02317e-07, 2.74107e-12, 0, 1.56876e-14, 1.137e-13, 8.98066e-14, 5.68719e-13, 3.13606e-11, 9.49997e-15, 7.91618e-12, 1.36275e-11, 3.69666e-12, 2.10943e-09, 1.96077e-09, 3.55073e-14, 1.62809e-10, 1.1132e-09, 2.12357e-15, 3.96888e-07, 4.22656e-25, 2.19993e-11
0.484177, 0, 5.40052e-07, 8.56514e-10, 1.41421, -5.40052e-07, 8.65352e-10, 8.56514e-10, 8.56564e-10, 8.5688e-10, 8.56803e-10, 8.58347e-10, 9.57632e-10, 8.56544e-10, 8.809e-10, 9.00454e-10, 8.68433e-10, 7.65813e-09, 3.49296e-09, 8.56628e-10, 1.10646e-09, 2.54383e-09, 8.56521e-10, 5.28413e-07, 8.56514e-10, 9.27448e-10
0.492046, 0, 7.24353e-07, 2.75177e-09, 1.41421, -7.24353e-07, 2.77386e-09, 2.75177e-09, 2.7519e-09, 2.75269e-09, 2.7525e-09, 2.75636e-09, 3.00447e-09, 2.75185e-09, 2.81181e-09, 2.86158e-09, 2.78156e-09, 1.9749e-08, 6.28082e-09, 2.75206e-09, 3.13386e-09, 5.29699e-09, 2.75179e-09, 7.00241e-07, 2.75177e-09, 2.92904e-09
0.499914, 0, 9.73585e-07, 6.8533e-09, 1.41421, -9.73585e-07, 6.90356e-09, 6.8533e-09, 6.85359e-09, 6.85538e-09, 6.85495e-09, 6.86373e-09, 7.42833e-09, 6.85347e-09, 6.9889e-09, 7.10317e-09, 6.92108e-09, 4.55323e-08, 1.15562e-08, 6.85395e-09, 7.43462e-09, 1.06725e-08, 6.85334e-09, 9.24305e-07, 6.8533e-09, 7.25668e-09
0.507782, 0, 1.3162e-06, 1.55585e-08, 1.41421, -1.3162e-06, 1.56674e-08, 1.55585e-08, 1.55591e-08, 1.5563e-08, 1.55621e-08, 1.55811e-08, 1.6805e-08, 1.55589e-08, 1.5851e-08, 1.61002e-08, 1.57054e-08, 9.94054e-08, 2.17985e-08, 1.55599e-08, 1.64385e-08, 2.12573e-08, 1.55586e-08, 1.21629e-06, 1.55585e-08, 1.64329e-08
0.515651, 0, 1.79853e-06, 3.36663e-08, 1.41421, -1.79853e-06, 3.3895e-08, 3.36663e-08, 3.36676e-08, 3.36758e-08, 3.36738e-08, 3.37137e-08, 3.62836e-08, 3.36671e-08, 3.42778e-08, 3.48036e-08, 3.39748e-08, 2.09719e-07, 4.19099e-08, 3.36692e-08, 3.49914e-08, 4.21192e-08, 3.36664e-08, 1.59765e-06, 3.36663e-08, 3.55023e-08
0.523519, 0, 2.49862e-06, 7.05874e-08, 1.41421, -2.49862e-06, 7.1056e-08, 7.05874e-08, 7.05901e-08, 7.06069e-08, 7.06028e-08, 7.06847e-08, 7.59477e-08, 7.05891e-08, 7.19551e-08, 7.29167e-08, 7.12193e-08, 4.31141e-07, 8.14314e-08, 7.05935e-08, 7.25718e-08, 8.30629e-08, 7.05878e-08, 2.09871e-06, 7.05874e-08, 7.43477e-08
0.531387, 0, 3.55246e-06, 1.44767e-07, 1.41421, -3.55246e-06, 1.45707e-07, 1.44767e-07, 1.44772e-07, 1.44806e-07, 1.44798e-07, 1.44962e-07, 1.55523e-07, 1.4477e-07, 1.4838e-07, 1.49441e-07, 1.46035e-07, 8.68259e-07, 1.58971e-07, 1.44779e-07, 1.47722e-07, 1.63045e-07, 1.44768e-07, 2.76444e-06, 1.44767e-07, 1.52312e-07
0.539255, 0, 5.18875e-06, 2.89363e-07, 1.41421, -5.18875e-06, 2.91207e-07, 2.89363e-07, 2.89373e-07, 2.89439e-07, 2.89423e-07, 2.89745e-07, 3.10465e-07, 2.89369e-07, 2.97473e-07, 2.98533e-07, 2.9185e-07, 1.70879e-06, 3.0789e-07, 2.89387e-07, 2.93737e-07, 3.15965e-07, 2.89364e-07, 3.66174e-06, 2.89363e-07, 3.04166e-07
0.547124, 0, 7.8116e-06, 5.67134e-07, 1.41421, -7.8116e-06, 5.70684e-07, 5.67134e-07, 5.67154e-07, 5.67281e-07, 5.6725e-07, 5.67871e-07, 6.07743e-07, 5.67146e-07, 5.84334e-07, 5.8478e-07, 5.71921e-07, 3.29865e-06, 5.91199e-07, 5.6718e-07, 5.73571e-07, 6.05592e-07, 5.67137e-07, 4.89777e-06, 5.67134e-07, 5.95621e-07
0.554992, 0, 1.21135e-05, 1.0903e-06, 1.41421, -1.21135e-05, 1.097e-06, 1.0903e-06, 1.09033e-06, 1.09057e-06, 1.09051e-06, 1.09169e-06, 1.16696e-06, 1.09032e-06, 1.12556e-06, 1.12361e-06, 1.09933e-06, 6.2473e-06, 1.12142e-06, 1.09038e-06, 1.09971e-06, 1.14552e-06, 1.0903e-06, 6.64392e-06, 1.0903e-06, 1.14408e-06
0.56286, 0, 1.92712e-05, 2.05639e-06, 1.41421, -1.92712e-05, 2.0688e-06, 2.05639e-06, 2.05646e-06, 2.05691e-06, 2.0568e-06, 2.05897e-06, 2.19842e-06, 2.05643e-06, 2.12637e-06, 2.11811e-06, 2.07313e-06, 1.16098e-05, 2.0965e-06, 2.05655e-06, 2.07007e-06, 2.13514e-06, 2.0564e-06, 9.17898e-06, 2.05639e-06, 2.15602e-06
0.570729, 0, 3.12562e-05, 3.80571e-06, 1.41421, -3.12562e-05, 3.82828e-06, 3.80571e-06, 3.80584e-06, 3.80665e-06, 3.80645e-06, 3.81039e-06, 4.06391e-06, 3.80579e-06, 3.94262e-06, 3.91791e-06, 3.83615e-06, 2.11733e-05, 3.85718e-06, 3.806e-06, 3.82548e-06, 3.91727e-06, 3.80573e-06, 1.29575e-05, 3.80571e-06, 3.98684e-06
0.578597, 0, 5.13109e-05, 6.91167e-06, 1.41421, -5.13109e-05, 6.95194e-06, 6.91167e-06, 6.9119e-06, 6.91334e-06, 6.91299e-06, 6.92003e-06, 7.37236e-06, 6.91181e-06, 7.17571e-06, 7.11186e-06, 6.96597e-06, 3.78993e-05, 6.97746e-06, 6.91219e-06, 6.94005e-06, 7.06867e-06, 6.9117e-06, 1.87171e-05, 6.91167e-06, 7.23484e-06
0.586465, 0, 8.46674e-05, 1.23195e-05, 1.41421, -8.46674e-05, 1.239e-05, 1.23195e-05, 1.23199e-05, 1.23224e-05, 1.23218e-05, 1.23341e-05, 1.31263e-05, 1.23197e-05, 1.28214e-05, 1.267e-05, 1.24146e-05, 6.65879e-05, 1.24032e-05, 1.23204e-05, 1.236e-05, 1.2539e-05, 1.23195e-05, 2.76427e-05, 1.23195e-05, 1.28854e-05
0.594334, 0, 0.000139603, 2.15529e-05, 1.41421, -0.000139603, 2.16742e-05, 2.15529e-05, 2.15536e-05, 2.1558e-05, 2.15569e-05, 2.15781e-05, 2.294e-05, 2.15534e-05, 2.24932e-05, 2.21557e-05, 2.17164e-05, 0.000114849, 2.16593e-05, 2.15545e-05, 2.16104e-05, 2.18582e-05, 2.1553e-05, 4.16135e-05, 2.15529e-05, 2.25259e-05
0.602202, 0, 0.000228933, 3.70143e-05, 1.41421, -0.000228933, 3.72189e-05, 3.70143e-05, 3.70155e-05, 3.70228e-05, 3.7021e-05, 3.70567e-05, 3.93553e-05, 3.7015e-05, 3.87499e-05, 3.80315e-05, 3.72902e-05, 0.000194477, 3.71488e-05, 3.70169e-05, 3.70955e-05, 3.74365e-05, 3.70145e-05, 6.35536e-05, 3.70143e-05, 3.86565e-05
0.61007, 0, 0.000372078, 6.24052e-05, 1.41421, -0.000372078, 6.27443e-05, 6.24052e-05, 6.24071e-05, 6.24193e-05, 6.24163e-05, 6.24755e-05, 6.62845e-05, 6.24064e-05, 6.55614e-05, 6.40909e-05, 6.28625e-05, 0.000323341, 6.25749e-05, 6.24096e-05, 6.25191e-05, 6.29861e-05, 6.24055e-05, 9.79353e-05, 6.24052e-05, 6.51265e-05
0.617939, 0, 0.000597836, 0.000103302, 1.41421, -0.000597836, 0.000103854, 0.000103302, 0.000103305, 0.000103325, 0.00010332, 0.000103417, 0.000109615, 0.000103304, 0.000108955, 0.000106045, 0.000104046, 0.000527906, 0.000103516, 0.000103309, 0.000103461, 0.000104098, 0.000103303, 0.000151462, 0.000103302, 0.00010773
