   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_392.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0112241, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00337788, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00446838, 0, 2.36104e-17, 0, 1.41421, -2.36104e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56897e-19, 0, 0, 4.72791e-20, 0, 9.15342e-21, 2.33971e-17, 0, 0, 0
0.0123146, 0, 4.12729e-17, 0, 1.41421, -4.12729e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74256e-19, 0, 0, 8.41317e-20, 0, 1.63321e-20, 4.08982e-17, 0, 0, 0
0.0201609, 0, 7.16828e-17, 0, 1.41421, -7.16828e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76307e-19, 0, 0, 1.48754e-19, 0, 2.89647e-20, 7.10288e-17, 0, 0, 0
0.0280072, 0, 1.23709e-16, 0, 1.41421, -1.23709e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21962e-19, 0, 0, 2.61365e-19, 0, 5.10644e-20, 1.22574e-16, 0, 0, 0
0.0358534, 0, 2.12161e-16, 0, 1.41421, -2.12161e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4096e-18, 0, 0, 4.56402e-19, 0, 8.95046e-20, 2.10206e-16, 0, 0, 0
0.0436997, 0, 3.61624e-16, 0, 1.41421, -3.61624e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40252e-18, 0, 0, 7.92168e-19, 0, 1.55993e-19, 3.58273e-16, 0, 0, 0
0.051546, 0, 6.12648e-16, 0, 1.41421, -6.12648e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07004e-18, 0, 0, 1.36678e-18, 0, 2.70361e-19, 6.06941e-16, 0, 0, 0
0.0593922, 0, 1.03172e-15, 0, 1.41421, -1.03172e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85372e-18, 0, 0, 2.34438e-18, 0, 4.6602e-19, 1.02206e-15, 0, 0, 0
0.0672385, 0, 1.72721e-15, 0, 1.41421, -1.72721e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14733e-17, 0, 0, 3.99805e-18, 0, 7.98974e-19, 1.71094e-15, 0, 0, 0
0.0750847, 0, 2.87468e-15, 0, 1.41421, -2.87468e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90945e-17, 0, 0, 6.77941e-18, 0, 1.36259e-18, 2.84745e-15, 0, 0, 0
0.082931, 0, 4.75691e-15, 0, 1.41421, -4.75691e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15949e-17, 0, 0, 1.14312e-17, 0, 2.31173e-18, 4.71157e-15, 0, 0, 0
0.0907773, 0, 7.82666e-15, 0, 1.41421, -7.82666e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19808e-17, 0, 0, 1.9168e-17, 0, 3.90197e-18, 7.75161e-15, 0, 0, 0
0.0986235, 0, 1.28046e-14, 0, 1.41421, -1.28046e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50369e-17, 0, 0, 3.19667e-17, 0, 6.55297e-18, 1.26811e-14, 0, 0, 0
0.10647, 0, 2.08316e-14, 0, 1.41421, -2.08316e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38336e-16, 0, 0, 5.30253e-17, 0, 1.09504e-17, 2.06293e-14, 0, 0, 0
0.114316, 0, 3.37023e-14, 0, 1.41421, -3.37023e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23792e-16, 0, 0, 8.74906e-17, 0, 1.82091e-17, 3.33728e-14, 0, 0, 0
0.122162, 0, 5.4225e-14, 0, 1.41421, -5.4225e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60046e-16, 0, 0, 1.43604e-16, 0, 3.01328e-17, 5.36912e-14, 0, 0, 0
0.130009, 0, 8.67677e-14, 0, 1.41421, -8.67677e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76087e-16, 0, 0, 2.34492e-16, 0, 4.96257e-17, 8.59075e-14, 0, 0, 0
0.137855, 0, 1.38087e-13, 0, 1.41421, -1.38087e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16758e-16, 0, 0, 3.8096e-16, 0, 8.13427e-17, 1.36708e-13, 0, 0, 0
0.145701, 0, 2.18574e-13, 0, 1.41421, -2.18574e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45101e-15, 0, 0, 6.15819e-16, 0, 1.32719e-16, 2.16374e-13, 0, 0, 0
0.153547, 0, 3.44117e-13, 0, 1.41421, -3.44117e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2843e-15, 0, 0, 9.90575e-16, 0, 2.15557e-16, 3.40627e-13, 0, 0, 0
0.161394, 0, 5.3888e-13, 0, 1.41421, -5.3888e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57694e-15, 0, 0, 1.5857e-15, 0, 3.48517e-16, 5.33369e-13, 0, 0, 0
0.16924, 0, 8.39395e-13, 0, 1.41421, -8.39395e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57133e-15, 0, 0, 2.52635e-15, 0, 5.60984e-16, 8.30736e-13, 0, 0, 0
