   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_392.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.177086, 0, 1.30059e-12, 0, 1.41421, -1.30059e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.63194e-15, 0, 0, 4.00642e-15, 0, 8.99025e-16, 1.28705e-12, 0, 0, 0
0.184932, 0, 2.00458e-12, 0, 1.41421, -2.00458e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33036e-14, 0, 0, 6.32528e-15, 0, 1.43456e-15, 1.98352e-12, 0, 0, 0
0.192779, 0, 3.07344e-12, 0, 1.41421, -3.07344e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03963e-14, 0, 0, 9.94278e-15, 0, 2.27942e-15, 3.04082e-12, 0, 0, 0
0.200625, 0, 4.68765e-12, 0, 1.41421, -4.68765e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11076e-14, 0, 0, 1.55635e-14, 0, 3.60684e-15, 4.63737e-12, 0, 0, 0
0.208471, 0, 7.11249e-12, 0, 1.41421, -7.11249e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71979e-14, 0, 0, 2.42631e-14, 0, 5.68414e-15, 7.03534e-12, 0, 0, 0
0.216317, 0, 1.07358e-11, 0, 1.41421, -1.07358e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12408e-14, 0, 0, 3.76797e-14, 0, 8.92235e-15, 1.06179e-11, 0, 0, 0
0.224164, 0, 1.61211e-11, 0, 1.41421, -1.61211e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06978e-13, 0, 0, 5.83015e-14, 0, 1.39514e-14, 1.59419e-11, 0, 0, 0
0.23201, 0, 2.40834e-11, 0, 1.41421, -2.40834e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59819e-13, 0, 0, 8.98996e-14, 0, 2.17333e-14, 2.3812e-11, 0, 0, 0
0.239856, 0, 3.57939e-11, 0, 1.41421, -3.57939e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37542e-13, 0, 0, 1.38181e-13, 0, 3.37333e-14, 3.53844e-11, 0, 0, 0
0.247703, 0, 5.29266e-11, 0, 1.41421, -5.29266e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51269e-13, 0, 0, 2.11772e-13, 0, 5.21764e-14, 5.23114e-11, 0, 0, 0
0.255549, 0, 7.78612e-11, 0, 1.41421, -7.78612e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.16816e-13, 0, 0, 3.23699e-13, 0, 8.04322e-14, 7.69403e-11, 0, 0, 0
0.263395, 0, 1.13961e-10, 9.94922e-44, 1.41421, -1.13961e-10, 0, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 7.56551e-13, 9.94922e-44, 9.94922e-44, 4.93624e-13, 9.94922e-44, 1.23592e-13, 1.12588e-10, 9.94922e-44, 9.94922e-44, 9.94922e-44
0.271241, 0, 1.65956e-10, 1.63952e-42, 1.41421, -1.65956e-10, 0, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.63952e-42, 1.10194e-12, 1.63952e-42, 1.63952e-42, 7.51231e-13, 1.63952e-42, 1.89331e-13, 1.63913e-10, 1.63952e-42, 1.63952e-42, 1.63952e-42
0.279088, 0, 2.40454e-10, 2.27515e-41, 1.41421, -2.40454e-10, 0, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 2.27515e-41, 1.59701e-12, 2.27515e-41, 2.27515e-41, 1.14134e-12, 2.27515e-41, 2.89196e-13, 2.37427e-10, 2.27515e-41, 2.27515e-41, 2.27515e-41
0.286934, 0, 3.46647e-10, 2.80055e-40, 1.41421, -3.46647e-10, 0, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.80055e-40, 2.30301e-12, 2.80055e-40, 2.80055e-40, 1.73165e-12, 2.80055e-40, 4.40527e-13, 3.42172e-10, 2.80055e-40, 2.80055e-40, 2.80055e-40
0.29478, 0, 4.9724e-10, 3.09586e-39, 1.41421, -4.9724e-10, 0, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.09586e-39, 3.30476e-12, 3.09586e-39, 3.09586e-39, 2.62456e-12, 3.09586e-39, 6.69317e-13, 4.90642e-10, 3.09586e-39, 3.09586e-39, 3.09586e-39
0.302626, 0, 7.09708e-10, 3.09259e-38, 1.41421, -7.09708e-10, 0, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 3.09259e-38, 4.71902e-12, 3.09259e-38, 3.09259e-38, 3.97497e-12, 3.09259e-38, 1.01447e-12, 6.99999e-10, 3.09259e-38, 3.09259e-38, 3.09259e-38
0.310473, 0, 1.00795e-09, 2.8061e-37, 1.41421, -1.00795e-09, 0, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 2.8061e-37, 6.70575e-12, 2.8061e-37, 2.8061e-37, 6.01755e-12, 2.8061e-37, 1.53415e-12, 9.93689e-10, 2.8061e-37, 2.8061e-37, 2.8061e-37
0.318319, 0, 1.42446e-09, 2.3244e-36, 1.41421, -1.42446e-09, 0, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 2.3244e-36, 9.4829e-12, 2.3244e-36, 2.3244e-36, 9.10796e-12, 2.3244e-36, 2.31513e-12, 1.40356e-09, 2.3244e-36, 2.3244e-36, 2.3244e-36
0.326165, 0, 2.00325e-09, 1.76696e-35, 1.41421, -2.00325e-09, 0, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.76696e-35, 1.33461e-11, 1.76696e-35, 1.76696e-35, 1.37857e-11, 1.76696e-35, 3.48677e-12, 1.97263e-09, 1.76696e-35, 1.76696e-35, 1.76696e-35
0.334011, 0, 2.80351e-09, 1.2385e-34, 1.41421, -2.80351e-09, 0, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.2385e-34, 1.8694e-11, 1.2385e-34, 1.2385e-34, 2.08692e-11, 1.2385e-34, 5.24155e-12, 2.75871e-09, 1.2385e-34, 1.2385e-34, 1.2385e-34
0.341858, 0, 3.90454e-09, 8.21272e-34, 1.41421, -3.90454e-09, 0, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 8.21272e-34, 2.6062e-11, 8.21272e-34, 8.21272e-34, 3.16005e-11, 8.21272e-34, 7.86553e-12, 3.83901e-09, 8.21272e-34, 8.21272e-34, 8.21272e-34
0.349704, 0, 5.41194e-09, 5.37017e-33, 1.41421, -5.41194e-09, 0, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 5.37017e-33, 3.61654e-11, 5.37017e-33, 5.37017e-33, 4.78628e-11, 5.37017e-33, 1.1783e-11, 5.31613e-09, 5.37017e-33, 5.37017e-33, 5.37017e-33
0.35755, 0, 7.46572e-09, 3.32221e-32, 1.41421, -7.46572e-09, 0, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 3.32221e-32, 4.99553e-11, 3.32221e-32, 3.32221e-32, 7.25102e-11, 3.32221e-32, 1.76222e-11, 7.32563e-09, 3.32221e-32, 3.32221e-32, 3.32221e-32
0.365396, 0, 1.02505e-08, 1.91927e-31, 1.41421, -1.02505e-08, 0, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 1.91927e-31, 6.86908e-11, 1.91927e-31, 1.91927e-31, 1.09862e-10, 1.91927e-31, 2.63114e-11, 1.00457e-08, 1.91927e-31, 1.91927e-31, 1.91927e-31
0.373243, 0, 1.40087e-08, 1.03793e-30, 1.41421, -1.40087e-08, 0, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 1.03793e-30, 9.40307e-11, 1.03793e-30, 1.03793e-30, 1.66441e-10, 1.03793e-30, 3.92186e-11, 1.3709e-08, 1.03793e-30, 1.03793e-30, 1.03793e-30
0.381089, 0, 1.9057e-08, 5.2637e-30, 1.41421, -1.9057e-08, 0, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 5.2637e-30, 1.28151e-10, 5.2637e-30, 5.2637e-30, 2.52079e-10, 5.2637e-30, 5.83547e-11, 1.86184e-08, 5.2637e-30, 5.2637e-30, 5.2637e-30
0.388935, 0, 2.58073e-08, 2.51012e-29, 1.41421, -2.58073e-08, 0, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 2.51012e-29, 1.73895e-10, 2.51012e-29, 2.51012e-29, 3.81553e-10, 2.51012e-29, 8.66662e-11, 2.51651e-08, 2.51012e-29, 2.51012e-29, 2.51012e-29
0.396782, 0, 3.47928e-08, 1.12996e-28, 1.41421, -3.47928e-08, 0, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 1.12996e-28, 2.3496e-10, 1.12996e-28, 1.12996e-28, 5.76997e-10, 1.12996e-28, 1.28455e-10, 3.38524e-08, 1.12996e-28, 1.12996e-28, 1.12996e-28
0.404628, 0, 4.67014e-08, 4.81424e-28, 1.41421, -4.67014e-08, 0, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 4.81424e-28, 3.16135e-10, 4.81424e-28, 4.81424e-28, 8.71448e-10, 4.81424e-28, 1.8998e-10, 4.53238e-08, 4.81424e-28, 4.81424e-28, 4.81424e-28
0.412474, 0, 6.24164e-08, 1.94653e-27, 1.41421, -6.24164e-08, 0, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 1.94653e-27, 4.23597e-10, 1.94653e-27, 1.94653e-27, 1.31401e-09, 1.94653e-27, 2.80304e-10, 6.03985e-08, 1.94653e-27, 1.94653e-27, 1.94653e-27
0.42032, 0, 8.30682e-08, 7.48846e-27, 1.41421, -8.30682e-08, 0, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 7.48846e-27, 5.65286e-10, 7.48846e-27, 7.48846e-27, 1.97737e-09, 7.48846e-27, 4.12494e-10, 8.01131e-08, 7.48846e-27, 7.48846e-27, 7.48846e-27
0.428167, 0, 1.10098e-07, 2.74816e-26, 1.41421, -1.10098e-07, 0, 2.74816e-26, 2.74816e-26, 2.74816e-26, 2.74816e-26, 2.74816e-26, 2.74816e-26, 2.67814e-13, 2.74816e-26, 2.74816e-26, 2.74816e-26, 7.51358e-10, 2.74816e-26, 2.74816e-26, 2.96857e-09, 2.74816e-26, 6.0529e-10, 1.05773e-07, 2.74816e-26, 2.74816e-26, 2.74816e-26
0.436013, 0, 1.45337e-07, 9.64413e-26, 1.41421, -1.45337e-07, 0, 9.64413e-26, 9.64413e-26, 9.64413e-26, 9.64413e-26, 9.64413e-26, 9.64413e-26, 8.18187e-13, 9.64413e-26, 9.64413e-26, 9.64413e-26, 9.94762e-10, 9.64413e-26, 9.64413e-26, 4.44447e-09, 9.64413e-26, 8.85425e-10, 1.39011e-07, 9.64413e-26, 9.64413e-26, 9.64413e-26
0.443859, 0, 1.91105e-07, 3.27015e-25, 1.41421, -1.91105e-07, 0, 3.27015e-25, 3.27015e-25, 3.27015e-25, 3.27015e-25, 3.27015e-25, 3.27015e-25, 1.92873e-12, 3.27015e-25, 3.27015e-25, 3.27015e-25, 1.31194e-09, 3.27015e-25, 3.27015e-25, 6.63376e-09, 3.27015e-25, 1.29082e-09, 1.81867e-07, 3.27015e-25, 3.27015e-25, 3.27015e-25
0.451705, 0, 2.51091e-07, 2.06187e-11, 1.41421, -2.51091e-07, 2.06187e-11, 2.06254e-11, 2.29542e-11, 2.06632e-11, 2.33009e-11, 5.66451e-11, 4.78522e-10, 3.65179e-11, 3.21986e-11, 4.10995e-11, 1.52049e-10, 1.74435e-09, 2.27276e-11, 2.07663e-11, 9.8885e-09, 2.09035e-11, 1.89553e-09, 2.36918e-07, 2.06187e-11, 2.06187e-11, 4.63927e-11
0.459552, 0, 3.2903e-07, 6.36305e-11, 1.41421, -3.2903e-07, 6.36305e-11, 6.36509e-11, 7.07436e-11, 6.37659e-11, 7.17994e-11, 1.73356e-10, 1.45826e-09, 1.07902e-10, 9.88993e-11, 1.26009e-10, 4.63928e-10, 2.31995e-09, 7.00535e-11, 6.408e-11, 1.469e-08, 7.02294e-11, 2.77622e-09, 3.0728e-07, 6.36305e-11, 6.36305e-11, 1.4213e-10
0.467398, 0, 4.30423e-07, 1.51086e-10, 1.41421, -4.30423e-07, 1.51086e-10, 1.51134e-10, 1.67816e-10, 1.51405e-10, 1.70299e-10, 4.09154e-10, 3.43118e-09, 2.52067e-10, 2.34036e-10, 2.97796e-10, 1.09256e-09, 3.09369e-09, 1.66193e-10, 1.52143e-10, 2.17444e-08, 1.70911e-10, 4.05902e-09, 3.96912e-07, 1.51086e-10, 1.51086e-10, 3.35712e-10
0.475244, 0, 5.62601e-07, 3.253e-10, 1.41421, -5.62601e-07, 3.253e-10, 3.25403e-10, 3.61079e-10, 3.25981e-10, 3.66389e-10, 8.77216e-10, 7.34026e-09, 5.37866e-10, 5.02701e-10, 6.3906e-10, 2.33878e-09, 4.14899e-09, 3.57607e-10, 3.27561e-10, 3.20707e-08, 3.73396e-10, 5.93011e-09, 5.10588e-07, 3.253e-10, 3.253e-10, 7.20151e-10
0.48309, 0, 7.35765e-07, 6.66139e-10, 1.41421, -7.35765e-07, 6.66139e-10, 6.66348e-10, 7.39057e-10, 6.67527e-10, 7.4988e-10, 1.79096e-09, 1.49628e-08, 1.09458e-09, 1.02769e-09, 1.30559e-09, 4.76966e-09, 5.61691e-09, 7.31983e-10, 6.70747e-10, 4.71309e-08, 7.72105e-10, 8.6666e-09, 6.54255e-07, 6.66139e-10, 6.66139e-10, 1.47085e-09
0.490937, 0, 9.64549e-07, 1.32181e-09, 1.41421, -9.64549e-07, 1.32181e-09, 1.32222e-09, 1.466e-09, 1.32456e-09, 1.4874e-09, 3.546e-09, 2.95917e-08, 2.26932e-09, 2.03673e-09, 2.58625e-09, 9.43604e-09, 7.70909e-09, 1.45201e-09, 1.33092e-09, 6.90182e-08, 1.54282e-09, 1.27006e-08, 8.35287e-07, 1.32181e-09, 1.32181e-09, 2.91304e-09
0.498783, 0, 1.27029e-06, 2.56276e-09, 1.41421, -1.27029e-06, 2.56276e-09, 2.56356e-09, 2.84157e-09, 2.56807e-09, 2.88295e-09, 6.86358e-09, 5.72271e-08, 4.60789e-09, 3.94516e-09, 5.00775e-09, 1.82529e-08, 1.07744e-08, 2.81452e-09, 2.58038e-09, 1.00724e-07, 3.00743e-09, 1.86499e-08, 1.0629e-06, 2.56276e-09, 2.56276e-09, 5.63965e-09
0.506629, 0, 1.68704e-06, 4.87398e-09, 1.41421, -1.68704e-06, 4.87398e-09, 4.8755e-09, 5.40308e-09, 4.88405e-09, 5.48161e-09, 1.30358e-08, 1.08612e-07, 1.11044e-08, 7.4974e-09, 9.5139e-09, 3.46496e-08, 1.53942e-08, 5.35175e-09, 4.90742e-09, 1.46515e-07, 5.74525e-09, 2.74994e-08, 1.34871e-06, 4.87398e-09, 4.87398e-09, 1.07131e-08
0.514475, 0, 2.26405e-06, 9.11083e-09, 1.41421, -2.26405e-06, 9.11083e-09, 9.11367e-09, 1.0098e-08, 9.12963e-09, 1.02445e-08, 2.43387e-08, 2.02661e-07, 2.35632e-08, 1.40055e-08, 1.77678e-08, 6.46648e-08, 2.25419e-08, 1.00022e-08, 9.17322e-09, 2.12479e-07, 1.07818e-08, 4.07635e-08, 1.7076e-06, 9.11083e-09, 9.11083e-09, 2.00052e-08
0.522322, 0, 3.08022e-06, 1.67559e-08, 1.41421, -3.08022e-06, 1.67559e-08, 1.67611e-08, 1.85683e-08, 1.67904e-08, 1.88373e-08, 4.47131e-08, 3.72098e-07, 4.71309e-08, 2.57421e-08, 3.26494e-08, 1.18749e-07, 3.38442e-08, 1.83924e-08, 1.68704e-08, 3.07458e-07, 1.99017e-08, 6.07996e-08, 2.15901e-06, 1.67559e-08, 1.67559e-08, 3.6757e-08
0.530168, 0, 4.25955e-06, 3.03354e-08, 1.41421, -4.25955e-06, 3.03354e-08, 3.03449e-08, 3.36111e-08, 3.03978e-08, 3.40973e-08, 8.08651e-08, 6.72577e-07, 9.09069e-08, 4.65771e-08, 5.90612e-08, 2.14676e-07, 5.20029e-08, 3.32933e-08, 3.05425e-08, 4.43585e-07, 3.61583e-08, 9.12899e-08, 2.72878e-06, 3.03354e-08, 3.03354e-08, 6.64853e-08
0.538014, 0, 5.99896e-06, 5.40801e-08, 1.41421, -5.99896e-06, 5.40801e-08, 5.40969e-08, 5.991e-08, 5.41911e-08, 6.07753e-08, 1.4401e-07, 1.19711e-06, 1.70665e-07, 8.29861e-08, 1.05205e-07, 3.8216e-07, 8.14611e-08, 5.93444e-08, 5.44486e-08, 6.38568e-07, 6.46865e-08, 1.37985e-07, 3.4523e-06, 5.40801e-08, 5.40801e-08, 1.18418e-07
0.54586, 0, 8.61019e-06, 9.49529e-08, 1.41421, -8.61019e-06, 9.49529e-08, 9.49822e-08, 1.05171e-07, 9.51475e-08, 1.06688e-07, 2.52581e-07, 2.09844e-06, 3.14074e-07, 1.45619e-07, 1.84563e-07, 6.70006e-07, 1.29439e-07, 1.0418e-07, 9.55987e-08, 9.17483e-07, 1.13976e-07, 2.09836e-07, 4.37889e-06, 9.49529e-08, 9.49529e-08, 2.07723e-07
0.553707, 0, 1.25863e-05, 1.64214e-07, 1.41421, -1.25863e-05, 1.64214e-07, 1.64265e-07, 1.81855e-07, 1.6455e-07, 1.84474e-07, 4.3634e-07, 3.62299e-06, 5.7062e-07, 2.51683e-07, 3.18916e-07, 1.15698e-06, 2.07508e-07, 1.80144e-07, 1.65329e-07, 1.31599e-06, 1.97822e-07, 3.20701e-07, 5.57884e-06, 1.64214e-07, 1.64214e-07, 3.58898e-07
0.561553, 0, 1.86964e-05, 2.79758e-07, 1.41421, -1.86964e-05, 2.79758e-07, 2.79844e-07, 3.09757e-07, 2.80329e-07, 3.14209e-07, 7.42509e-07, 6.16142e-06, 1.0235e-06, 4.28499e-07, 5.42829e-07, 1.96796e-06, 3.33937e-07, 3.06846e-07, 2.81654e-07, 1.88474e-06, 3.38256e-07, 4.91854e-07, 7.15327e-06, 2.79758e-07, 2.79758e-07, 6.10819e-07
0.569399, 0, 2.81316e-05, 4.69522e-07, 1.41421, -2.81316e-05, 4.69522e-07, 4.69666e-07, 5.19773e-07, 4.70479e-07, 5.27232e-07, 1.24468e-06, 1.0322e-05, 1.81239e-06, 7.18679e-07, 9.10195e-07, 3.29744e-06, 5.37114e-07, 5.14898e-07, 4.72698e-07, 2.69544e-06, 5.69855e-07, 7.55634e-07, 9.25128e-06, 4.69522e-07, 4.69522e-07, 1.02409e-06
0.577246, 0, 4.27069e-05, 7.76343e-07, 1.41421, -4.27069e-05, 7.76343e-07, 7.76581e-07, 8.59266e-07, 7.77922e-07, 8.71574e-07, 2.05549e-06, 1.70346e-05, 3.16821e-06, 1.1875e-06, 1.50353e-06, 5.44289e-06, 8.60422e-07, 8.51221e-07, 7.81583e-07, 3.84929e-06, 9.45935e-07, 1.1606e-06, 1.20867e-05, 7.76343e-07, 7.76343e-07, 1.69147e-06
