   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_144.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00284583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00501643, 0, 2.35862e-19, 0, 1.41421, -2.35862e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32353e-21, 0, 0, 1.53855e-24, 4.46983e-21, 0, 2.29067e-19, 0, 0
0.0128787, 0, 4.69397e-19, 0, 1.41421, -4.69397e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6224e-21, 0, 0, 3.10274e-24, 9.06755e-21, 0, 4.55704e-19, 0, 0
0.020741, 0, 9.25108e-19, 0, 1.41421, -9.25108e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10657e-21, 0, 0, 6.1975e-24, 1.8215e-20, 0, 8.9778e-19, 0, 0
0.0286032, 0, 1.80608e-18, 0, 1.41421, -1.80608e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77718e-20, 0, 0, 1.22646e-23, 3.62459e-20, 0, 1.75205e-18, 0, 0
0.0364655, 0, 3.49375e-18, 0, 1.41421, -3.49375e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43649e-20, 0, 0, 2.40531e-23, 7.1469e-20, 0, 3.3879e-18, 0, 0
0.0443278, 0, 6.6982e-18, 0, 1.41421, -6.6982e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58574e-20, 0, 0, 4.67605e-23, 1.39678e-19, 0, 6.49261e-18, 0, 0
0.05219, 0, 1.273e-17, 0, 1.41421, -1.273e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25111e-19, 0, 0, 9.01308e-23, 2.70647e-19, 0, 1.23342e-17, 0, 0
0.0600523, 0, 2.39879e-17, 0, 1.41421, -2.39879e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35652e-19, 0, 0, 1.72282e-22, 5.20056e-19, 0, 2.3232e-17, 0, 0
0.0679146, 0, 4.48255e-17, 0, 1.41421, -4.48255e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40162e-19, 0, 0, 3.26637e-22, 9.9121e-19, 0, 4.33938e-17, 0, 0
0.0757768, 0, 8.30805e-17, 0, 1.41421, -8.30805e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.15432e-19, 0, 0, 6.14357e-22, 1.8743e-18, 0, 8.03902e-17, 0, 0
0.0836391, 0, 1.5275e-16, 0, 1.41421, -1.5275e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49853e-18, 0, 0, 1.14651e-21, 3.51687e-18, 0, 1.47734e-16, 0, 0
0.0915014, 0, 2.78633e-16, 0, 1.41421, -2.78633e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73213e-18, 0, 0, 2.12325e-21, 6.54929e-18, 0, 2.69349e-16, 0, 0
0.0993636, 0, 5.04323e-16, 0, 1.41421, -5.04323e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94259e-18, 0, 0, 3.90258e-21, 1.21068e-17, 0, 4.8727e-16, 0, 0
0.107226, 0, 9.05867e-16, 0, 1.41421, -9.05867e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.87313e-18, 0, 0, 7.12009e-21, 2.22192e-17, 0, 8.74767e-16, 0, 0
0.115088, 0, 1.61491e-15, 0, 1.41421, -1.61491e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58095e-17, 0, 0, 1.28961e-20, 4.04914e-17, 0, 1.55859e-15, 0, 0
0.12295, 0, 2.85761e-15, 0, 1.41421, -2.85761e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79587e-17, 0, 0, 2.31907e-20, 7.32812e-17, 0, 2.75634e-15, 0, 0
0.130813, 0, 5.01964e-15, 0, 1.41421, -5.01964e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90818e-17, 0, 0, 4.14098e-20, 1.31728e-16, 0, 4.83879e-15, 0, 0
0.138675, 0, 8.75384e-15, 0, 1.41421, -8.75384e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55395e-17, 0, 0, 7.343e-20, 2.35223e-16, 0, 8.43301e-15, 0, 0
0.146537, 0, 1.51571e-14, 0, 1.41421, -1.51571e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48009e-16, 0, 0, 1.29321e-19, 4.17299e-16, 0, 1.45916e-14, 0, 0
0.154399, 0, 2.60591e-14, 0, 1.41421, -2.60591e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54286e-16, 0, 0, 2.26226e-19, 7.35593e-16, 0, 2.5069e-14, 0, 0
0.162262, 0, 4.44897e-14, 0, 1.41421, -4.44897e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33806e-16, 0, 0, 3.93122e-19, 1.28854e-15, 0, 4.2767e-14, 0, 0
0.170124, 0, 7.54309e-14, 0, 1.41421, -7.54309e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34919e-16, 0, 0, 6.7869e-19, 2.24323e-15, 0, 7.24521e-14, 0, 0
0.177986, 0, 1.27015e-13, 0, 1.41421, -1.27015e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23646e-15, 0, 0, 1.16416e-18, 3.8816e-15, 0, 1.21896e-13, 0, 0
0.185849, 0, 2.12423e-13, 0, 1.41421, -2.12423e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06605e-15, 0, 0, 1.98423e-18, 6.67656e-15, 0, 2.03678e-13, 0, 0
0.193711, 0, 3.52869e-13, 0, 1.41421, -3.52869e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42884e-15, 0, 0, 3.36091e-18, 1.14167e-14, 0, 3.38021e-13, 0, 0
0.201573, 0, 5.82261e-13, 0, 1.41421, -5.82261e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6522e-15, 0, 0, 5.65784e-18, 1.94111e-14, 0, 5.57192e-13, 0, 0
0.209435, 0, 9.54404e-13, 0, 1.41421, -9.54404e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25494e-15, 0, 0, 9.46719e-18, 3.28174e-14, 0, 9.12322e-13, 0, 0
0.217298, 0, 1.5541e-12, 0, 1.41421, -1.5541e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50534e-14, 0, 0, 1.57478e-17, 5.51758e-14, 0, 1.48386e-12, 0, 0
0.22516, 0, 2.51407e-12, 0, 1.41421, -2.51407e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43229e-14, 0, 0, 2.60439e-17, 9.22632e-14, 0, 2.39745e-12, 0, 0
0.233022, 0, 4.04059e-12, 0, 1.41421, -4.04059e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90422e-14, 0, 0, 4.28299e-17, 1.53459e-13, 0, 3.84805e-12, 0, 0
0.240884, 0, 6.45212e-12, 0, 1.41421, -6.45212e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22598e-14, 0, 0, 7.00507e-17, 2.53918e-13, 0, 6.13587e-12, 0, 0
0.248747, 0, 1.02369e-11, 0, 1.41421, -1.02369e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.86395e-14, 0, 0, 1.13967e-16, 4.18007e-13, 0, 9.72014e-12, 0, 0
0.256609, 0, 1.61384e-11, 0, 1.41421, -1.61384e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55267e-13, 0, 0, 1.84475e-16, 6.84737e-13, 0, 1.52982e-11, 0, 0
0.264471, 0, 2.52812e-11, 0, 1.41421, -2.52812e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42833e-13, 0, 0, 2.97155e-16, 1.11629e-12, 0, 2.39218e-11, 0, 0
