   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_247.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.200038, 0, 1.09543e-08, 0, 1.41421, -1.09543e-08, 0, 0, 0, 0, 0, 0, 2.02868e-10, 0, 0, 1.50175e-12, 1.39188e-10, 1.06107e-08, 0, 0
0.208147, 0, 1.52805e-08, 1.34385e-42, 1.41421, -1.52805e-08, 0, 1.34385e-42, 1.34385e-42, 1.34385e-42, 1.34385e-42, 1.34385e-42, 2.83054e-10, 1.34385e-42, 1.34385e-42, 2.23005e-12, 2.04854e-10, 1.47904e-08, 1.34385e-42, 1.34385e-42
0.216256, 0, 2.11996e-08, 2.51085e-41, 1.41421, -2.11996e-08, 0, 2.51085e-41, 2.51085e-41, 2.51085e-41, 2.51085e-41, 2.51085e-41, 3.92833e-10, 2.51085e-41, 2.51085e-41, 3.30717e-12, 3.00209e-10, 2.05032e-08, 2.51085e-41, 2.51085e-41
0.224364, 0, 2.92542e-08, 3.97866e-40, 1.41421, -2.92542e-08, 0, 3.97866e-40, 3.97866e-40, 3.97866e-40, 3.97866e-40, 3.97866e-40, 5.42339e-10, 3.97866e-40, 3.97866e-40, 4.89929e-12, 4.38138e-10, 2.82688e-08, 3.97866e-40, 3.97866e-40
0.232473, 0, 4.0156e-08, 5.56054e-39, 1.41421, -4.0156e-08, 0, 5.56054e-39, 5.56054e-39, 5.56054e-39, 5.56054e-39, 5.56054e-39, 7.44895e-10, 5.56054e-39, 5.56054e-39, 7.25155e-12, 6.36901e-10, 3.87669e-08, 5.56054e-39, 5.56054e-39
0.240582, 0, 5.48356e-08, 3.79764e-37, 1.41421, -5.48356e-08, 0, 3.79764e-37, 3.79764e-37, 3.79764e-37, 3.79764e-37, 3.79764e-37, 1.01799e-09, 3.79764e-37, 3.79764e-37, 1.07396e-11, 9.22724e-10, 5.28841e-08, 3.79764e-37, 3.79764e-37
0.248691, 0, 7.44945e-08, 3.8552e-36, 1.41421, -7.44945e-08, 0, 3.8552e-36, 3.8552e-36, 3.8552e-36, 3.8552e-36, 3.8552e-36, 1.38424e-09, 3.8552e-36, 3.8552e-36, 1.58741e-11, 1.33128e-09, 7.17631e-08, 3.8552e-36, 3.8552e-36
0.256799, 0, 1.0069e-07, 3.55475e-35, 1.41421, -1.0069e-07, 0, 3.55475e-35, 3.55475e-35, 3.55475e-35, 3.55475e-35, 3.55475e-35, 1.87312e-09, 3.55475e-35, 3.55475e-35, 2.34491e-11, 1.91396e-09, 9.68794e-08, 3.55475e-35, 3.55475e-35
0.264908, 0, 1.3542e-07, 2.9931e-34, 1.41421, -1.3542e-07, 0, 2.9931e-34, 2.9931e-34, 2.9931e-34, 2.9931e-34, 2.9931e-34, 2.5226e-09, 2.9931e-34, 2.9931e-34, 3.46168e-11, 2.74229e-09, 1.30121e-07, 2.9931e-34, 2.9931e-34
0.273017, 0, 1.81239e-07, 2.31276e-33, 1.41421, -1.81239e-07, 0, 2.31276e-33, 2.31276e-33, 2.31276e-33, 2.31276e-33, 2.31276e-33, 3.38146e-09, 2.31276e-33, 2.31276e-33, 5.10661e-11, 3.91614e-09, 1.7389e-07, 2.31276e-33, 2.31276e-33
0.281126, 0, 2.41393e-07, 1.76334e-32, 1.41421, -2.41393e-07, 0, 1.76334e-32, 1.76334e-32, 1.76334e-32, 1.76334e-32, 1.76334e-32, 4.51208e-09, 1.76334e-32, 1.76334e-32, 7.52664e-11, 5.57451e-09, 2.31231e-07, 1.76334e-32, 1.76334e-32
0.289235, 0, 3.19993e-07, 1.28253e-31, 1.41421, -3.19993e-07, 0, 1.28253e-31, 1.28253e-31, 1.28253e-31, 1.28253e-31, 1.28253e-31, 5.99394e-09, 1.28253e-31, 1.28253e-31, 1.10818e-10, 7.91023e-09, 3.05978e-07, 1.28253e-31, 1.28253e-31
0.297343, 0, 4.22218e-07, 8.68435e-31, 1.41421, -4.22218e-07, 0, 8.68435e-31, 8.68435e-31, 8.68435e-31, 8.68435e-31, 8.68435e-31, 7.92787e-09, 8.68435e-31, 8.68435e-31, 1.62952e-10, 1.11899e-08, 4.02937e-07, 8.68435e-31, 8.68435e-31
0.305452, 0, 5.54563e-07, 5.46024e-30, 1.41421, -5.54563e-07, 0, 5.46024e-30, 5.46024e-30, 5.46024e-30, 5.46024e-30, 5.46024e-30, 1.04413e-08, 5.46024e-30, 5.46024e-30, 2.39242e-10, 1.57808e-08, 5.28102e-07, 5.46024e-30, 5.46024e-30
0.313561, 0, 7.25153e-07, 8.71289e-29, 1.41421, -7.25153e-07, 0, 8.71289e-29, 8.71289e-29, 8.71289e-29, 8.71289e-29, 8.71289e-29, 1.36949e-08, 8.71289e-29, 8.71289e-29, 3.50822e-10, 2.21898e-08, 6.88917e-07, 8.71289e-29, 8.71289e-29
