   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.139141, 0, 4.5354e-15, 0, 1.41421, -4.5354e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44625e-17, 0, 0, 7.68297e-20, 0, 1.14827e-16, 0, 4.39604e-15, 0, 0, 0
0.147005, 0, 7.99362e-15, 0, 1.41421, -7.99362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30894e-17, 0, 0, 1.37715e-19, 0, 2.07007e-16, 0, 7.74338e-15, 0, 0, 0
0.154869, 0, 1.39848e-14, 0, 1.41421, -1.39848e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53378e-17, 0, 0, 2.45114e-19, 0, 3.70673e-16, 0, 1.35386e-14, 0, 0, 0
0.162733, 0, 2.42879e-14, 0, 1.41421, -2.42879e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30756e-16, 0, 0, 4.33241e-19, 0, 6.59347e-16, 0, 2.34974e-14, 0, 0, 0
0.170597, 0, 4.18769e-14, 0, 1.41421, -4.18769e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25291e-16, 0, 0, 7.60515e-19, 0, 1.16521e-15, 0, 4.04857e-14, 0, 0, 0
0.178461, 0, 7.1687e-14, 0, 1.41421, -7.1687e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85381e-16, 0, 0, 1.326e-18, 0, 2.04602e-15, 0, 6.92542e-14, 0, 0, 0
0.186325, 0, 1.21846e-13, 0, 1.41421, -1.21846e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54524e-16, 0, 0, 2.29655e-18, 0, 3.57003e-15, 0, 1.17619e-13, 0, 0, 0
0.194189, 0, 2.05643e-13, 0, 1.41421, -2.05643e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10376e-15, 0, 0, 3.95135e-18, 0, 6.19065e-15, 0, 1.98345e-13, 0, 0, 0
0.202053, 0, 3.44648e-13, 0, 1.41421, -3.44648e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84824e-15, 0, 0, 6.75458e-18, 0, 1.06695e-14, 0, 3.32123e-13, 0, 0, 0
0.209917, 0, 5.73608e-13, 0, 1.41421, -5.73608e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07325e-15, 0, 0, 1.14731e-17, 0, 1.82799e-14, 0, 5.52244e-13, 0, 0, 0
0.217781, 0, 9.48105e-13, 0, 1.41421, -9.48105e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.07477e-15, 0, 0, 1.9366e-17, 0, 3.1135e-14, 0, 9.11876e-13, 0, 0, 0
0.225645, 0, 1.55639e-12, 0, 1.41421, -1.55639e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.32203e-15, 0, 0, 3.24886e-17, 0, 5.2725e-14, 0, 1.49531e-12, 0, 0, 0
0.233509, 0, 2.53759e-12, 0, 1.41421, -2.53759e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35536e-14, 0, 0, 5.41767e-17, 0, 8.87819e-14, 0, 2.4352e-12, 0, 0, 0
0.241372, 0, 4.10947e-12, 0, 1.41421, -4.10947e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19235e-14, 0, 0, 8.98174e-17, 0, 1.48671e-13, 0, 3.93878e-12, 0, 0, 0
0.249236, 0, 6.61042e-12, 0, 1.41421, -6.61042e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5222e-14, 0, 0, 1.48063e-16, 0, 2.47615e-13, 0, 6.32743e-12, 0, 0, 0
0.2571, 0, 1.05626e-11, 0, 1.41421, -1.05626e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62058e-14, 0, 0, 2.42745e-16, 0, 4.10237e-13, 0, 1.00959e-11, 0, 0, 0
