   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_365.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.182673, 0, 1.55956e-10, 0, 1.41421, -1.55956e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3398e-13, 0, 0, 6.61237e-13, 0, 5.79395e-13, 0, 1.54281e-10, 0, 0, 0
0.190525, 0, 2.20928e-10, 0, 1.41421, -2.20928e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.14756e-13, 0, 0, 9.69576e-13, 0, 8.57359e-13, 0, 2.18486e-10, 0, 0, 0
0.198378, 0, 3.11682e-10, 0, 1.41421, -3.11682e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.67277e-13, 0, 0, 1.41889e-12, 0, 1.26488e-12, 0, 3.08131e-10, 0, 0, 0
0.20623, 0, 4.37918e-10, 0, 1.41421, -4.37918e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21855e-12, 0, 0, 2.0728e-12, 0, 1.86069e-12, 0, 4.32766e-10, 0, 0, 0
0.214083, 0, 6.12772e-10, 0, 1.41421, -6.12772e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70517e-12, 0, 0, 3.02358e-12, 0, 2.72945e-12, 0, 6.05314e-10, 0, 0, 0
0.221935, 0, 8.53962e-10, 7.70714e-44, 1.41421, -8.53962e-10, 0, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 7.70714e-44, 2.3765e-12, 7.70714e-44, 7.70714e-44, 4.40501e-12, 7.70714e-44, 3.99295e-12, 7.70714e-44, 8.43188e-10, 7.70714e-44, 7.70714e-44, 7.70714e-44
0.229788, 0, 1.18527e-09, 1.32843e-42, 1.41421, -1.18527e-09, 0, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 1.32843e-42, 3.29888e-12, 1.32843e-42, 1.32843e-42, 6.41132e-12, 1.32843e-42, 5.82602e-12, 1.32843e-42, 1.16974e-09, 1.32843e-42, 1.32843e-42, 1.32843e-42
0.23764, 0, 1.6385e-09, 1.8954e-41, 1.41421, -1.6385e-09, 0, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 1.8954e-41, 4.561e-12, 1.8954e-41, 1.8954e-41, 9.32462e-12, 1.8954e-41, 8.47913e-12, 1.8954e-41, 1.61613e-09, 1.8954e-41, 1.8954e-41, 1.8954e-41
0.245493, 0, 2.25595e-09, 2.39588e-40, 1.41421, -2.25595e-09, 0, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 2.39588e-40, 6.28102e-12, 2.39588e-40, 2.39588e-40, 1.35551e-11, 2.39588e-40, 1.23104e-11, 2.39588e-40, 2.2238e-09, 2.39588e-40, 2.39588e-40, 2.39588e-40
0.253345, 0, 3.09369e-09, 2.71471e-39, 1.41421, -3.09369e-09, 0, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 2.71471e-39, 8.61567e-12, 2.71471e-39, 2.71471e-39, 1.96996e-11, 2.71471e-39, 1.78313e-11, 2.71471e-39, 3.04755e-09, 2.71471e-39, 2.71471e-39, 2.71471e-39
0.261198, 0, 4.22573e-09, 2.77575e-38, 1.41421, -4.22573e-09, 0, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 2.77575e-38, 1.17719e-11, 2.77575e-38, 2.77575e-38, 2.86276e-11, 2.77575e-38, 2.57702e-11, 2.77575e-38, 4.15956e-09, 2.77575e-38, 2.77575e-38, 2.77575e-38
0.26905, 0, 5.74924e-09, 2.5741e-37, 1.41421, -5.74924e-09, 0, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 2.5741e-37, 1.60221e-11, 2.5741e-37, 2.5741e-37, 4.16062e-11, 2.5741e-37, 3.71639e-11, 2.5741e-37, 5.65445e-09, 2.5741e-37, 2.5741e-37, 2.5741e-37
0.276903, 0, 7.79143e-09, 2.17571e-36, 1.41421, -7.79143e-09, 0, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17571e-36, 2.17228e-11, 2.17571e-36, 2.17571e-36, 6.04829e-11, 2.17571e-36, 5.34842e-11, 2.17571e-36, 7.65574e-09, 2.17571e-36, 2.17571e-36, 2.17571e-36
