   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00297761, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00488113, 0, 1.32281e-20, 0, 1.41421, -1.32281e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06141e-21, 0, 1.11667e-20, 0, 0
0.0127399, 0, 2.83492e-20, 0, 1.41421, -2.83492e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49633e-21, 0, 2.38529e-20, 0, 0
0.0205986, 0, 6.00318e-20, 0, 1.41421, -6.00318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.68704e-21, 0, 5.03447e-20, 0, 0
0.0284574, 0, 1.25666e-19, 0, 1.41421, -1.25666e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0625e-20, 0, 1.05041e-19, 0, 0
0.0363161, 0, 2.60151e-19, 0, 1.41421, -2.60151e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34183e-20, 0, 2.16733e-19, 0, 0
0.0441748, 0, 5.32808e-19, 0, 1.41421, -5.32808e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04099e-20, 0, 4.42398e-19, 0, 0
0.0520336, 0, 1.07993e-18, 0, 1.41421, -1.07993e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86291e-19, 0, 8.93639e-19, 0, 0
0.0598923, 0, 2.16688e-18, 0, 1.41421, -2.16688e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79979e-19, 0, 1.7869e-18, 0, 0
0.0677511, 0, 4.30533e-18, 0, 1.41421, -4.30533e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67456e-19, 0, 3.53788e-18, 0, 0
0.0756098, 0, 8.47272e-18, 0, 1.41421, -8.47272e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53535e-18, 0, 6.93737e-18, 0, 0
0.0834686, 0, 1.6519e-17, 0, 1.41421, -1.6519e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04325e-18, 0, 1.34758e-17, 0, 0
0.0913273, 0, 3.19143e-17, 0, 1.41421, -3.19143e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97801e-18, 0, 2.59363e-17, 0, 0
0.099186, 0, 6.11098e-17, 0, 1.41421, -6.11098e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16404e-17, 0, 4.94694e-17, 0, 0
