   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.0523231, 0, 2.42337e-28, 0, 1.41421, -2.42337e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7249e-30, 0, 1.00408e-32, 6.39089e-33, 0, 2.36596e-28, 0, 0
0.059952, 0, 1.97993e-27, 0, 1.41421, -1.97993e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67731e-29, 0, 8.20346e-32, 6.16689e-32, 0, 1.93301e-27, 0, 0
0.0675808, 0, 1.31379e-26, 0, 1.41421, -1.31379e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10363e-28, 0, 5.45764e-31, 4.59988e-31, 0, 1.28265e-26, 0, 0
0.0752097, 0, 7.57602e-26, 0, 1.41421, -7.57602e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78971e-27, 0, 3.17122e-30, 2.90227e-30, 0, 7.39644e-26, 0, 0
0.0828386, 0, 5.10975e-25, 0, 1.41421, -5.10975e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20709e-26, 0, 2.20039e-29, 2.24563e-29, 0, 4.9886e-25, 0, 0
0.0904675, 0, 2.37729e-24, 0, 1.41421, -2.37729e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61592e-26, 0, 1.03883e-28, 1.10269e-28, 0, 2.32092e-24, 0, 0
0.0980964, 0, 1.03014e-23, 0, 1.41421, -1.03014e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4335e-25, 0, 4.56909e-28, 5.00348e-28, 0, 1.0057e-23, 0, 0
0.105725, 0, 4.19356e-23, 0, 1.41421, -4.19356e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90647e-25, 0, 1.88865e-27, 2.12107e-27, 0, 4.09409e-23, 0, 0
0.113354, 0, 1.78306e-22, 0, 1.41421, -1.78306e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21212e-24, 0, 8.24889e-27, 9.53756e-27, 0, 1.74076e-22, 0, 0
0.120983, 0, 6.47817e-22, 0, 1.41421, -6.47817e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53033e-23, 0, 3.04816e-26, 3.5799e-26, 0, 6.32447e-22, 0, 0
0.128612, 0, 2.2499e-21, 0, 1.41421, -2.2499e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31491e-23, 0, 1.07714e-25, 1.28174e-25, 0, 2.19652e-21, 0, 0
0.136241, 0, 7.49372e-21, 0, 1.41421, -7.49372e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77023e-22, 0, 3.65176e-25, 4.39363e-25, 0, 7.31589e-21, 0, 0
0.14387, 0, 2.50645e-20, 0, 1.41421, -2.50645e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92091e-22, 0, 1.25274e-24, 1.52461e-24, 0, 2.44696e-20, 0, 0
0.151499, 0, 7.71298e-20, 0, 1.41421, -7.71298e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82201e-21, 0, 3.92787e-24, 4.81665e-24, 0, 7.5299e-20, 0, 0
0.159127, 0, 2.294e-19, 0, 1.41421, -2.294e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41903e-21, 0, 1.19088e-23, 1.4699e-23, 0, 2.23955e-19, 0, 0
0.166756, 0, 6.6062e-19, 0, 1.41421, -6.6062e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56055e-20, 0, 3.49756e-23, 4.34155e-23, 0, 6.44936e-19, 0, 0
0.174385, 0, 1.84497e-18, 0, 1.41421, -1.84497e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35826e-20, 0, 9.96671e-23, 1.24335e-22, 0, 1.80116e-18, 0, 0
0.182014, 0, 5.09348e-18, 0, 1.41421, -5.09348e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2032e-19, 0, 2.82159e-22, 3.53836e-22, 0, 4.97252e-18, 0, 0
0.189643, 0, 1.34159e-17, 0, 1.41421, -1.34159e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16915e-19, 0, 7.59044e-22, 9.55768e-22, 0, 1.30973e-17, 0, 0
0.197272, 0, 3.44094e-17, 0, 1.41421, -3.44094e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12826e-19, 0, 1.9894e-21, 2.51473e-21, 0, 3.3592e-17, 0, 0
0.204901, 0, 8.60291e-17, 0, 1.41421, -8.60291e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03219e-18, 0, 5.08541e-21, 6.45266e-21, 0, 8.39853e-17, 0, 0
0.21253, 0, 2.09871e-16, 0, 1.41421, -2.09871e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95759e-18, 0, 1.26916e-20, 1.61655e-20, 0, 2.04885e-16, 0, 0
0.220158, 0, 5.03556e-16, 0, 1.41421, -5.03556e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1895e-17, 0, 3.12563e-20, 3.9998e-20, 0, 4.9159e-16, 0, 0
0.227787, 0, 1.17199e-15, 0, 1.41421, -1.17199e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76846e-17, 0, 7.45028e-20, 9.57481e-20, 0, 1.14413e-15, 0, 0
0.235416, 0, 2.66836e-15, 0, 1.41421, -2.66836e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30313e-17, 0, 1.73827e-19, 2.24434e-19, 0, 2.60493e-15, 0, 0
0.243045, 0, 5.9473e-15, 0, 1.41421, -5.9473e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40485e-16, 0, 3.97269e-19, 5.15552e-19, 0, 5.8059e-15, 0, 0
0.250674, 0, 1.29849e-14, 0, 1.41421, -1.29849e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06724e-16, 0, 8.89958e-19, 1.16151e-18, 0, 1.26762e-14, 0, 0
0.258303, 0, 2.7862e-14, 0, 1.41421, -2.7862e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58139e-16, 0, 1.96366e-18, 2.58112e-18, 0, 2.71993e-14, 0, 0
0.265932, 0, 5.84673e-14, 0, 1.41421, -5.84673e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38107e-15, 0, 4.23337e-18, 5.60432e-18, 0, 5.70764e-14, 0, 0
0.273561, 0, 1.204e-13, 0, 1.41421, -1.204e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84398e-15, 0, 8.96235e-18, 1.19593e-17, 0, 1.17535e-13, 0, 0
