   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_859.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0678966, 0, 3.82137e-15, 0, 1.41421, -3.82137e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80588e-17, 0, 0, 1.86187e-17, 0, 3.78469e-15, 0, 0, 0
0.0757417, 0, 6.26787e-15, 0, 1.41421, -6.26787e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96176e-17, 0, 0, 3.11269e-17, 0, 6.20713e-15, 0, 0, 0
0.0835869, 0, 1.02231e-14, 0, 1.41421, -1.02231e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83024e-17, 0, 0, 5.17569e-17, 0, 1.0123e-14, 0, 0, 0
0.091432, 0, 1.65816e-14, 0, 1.41421, -1.65816e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83378e-17, 0, 0, 8.56002e-17, 0, 1.64177e-14, 0, 0, 0
0.0992772, 0, 2.67469e-14, 0, 1.41421, -2.67469e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2635e-16, 0, 0, 1.40826e-16, 0, 2.64798e-14, 0, 0, 0
0.107122, 0, 4.29086e-14, 0, 1.41421, -4.29086e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02675e-16, 0, 0, 2.30473e-16, 0, 4.24754e-14, 0, 0, 0
0.114967, 0, 6.84626e-14, 0, 1.41421, -6.84626e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23343e-16, 0, 0, 3.7525e-16, 0, 6.7764e-14, 0, 0, 0
0.122813, 0, 1.08647e-13, 0, 1.41421, -1.08647e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13078e-16, 0, 0, 6.07874e-16, 0, 1.07527e-13, 0, 0, 0
0.130658, 0, 1.71496e-13, 0, 1.41421, -1.71496e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09789e-16, 0, 0, 9.79781e-16, 0, 1.69707e-13, 0, 0, 0
0.138503, 0, 2.69262e-13, 0, 1.41421, -2.69262e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27129e-15, 0, 0, 1.57145e-15, 0, 2.66419e-13, 0, 0, 0
0.146348, 0, 4.20527e-13, 0, 1.41421, -4.20527e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98525e-15, 0, 0, 2.50824e-15, 0, 4.16033e-13, 0, 0, 0
0.154193, 0, 6.53313e-13, 0, 1.41421, -6.53313e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08386e-15, 0, 0, 3.98444e-15, 0, 6.46244e-13, 0, 0, 0
0.162038, 0, 1.00965e-12, 0, 1.41421, -1.00965e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76537e-15, 0, 0, 6.30005e-15, 0, 9.98582e-13, 0, 0, 0
0.169884, 0, 1.55221e-12, 0, 1.41421, -1.55221e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32538e-15, 0, 0, 9.91659e-15, 0, 1.53497e-12, 0, 0, 0
0.177729, 0, 2.37396e-12, 0, 1.41421, -2.37396e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12023e-14, 0, 0, 1.55404e-14, 0, 2.34721e-12, 0, 0, 0
0.185574, 0, 3.612e-12, 0, 1.41421, -3.612e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70427e-14, 0, 0, 2.42497e-14, 0, 3.5707e-12, 0, 0, 0
0.193419, 0, 5.46742e-12, 0, 1.41421, -5.46742e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57947e-14, 0, 0, 3.7684e-14, 0, 5.40394e-12, 0, 0, 0
