   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_241.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0875921, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0793598, 0.18608, 0, 0, 1.47854, 0.18608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0711276, 0.81392, 0, 0, 1.67747, 0.81392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0628954, 0.181258, 0, 0, 1.47691, 0.181258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0546631, 0.997589, 0, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0464309, 0.821152, 0, 0, 1.67963, 0.821152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0381987, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0299664, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0217342, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.013502, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00526975, 0.164383, 0, 0, 1.47118, 0.164383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00296248, 0.835617, 0, 0, 1.68393, 0.835617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0111947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0194269, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0276592, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0358914, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0441236, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0523559, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0605881, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0688203, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0770526, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0852848, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.093517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.101749, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.109981, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.118214, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.126446, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.134678, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.14291, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.151143, 0, 1.30982e-28, 0, 1.41421, -1.30982e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40507e-31, 0, 6.64537e-34, 5.02526e-34, 1.30641e-28, 0, 0
0.159375, 0, 1.65121e-27, 0, 1.41421, -1.65121e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29232e-30, 0, 8.37693e-33, 9.52493e-32, 1.64681e-27, 0, 0
0.167607, 0, 1.30598e-26, 0, 1.41421, -1.30598e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3948e-29, 0, 6.62532e-32, 1.17276e-30, 1.30246e-26, 0, 0
0.175839, 0, 8.23825e-26, 0, 1.41421, -8.23825e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14142e-28, 0, 4.1816e-31, 9.20675e-30, 8.21587e-26, 0, 0
0.184072, 0, 4.51177e-25, 0, 1.41421, -4.51177e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17275e-27, 0, 2.29383e-30, 5.78578e-29, 4.49945e-25, 0, 0
0.192304, 0, 2.23435e-24, 0, 1.41421, -2.23435e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80771e-27, 0, 1.13877e-29, 3.16075e-28, 2.22822e-24, 0, 0
0.200536, 0, 1.02377e-23, 0, 1.41421, -1.02377e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66105e-26, 0, 5.23375e-29, 1.56226e-27, 1.02095e-23, 0, 0
0.208768, 0, 4.40288e-23, 0, 1.41421, -4.40288e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14441e-25, 0, 2.25867e-28, 7.14712e-27, 4.3907e-23, 0, 0
0.217, 0, 1.79455e-22, 0, 1.41421, -1.79455e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66439e-25, 0, 9.2411e-28, 3.06972e-26, 1.78956e-22, 0, 0
0.225233, 0, 6.98021e-22, 0, 1.41421, -6.98021e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81429e-24, 0, 3.60932e-27, 1.24979e-25, 6.96078e-22, 0, 0
0.233465, 0, 2.60451e-21, 0, 1.41421, -2.60451e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76955e-24, 0, 1.35269e-26, 4.85672e-25, 2.59724e-21, 0, 0
0.241697, 0, 9.35986e-21, 0, 1.41421, -9.35986e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43276e-23, 0, 4.88408e-26, 1.81073e-24, 9.33367e-21, 0, 0
0.249929, 0, 3.24998e-20, 0, 1.41421, -3.24998e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44713e-23, 0, 1.70438e-25, 6.50295e-24, 3.24087e-20, 0, 0
0.258162, 0, 1.09316e-19, 0, 1.41421, -1.09316e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84124e-22, 0, 5.76333e-25, 2.25679e-23, 1.09009e-19, 0, 0
0.266394, 0, 3.56942e-19, 0, 1.41421, -3.56942e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27727e-22, 0, 1.89248e-24, 7.58779e-23, 3.55936e-19, 0, 0
0.274626, 0, 1.13343e-18, 0, 1.41421, -1.13343e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94587e-21, 0, 6.04524e-24, 2.47689e-22, 1.13023e-18, 0, 0
0.282858, 0, 3.50528e-18, 0, 1.41421, -3.50528e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11046e-21, 0, 1.88139e-23, 7.86394e-22, 3.49537e-18, 0, 0
0.291091, 0, 1.05715e-17, 0, 1.41421, -1.05715e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74758e-20, 0, 5.71201e-23, 2.43201e-21, 1.05415e-17, 0, 0
0.299323, 0, 3.11247e-17, 0, 1.41421, -3.11247e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08942e-20, 0, 1.69365e-22, 7.33563e-21, 3.10363e-17, 0, 0
0.307555, 0, 8.95433e-17, 0, 1.41421, -8.95433e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32725e-19, 0, 4.90903e-22, 2.16037e-20, 8.92885e-17, 0, 0
0.315787, 0, 2.5193e-16, 0, 1.41421, -2.5193e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.54764e-19, 0, 1.39211e-21, 6.21803e-20, 2.51211e-16, 0, 0
0.324019, 0, 6.93655e-16, 0, 1.41421, -6.93655e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80278e-18, 0, 3.86522e-21, 1.75051e-19, 6.91673e-16, 0, 0
0.332252, 0, 1.89294e-15, 0, 1.41421, -1.89294e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9196e-18, 0, 1.06595e-20, 4.89731e-19, 1.88752e-15, 0, 0
