   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_284.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00833774, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000471149, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00739544, 0, 2.03847e-25, 0, 1.41421, -2.03847e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85245e-27, 0, 0, 0, 4.7796e-26, 0, 1.53199e-25, 0, 0
0.015262, 0, 6.5571e-25, 0, 1.41421, -6.5571e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11587e-27, 0, 0, 0, 1.57001e-25, 0, 4.89594e-25, 0, 0
0.0231286, 0, 2.00757e-24, 0, 1.41421, -2.00757e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77492e-26, 0, 0, 0, 4.89471e-25, 0, 1.49035e-24, 0, 0
0.0309952, 0, 5.90232e-24, 0, 1.41421, -5.90232e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11523e-26, 0, 0, 0, 1.46266e-24, 0, 4.35851e-24, 0, 0
0.0388618, 0, 1.67643e-23, 0, 1.41421, -1.67643e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2935e-25, 0, 0, 0, 4.21705e-24, 0, 1.23179e-23, 0, 0
0.0467284, 0, 5.14268e-23, 0, 1.41421, -5.14268e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98135e-25, 0, 0, 0, 1.32333e-23, 0, 3.74953e-23, 0, 0
0.054595, 0, 1.3619e-22, 0, 1.41421, -1.3619e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84071e-24, 0, 0, 0, 3.54885e-23, 0, 9.88607e-23, 0, 0
0.0624616, 0, 3.52644e-22, 0, 1.41421, -3.52644e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7457e-24, 0, 0, 0, 9.30172e-23, 0, 2.54881e-22, 0, 0
0.0703282, 0, 8.94322e-22, 0, 1.41421, -8.94322e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19839e-23, 0, 0, 0, 2.3871e-22, 0, 6.43628e-22, 0, 0
0.0781948, 0, 2.22449e-21, 0, 1.41421, -2.22449e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96812e-23, 0, 0, 0, 6.00693e-22, 0, 1.59411e-21, 0, 0
0.0860614, 0, 5.43334e-21, 0, 1.41421, -5.43334e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21883e-23, 0, 0, 0, 1.48407e-21, 0, 3.87708e-21, 0, 0
0.0939279, 0, 1.30453e-20, 0, 1.41421, -1.30453e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72582e-22, 0, 0, 0, 3.60371e-21, 0, 9.269e-21, 0, 0
