   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_326.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00847373, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000605976, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00726178, 0, 1.77206e-23, 0, 1.41421, -1.77206e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48827e-24, 0, 1.32323e-23, 0, 0
0.0151295, 0, 4.61777e-23, 0, 1.41421, -4.61777e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19319e-23, 0, 3.42458e-23, 0, 0
0.0229973, 0, 1.17709e-22, 0, 1.41421, -1.17709e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09815e-23, 0, 8.67271e-23, 0, 0
0.0308651, 0, 2.93983e-22, 0, 1.41421, -2.93983e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87225e-23, 0, 2.15261e-22, 0, 0
0.0387328, 0, 7.20412e-22, 0, 1.41421, -7.20412e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96065e-22, 0, 5.24347e-22, 0, 0
0.0466006, 0, 1.7342e-21, 0, 1.41421, -1.7342e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79294e-22, 0, 1.2549e-21, 0, 0
0.0544683, 0, 4.10506e-21, 0, 1.41421, -4.10506e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15135e-21, 0, 2.95371e-21, 0, 0
0.0623361, 0, 9.56374e-21, 0, 1.41421, -9.56374e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72053e-21, 0, 6.84321e-21, 0, 0
0.0702038, 0, 2.19463e-20, 0, 1.41421, -2.19463e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32871e-21, 0, 1.56175e-20, 0, 0
0.0780716, 0, 4.9638e-20, 0, 1.41421, -4.9638e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45053e-20, 0, 3.51327e-20, 0, 0
