   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_163.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000705906, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00714544, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0149968, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0228481, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0306995, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0385509, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0464022, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0542535, 0, 1.50991e-29, 0, 1.41421, -1.50991e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49576e-32, 0, 0, 1.10115e-34, 3.26313e-35, 0, 1.5044e-29, 0, 0
0.0621049, 0, 1.4688e-28, 0, 1.41421, -1.4688e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.346e-31, 0, 0, 1.07115e-33, 3.9198e-33, 0, 1.46341e-28, 0, 0
0.0699563, 0, 8.99754e-28, 0, 1.41421, -8.99754e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27478e-30, 0, 0, 6.56148e-33, 3.86096e-32, 0, 8.96434e-28, 0, 0
0.0778076, 0, 4.4212e-27, 0, 1.41421, -4.4212e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60914e-29, 0, 0, 3.22413e-32, 2.40476e-31, 0, 4.40483e-27, 0, 0
0.085659, 0, 1.89916e-26, 0, 1.41421, -1.89916e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.91213e-29, 0, 0, 1.38637e-31, 1.19761e-30, 0, 1.89212e-26, 0, 0
0.0935103, 0, 7.43198e-26, 0, 1.41421, -7.43198e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7049e-28, 0, 0, 5.43705e-31, 5.19971e-30, 0, 7.40435e-26, 0, 0
0.101362, 0, 2.71147e-25, 0, 1.41421, -2.71147e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.86843e-28, 0, 0, 1.98968e-30, 2.05266e-29, 0, 2.70137e-25, 0, 0
0.109213, 0, 9.35579e-25, 0, 1.41421, -9.35579e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40504e-27, 0, 0, 6.89043e-30, 7.54427e-29, 0, 9.32092e-25, 0, 0
0.117064, 0, 3.08232e-24, 0, 1.41421, -3.08232e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1218e-26, 0, 0, 2.27938e-29, 2.62004e-28, 0, 3.07081e-24, 0, 0
0.124916, 0, 9.76144e-24, 0, 1.41421, -9.76144e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55265e-26, 0, 0, 7.25062e-29, 8.6826e-28, 0, 9.72498e-24, 0, 0
0.132767, 0, 2.98632e-23, 0, 1.41421, -2.98632e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08686e-25, 0, 0, 2.22864e-28, 2.76458e-27, 0, 2.97515e-23, 0, 0
