   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_499.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00916084, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00129221, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00657643, 0, 1.4041e-17, 0, 1.41421, -1.4041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42811e-20, 0, 0, 6.00761e-21, 2.0758e-18, 0, 1.19449e-17, 0, 0, 0
0.0144451, 0, 2.55871e-17, 0, 1.41421, -2.55871e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59474e-20, 0, 0, 1.10963e-20, 3.84731e-18, 0, 2.17027e-17, 0, 0, 0
0.0223137, 0, 4.62881e-17, 0, 1.41421, -4.62881e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67955e-20, 0, 0, 2.03468e-20, 7.08047e-18, 0, 3.91405e-17, 0, 0, 0
0.0301824, 0, 8.31392e-17, 0, 1.41421, -8.31392e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37828e-20, 0, 0, 3.70444e-20, 1.29412e-17, 0, 7.00772e-17, 0, 0, 0
0.038051, 0, 1.48283e-16, 0, 1.41421, -1.48283e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48936e-19, 0, 0, 6.69758e-20, 2.34945e-17, 0, 1.24573e-16, 0, 0, 0
0.0459196, 0, 2.62653e-16, 0, 1.41421, -2.62653e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62903e-19, 0, 0, 1.20265e-19, 4.23744e-17, 0, 2.19896e-16, 0, 0, 0
0.0537883, 0, 4.62096e-16, 0, 1.41421, -4.62096e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60877e-19, 0, 0, 2.14505e-19, 7.59358e-17, 0, 3.85484e-16, 0, 0, 0
0.0616569, 0, 8.07583e-16, 0, 1.41421, -8.07583e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02444e-19, 0, 0, 3.80069e-19, 1.35224e-16, 0, 6.71176e-16, 0, 0, 0
0.0695255, 0, 1.40215e-15, 0, 1.41421, -1.40215e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38779e-18, 0, 0, 6.69046e-19, 2.39319e-16, 0, 1.16077e-15, 0, 0, 0
0.0773942, 0, 2.41878e-15, 0, 1.41421, -2.41878e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38426e-18, 0, 0, 1.17021e-18, 4.20987e-16, 0, 1.99424e-15, 0, 0, 0
0.0852628, 0, 4.14603e-15, 0, 1.41421, -4.14603e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06946e-18, 0, 0, 2.03387e-18, 7.36168e-16, 0, 3.40376e-15, 0, 0, 0
0.0931315, 0, 7.06226e-15, 0, 1.41421, -7.06226e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9009e-18, 0, 0, 3.51295e-18, 1.27981e-15, 0, 5.77203e-15, 0, 0, 0
0.101, 0, 1.19554e-14, 0, 1.41421, -1.19554e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16277e-17, 0, 0, 6.03038e-18, 2.21216e-15, 0, 9.72559e-15, 0, 0, 0
0.108869, 0, 2.01155e-14, 0, 1.41421, -2.01155e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94682e-17, 0, 0, 1.02893e-17, 3.80219e-15, 0, 1.62835e-14, 0, 0, 0
0.116737, 0, 3.36412e-14, 0, 1.41421, -3.36412e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23912e-17, 0, 0, 1.74512e-17, 6.49874e-15, 0, 2.70926e-14, 0, 0, 0
0.124606, 0, 5.59269e-14, 0, 1.41421, -5.59269e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35583e-17, 0, 0, 2.94239e-17, 1.1047e-14, 0, 4.4797e-14, 0, 0, 0
0.132475, 0, 9.2429e-14, 0, 1.41421, -9.2429e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.80124e-17, 0, 0, 4.93222e-17, 1.8677e-14, 0, 7.36147e-14, 0, 0, 0
