   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_499.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.140343, 0, 1.51867e-13, 0, 1.41421, -1.51867e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43748e-16, 0, 0, 8.22026e-17, 3.14089e-14, 0, 1.20232e-13, 0, 0, 0
0.148212, 0, 2.48091e-13, 0, 1.41421, -2.48091e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33355e-16, 0, 0, 1.36226e-16, 5.25427e-14, 0, 1.95178e-13, 0, 0, 0
0.156081, 0, 4.02982e-13, 0, 1.41421, -4.02982e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76539e-16, 0, 0, 2.24496e-16, 8.74471e-14, 0, 3.14934e-13, 0, 0, 0
0.163949, 0, 6.50898e-13, 0, 1.41421, -6.50898e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03946e-16, 0, 0, 3.67926e-16, 1.44799e-13, 0, 5.05127e-13, 0, 0, 0
0.171818, 0, 1.04549e-12, 0, 1.41421, -1.04549e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62933e-16, 0, 0, 5.99732e-16, 2.38563e-13, 0, 8.0536e-13, 0, 0, 0
0.179686, 0, 1.67005e-12, 0, 1.41421, -1.67005e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52623e-15, 0, 0, 9.72389e-16, 3.91105e-13, 0, 1.27645e-12, 0, 0, 0
0.187555, 0, 2.65323e-12, 0, 1.41421, -2.65323e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40484e-15, 0, 0, 1.56845e-15, 6.38071e-13, 0, 2.01119e-12, 0, 0, 0
0.195424, 0, 4.19259e-12, 0, 1.41421, -4.19259e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7671e-15, 0, 0, 2.51705e-15, 1.03602e-12, 0, 3.15029e-12, 0, 0, 0
0.203292, 0, 6.58996e-12, 0, 1.41421, -6.58996e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86672e-15, 0, 0, 4.01939e-15, 1.67425e-12, 0, 4.90583e-12, 0, 0, 0
0.211161, 0, 1.0304e-11, 0, 1.41421, -1.0304e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.08373e-15, 0, 0, 6.38763e-15, 2.69323e-12, 0, 7.59533e-12, 0, 0, 0
0.21903, 0, 1.60284e-11, 0, 1.41421, -1.60284e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39839e-14, 0, 0, 1.01043e-14, 4.31288e-12, 0, 1.16914e-11, 0, 0, 0
0.226898, 0, 2.48064e-11, 0, 1.41421, -2.48064e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14041e-14, 0, 0, 1.59122e-14, 6.87616e-12, 0, 1.78929e-11, 0, 0, 0
0.234767, 0, 3.82005e-11, 0, 1.41421, -3.82005e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25749e-14, 0, 0, 2.49522e-14, 1.09159e-11, 0, 2.72271e-11, 0, 0, 0
0.242636, 0, 5.85394e-11, 0, 1.41421, -5.85394e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9295e-14, 0, 0, 3.89705e-14, 1.72568e-11, 0, 4.11944e-11, 0, 0, 0
0.250504, 0, 8.92785e-11, 0, 1.41421, -8.92785e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41765e-14, 0, 0, 6.0635e-14, 2.7171e-11, 0, 6.19728e-11, 0, 0, 0
0.258373, 0, 1.35523e-10, 0, 1.41421, -1.35523e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1099e-13, 0, 0, 9.40127e-14, 4.26142e-11, 0, 9.27038e-11, 0, 0, 0
0.266242, 0, 2.04787e-10, 6.72623e-44, 1.41421, -2.04787e-10, 6.72623e-44, 0, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 1.65149e-13, 6.72623e-44, 6.72623e-44, 1.45297e-13, 6.65847e-11, 6.72623e-44, 1.37892e-10, 6.72623e-44, 6.72623e-44, 6.72623e-44
0.27411, 0, 3.08089e-10, 1.20792e-42, 1.41421, -3.08089e-10, 1.20792e-42, 0, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 1.20792e-42, 2.44371e-13, 1.20792e-42, 1.20792e-42, 2.23911e-13, 1.03666e-10, 1.20792e-42, 2.03955e-10, 1.20792e-42, 1.20792e-42, 1.20792e-42
0.281979, 0, 4.6153e-10, 1.8095e-41, 1.41421, -4.6153e-10, 1.8095e-41, 0, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 1.8095e-41, 3.59603e-13, 1.8095e-41, 1.8095e-41, 3.44183e-13, 1.60845e-10, 1.8095e-41, 2.99982e-10, 1.8095e-41, 1.8095e-41, 1.8095e-41
0.289847, 0, 6.88568e-10, 2.38998e-40, 1.41421, -6.88568e-10, 2.38998e-40, 0, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 2.38998e-40, 5.26273e-13, 2.38998e-40, 2.38998e-40, 5.27902e-13, 2.48754e-10, 2.38998e-40, 4.3876e-10, 2.38998e-40, 2.38998e-40, 2.38998e-40
0.297716, 0, 1.02329e-09, 2.82438e-39, 1.41421, -1.02329e-09, 2.82438e-39, 0, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 2.82438e-39, 7.66001e-13, 2.82438e-39, 2.82438e-39, 8.08214e-13, 3.83531e-10, 2.82438e-39, 6.38181e-10, 2.82438e-39, 2.82438e-39, 2.82438e-39
0.305585, 0, 1.51509e-09, 3.01071e-38, 1.41421, -1.51509e-09, 3.01071e-38, 0, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 3.01071e-38, 1.10891e-12, 3.01071e-38, 3.01071e-38, 1.23558e-12, 5.89631e-10, 3.01071e-38, 9.23113e-10, 3.01071e-38, 3.01071e-38, 3.01071e-38
0.313453, 0, 2.23544e-09, 2.90567e-37, 1.41421, -2.23544e-09, 2.90567e-37, 0, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 2.90567e-37, 1.59674e-12, 2.90567e-37, 2.90567e-37, 1.88687e-12, 9.04042e-10, 2.90567e-37, 1.32791e-09, 2.90567e-37, 2.90567e-37, 2.90567e-37
0.321322, 0, 3.28756e-09, 2.555e-36, 1.41421, -3.28756e-09, 2.555e-36, 0, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.555e-36, 2.28696e-12, 2.555e-36, 2.555e-36, 2.87931e-12, 1.38263e-09, 2.555e-36, 1.89977e-09, 2.555e-36, 2.555e-36, 2.555e-36
0.329191, 0, 4.82034e-09, 2.05704e-35, 1.41421, -4.82034e-09, 2.05704e-35, 0, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 2.05704e-35, 3.25831e-12, 2.05704e-35, 2.05704e-35, 4.3918e-12, 2.10962e-09, 2.05704e-35, 2.70307e-09, 2.05704e-35, 2.05704e-35, 2.05704e-35
0.337059, 0, 7.04838e-09, 1.52307e-34, 1.41421, -7.04838e-09, 1.52307e-34, 0, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 1.52307e-34, 4.61806e-12, 1.52307e-34, 1.52307e-34, 6.69762e-12, 3.21186e-09, 1.52307e-34, 3.8252e-09, 1.52307e-34, 1.52307e-34, 1.52307e-34
0.344928, 0, 1.02807e-08, 1.02427e-33, 1.41421, -1.02807e-08, 1.02427e-33, 0, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 1.02427e-33, 6.51156e-12, 1.02427e-33, 1.02427e-33, 1.02143e-11, 4.88002e-09, 1.02427e-33, 5.38396e-09, 1.02427e-33, 1.02427e-33, 1.02427e-33
0.352797, 0, 1.49623e-08, 6.04375e-33, 1.41421, -1.49623e-08, 6.04375e-33, 0, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 6.04375e-33, 9.13474e-12, 6.04375e-33, 6.04375e-33, 1.55802e-11, 7.40034e-09, 6.04375e-33, 7.53729e-09, 6.04375e-33, 6.04375e-33, 6.04375e-33
0.360665, 0, 2.17338e-08, 3.66899e-32, 1.41421, -2.17338e-08, 3.66899e-32, 0, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 3.66899e-32, 1.27503e-11, 3.66899e-32, 3.66899e-32, 2.37704e-11, 1.12017e-08, 3.66899e-32, 1.04956e-08, 3.66899e-32, 3.66899e-32, 3.66899e-32
0.368534, 0, 3.15169e-08, 1.98762e-31, 1.41421, -3.15169e-08, 1.98762e-31, 0, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.98762e-31, 1.77088e-11, 1.98762e-31, 1.98762e-31, 3.62737e-11, 1.69253e-08, 1.98762e-31, 1.45376e-08, 1.98762e-31, 1.98762e-31, 1.98762e-31
0.376402, 0, 4.56383e-08, 1.05537e-30, 1.41421, -4.56383e-08, 1.05537e-30, 0, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 1.05537e-30, 2.44755e-11, 1.05537e-30, 1.05537e-30, 5.53604e-11, 2.55283e-08, 1.05537e-30, 2.00302e-08, 1.05537e-30, 1.05537e-30, 1.05537e-30
0.384271, 0, 6.60064e-08, 5.33001e-30, 1.41421, -6.60064e-08, 5.33001e-30, 0, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 5.33001e-30, 3.36653e-11, 5.33001e-30, 5.33001e-30, 8.44856e-11, 3.84344e-08, 5.33001e-30, 2.74538e-08, 5.33001e-30, 5.33001e-30, 5.33001e-30
0.39214, 0, 9.53655e-08, 2.5387e-29, 1.41421, -9.53655e-08, 2.5387e-29, 0, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 2.5387e-29, 4.60867e-11, 2.5387e-29, 2.5387e-29, 1.28896e-10, 5.7757e-08, 2.5387e-29, 3.74336e-08, 2.5387e-29, 2.5387e-29, 2.5387e-29
0.400008, 0, 1.37658e-07, 1.15501e-28, 1.41421, -1.37658e-07, 1.15501e-28, 0, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 1.15501e-28, 6.27981e-11, 1.15501e-28, 1.15501e-28, 1.96533e-10, 8.66205e-08, 1.15501e-28, 5.07782e-08, 1.15501e-28, 1.15501e-28, 1.15501e-28
0.407877, 0, 1.98542e-07, 5.05159e-28, 1.41421, -1.98542e-07, 5.05159e-28, 0, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 5.05159e-28, 8.5179e-11, 5.05159e-28, 5.05159e-28, 2.9938e-10, 1.29629e-07, 5.05159e-28, 6.85283e-08, 5.05159e-28, 5.05159e-28, 5.05159e-28
0.415746, 0, 2.86122e-07, 2.107e-27, 1.41421, -2.86122e-07, 2.107e-27, 0, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 2.107e-27, 1.15019e-10, 2.107e-27, 2.107e-27, 4.55444e-10, 1.93537e-07, 2.107e-27, 9.20147e-08, 2.107e-27, 2.107e-27, 2.107e-27
0.423614, 0, 4.11982e-07, 8.37927e-27, 1.41421, -4.11982e-07, 8.37927e-27, 0, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 8.37927e-27, 1.54629e-10, 8.37927e-27, 8.37927e-27, 6.91666e-10, 2.88206e-07, 8.37927e-27, 1.2293e-07, 8.37927e-27, 8.37927e-27, 8.37927e-27
0.431483, 0, 5.92635e-07, 3.17927e-26, 1.41421, -5.92635e-07, 3.17927e-26, 0, 3.17927e-26, 3.17927e-26, 3.17927e-26, 3.17927e-26, 3.17927e-26, 3.17927e-26, 3.17927e-26, 1.19813e-13, 3.17927e-26, 3.17927e-26, 3.17927e-26, 2.06983e-10, 3.17927e-26, 3.17927e-26, 1.04816e-09, 4.27965e-07, 3.17927e-26, 1.63415e-07, 3.17927e-26, 3.17927e-26, 3.17927e-26
0.439352, 0, 8.51538e-07, 1.15278e-25, 1.41421, -8.51538e-07, 1.15278e-25, 0, 1.15278e-25, 1.15278e-25, 1.15278e-25, 1.15278e-25, 1.15278e-25, 1.15278e-25, 1.15278e-25, 3.73342e-13, 1.15278e-25, 1.15278e-25, 1.15278e-25, 2.75891e-10, 1.15278e-25, 1.15278e-25, 1.58434e-09, 6.33516e-07, 1.15278e-25, 2.16162e-07, 1.15278e-25, 1.15278e-25, 1.15278e-25
0.44722, 0, 1.22188e-06, 4.01107e-25, 1.41421, -1.22188e-06, 4.01107e-25, 0, 4.01107e-25, 4.01107e-25, 4.01107e-25, 4.01107e-25, 4.01107e-25, 4.01107e-25, 4.01107e-25, 8.97968e-13, 4.01107e-25, 4.01107e-25, 4.01107e-25, 3.6621e-10, 4.01107e-25, 4.01107e-25, 2.38772e-09, 9.34591e-07, 4.01107e-25, 2.84537e-07, 4.01107e-25, 4.01107e-25, 4.01107e-25
0.455089, 0, 1.75167e-06, 1.35374e-24, 1.41421, -1.75167e-06, 3.96707e-11, 0, 1.25872e-15, 7.12607e-13, 3.59025e-11, 3.03015e-10, 1.20521e-11, 2.4963e-10, 2.36369e-10, 8.18836e-12, 8.20942e-11, 1.27792e-11, 2.01437e-10, 4.84123e-10, 4.66608e-12, 1.87213e-13, 3.58647e-09, 1.37362e-06, 3.7839e-16, 3.72781e-07, 1.35374e-24, 1.35374e-24, 1.18505e-11
0.462958, 0, 2.50668e-06, 1.08283e-10, 1.41421, -2.50668e-06, 2.31408e-10, 1.08283e-10, 1.08287e-10, 1.10494e-10, 2.19713e-10, 1.04875e-09, 1.45689e-10, 8.83058e-10, 8.419e-10, 1.31689e-10, 3.63078e-10, 1.47945e-10, 7.33483e-10, 7.45716e-10, 1.22765e-10, 1.08864e-10, 5.47587e-09, 2.01088e-06, 1.08284e-10, 4.86186e-07, 1.08283e-10, 1.08283e-10, 1.45063e-10
0.470826, 0, 3.57965e-06, 3.29878e-10, 1.41421, -3.57965e-06, 6.25053e-10, 3.29878e-10, 3.29888e-10, 3.3518e-10, 5.97016e-10, 2.58451e-09, 4.19554e-10, 2.18728e-09, 2.08861e-09, 3.84435e-10, 9.40712e-10, 4.24964e-10, 1.8287e-09, 1.16585e-09, 3.64597e-10, 3.31271e-10, 8.33086e-09, 2.93104e-06, 3.29881e-10, 6.31199e-07, 3.29878e-10, 3.29878e-10, 4.18054e-10
0.478695, 0, 5.10007e-06, 7.80671e-10, 1.41421, -5.10007e-06, 1.42399e-09, 7.80671e-10, 7.80691e-10, 7.92227e-10, 1.36288e-09, 5.6945e-09, 9.76113e-10, 4.82877e-09, 4.61373e-09, 8.97843e-10, 2.11195e-09, 9.87903e-10, 4.04726e-09, 1.87275e-09, 8.56338e-10, 7.83707e-10, 1.26555e-08, 4.25251e-06, 7.80677e-10, 8.1596e-07, 7.80671e-10, 7.80671e-10, 9.72844e-10
0.486563, 0, 7.24839e-06, 1.68809e-09, 1.41421, -7.24839e-06, 3.02337e-09, 1.68809e-09, 1.68813e-09, 1.71208e-09, 2.89653e-09, 1.18873e-08, 2.09375e-09, 1.00904e-08, 9.64404e-09, 1.92894e-09, 4.4513e-09, 2.11822e-09, 8.46828e-09, 3.10925e-09, 1.84515e-09, 1.69439e-09, 1.92313e-08, 6.14039e-06, 1.6881e-09, 1.05042e-06, 1.68809e-09, 1.68809e-09, 2.08697e-09
0.494432, 0, 1.02794e-05, 3.48698e-09, 1.41421, -1.02794e-05, 6.17364e-09, 3.48698e-09, 3.48707e-09, 3.53524e-09, 5.91844e-09, 2.40084e-08, 4.3032e-09, 2.03929e-08, 1.94948e-08, 3.96778e-09, 9.04673e-09, 4.35244e-09, 1.71291e-08, 5.32934e-09, 3.80299e-09, 3.49966e-09, 2.92796e-08, 8.82705e-06, 3.48701e-09, 1.34706e-06, 3.48698e-09, 3.48698e-09, 4.28955e-09
0.502301, 0, 1.45388e-05, 6.99377e-09, 1.41421, -1.45388e-05, 1.22743e-08, 6.99377e-09, 6.99394e-09, 7.08862e-09, 1.17727e-08, 4.73277e-08, 8.59801e-09, 4.02216e-08, 3.84564e-08, 8.05451e-09, 1.79212e-08, 8.69479e-09, 3.38068e-08, 9.37316e-09, 7.61487e-09, 7.01869e-09, 4.47241e-08, 1.26246e-05, 6.99382e-09, 1.72157e-06, 6.99377e-09, 6.99377e-09, 8.57118e-09
0.510169, 0, 2.04988e-05, 1.37584e-08, 1.41421, -2.04988e-05, 2.39527e-08, 1.37584e-08, 1.37587e-08, 1.39415e-08, 2.29844e-08, 9.16257e-08, 1.68555e-08, 7.79069e-08, 7.44992e-08, 1.69754e-08, 3.48545e-08, 1.70423e-08, 6.55227e-08, 1.68199e-08, 1.49575e-08, 1.38065e-08, 6.86718e-08, 1.79514e-05, 1.37585e-08, 2.19406e-06, 1.37584e-08, 1.37584e-08, 1.68037e-08
0.518038, 0, 2.88176e-05, 2.64103e-08, 1.41421, -2.88176e-05, 4.56794e-08, 2.64103e-08, 2.64109e-08, 2.67564e-08, 4.38491e-08, 1.73593e-07, 3.22644e-08, 1.47662e-07, 1.41221e-07, 3.34479e-08, 6.62857e-08, 3.26175e-08, 1.24254e-07, 3.03348e-08, 2.86767e-08, 2.65012e-08, 1.05931e-07, 2.53851e-05, 2.64105e-08, 2.79021e-06, 2.64103e-08, 2.64103e-08, 3.21664e-08
0.525907, 0, 4.04027e-05, 4.98285e-08, 1.41421, -4.04027e-05, 8.56402e-08, 4.98285e-08, 4.98297e-08, 5.04718e-08, 8.22386e-08, 3.23368e-07, 6.07083e-08, 2.75175e-07, 2.63204e-07, 6.43132e-08, 1.23937e-07, 6.13646e-08, 2.31671e-07, 5.48409e-08, 5.40407e-08, 4.99975e-08, 1.64331e-07, 3.56993e-05, 4.98289e-08, 3.54459e-06, 4.98285e-08, 4.98285e-08, 6.05263e-08
0.533775, 0, 5.65026e-05, 9.24382e-08, 1.41421, -5.65026e-05, 1.57895e-07, 9.24382e-08, 9.24403e-08, 9.3614e-08, 1.51677e-07, 5.92413e-07, 1.12324e-07, 5.04327e-07, 4.82447e-07, 1.21276e-07, 2.27894e-07, 1.13524e-07, 4.2481e-07, 9.88166e-08, 1.00137e-07, 9.27471e-08, 2.5641e-07, 4.99277e-05, 9.24389e-08, 4.50398e-06, 9.24382e-08, 9.24382e-08, 1.11992e-07
0.541644, 0, 7.88408e-05, 1.68653e-07, 1.41421, -7.88408e-05, 2.86338e-07, 1.68653e-07, 1.68656e-07, 1.70767e-07, 2.75159e-07, 1.06756e-06, 2.04406e-07, 9.09191e-07, 8.69852e-07, 2.24154e-07, 4.12189e-07, 2.06563e-07, 7.66226e-07, 1.7674e-07, 1.82495e-07, 1.69208e-07, 4.02183e-07, 6.94472e-05, 1.68654e-07, 5.73382e-06, 1.68653e-07, 1.68653e-07, 2.03808e-07
0.549513, 0, 0.000109802, 3.02666e-07, 1.41421, -0.000109802, 5.10814e-07, 3.02666e-07, 3.02672e-07, 3.06405e-07, 4.91043e-07, 1.89256e-06, 3.65902e-07, 1.61245e-06, 1.54287e-06, 4.08068e-07, 7.33407e-07, 3.69717e-07, 1.35959e-06, 3.12885e-07, 3.27148e-07, 3.03648e-07, 6.33452e-07, 9.60853e-05, 3.02668e-07, 7.32746e-06, 3.02666e-07, 3.02666e-07, 3.64844e-07
