   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_151.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00393072, 0.809098, 0, 0, 1.67604, 0.809098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00393758, 0, 2.17393e-20, 0, 1.41421, -2.17393e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85742e-22, 0, 0, 4.5464e-25, 2.05784e-22, 0, 2.12474e-20, 0, 0, 0
0.0118059, 0, 4.63567e-20, 0, 1.41421, -4.63567e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09191e-22, 0, 0, 9.81073e-25, 4.48022e-22, 0, 4.52985e-20, 0, 0, 0
0.0196742, 0, 9.76708e-20, 0, 1.41421, -9.76708e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28327e-21, 0, 0, 2.09222e-24, 9.63429e-22, 0, 9.5422e-20, 0, 0, 0
0.0275425, 0.178848, 2.03421e-19, 0, 1.47609, 0.178848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67215e-21, 0, 0, 4.41147e-24, 2.04739e-21, 0, 1.98697e-19, 0, 0, 0
0.0354108, 1.17403, 4.18967e-19, 0, 1.78158, 1.17403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50244e-21, 0, 0, 9.20039e-24, 4.30185e-21, 0, 4.09153e-19, 0, 0, 0
0.0432791, 1.99518, 8.53639e-19, 0, 1.99879, 1.99518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12088e-20, 0, 0, 1.8986e-23, 8.94063e-21, 0, 8.3347e-19, 0, 0, 0
0.0511473, 1.65195, 1.72115e-18, 0, 1.91101, 1.65195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2595e-20, 0, 0, 3.87804e-23, 1.83869e-20, 0, 1.68013e-18, 0, 0, 0
0.0590156, 0, 3.43515e-18, 0, 1.41421, -3.43515e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.50864e-20, 0, 0, 7.84284e-23, 3.74314e-20, 0, 3.35256e-18, 0, 0, 0
0.0668839, 0, 6.78843e-18, 0, 1.41421, -6.78843e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90784e-20, 0, 0, 1.57086e-22, 7.54551e-20, 0, 6.62374e-18, 0, 0, 0
