   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_385.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0122209, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00434777, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00352538, 0, 1.72202e-14, 0, 1.41421, -1.72202e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72521e-17, 0, 8.92525e-16, 0, 1.63104e-14, 0, 0, 0
0.0113985, 0, 2.71472e-14, 0, 1.41421, -2.71472e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76465e-17, 0, 1.44861e-15, 0, 2.56709e-14, 0, 0, 0
0.0192717, 0, 4.25989e-14, 0, 1.41421, -4.25989e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41042e-17, 0, 2.3413e-15, 0, 4.02135e-14, 0, 0, 0
0.0271448, 0, 6.65392e-14, 0, 1.41421, -6.65392e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00463e-17, 0, 3.76839e-15, 0, 6.27008e-14, 0, 0, 0
0.035018, 0, 1.03461e-13, 0, 1.41421, -1.03461e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10758e-16, 0, 6.04035e-15, 0, 9.73102e-14, 0, 0, 0
0.0428911, 0, 1.60145e-13, 0, 1.41421, -1.60145e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7437e-16, 0, 9.64254e-15, 0, 1.50328e-13, 0, 0, 0
0.0507643, 0, 2.46776e-13, 0, 1.41421, -2.46776e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73336e-16, 0, 1.53306e-14, 0, 2.31172e-13, 0, 0, 0
0.0586374, 0, 3.7858e-13, 0, 1.41421, -3.7858e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26649e-16, 0, 2.42762e-14, 0, 3.53877e-13, 0, 0, 0
0.0665106, 0, 5.78218e-13, 0, 1.41421, -5.78218e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63154e-16, 0, 3.82912e-14, 0, 5.39264e-13, 0, 0, 0
0.0743837, 0, 8.79264e-13, 0, 1.41421, -8.79264e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02648e-15, 0, 6.01601e-14, 0, 8.18077e-13, 0, 0, 0
0.0822569, 0, 1.33122e-12, 0, 1.41421, -1.33122e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58237e-15, 0, 9.41509e-14, 0, 1.23549e-12, 0, 0, 0
