   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_397.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00780521, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.64742e-05, 0, 1.29831e-17, 0, 1.41421, -1.29831e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33472e-19, 0, 0, 5.07619e-20, 0, 2.97648e-21, 0, 1.27959e-17, 0, 0, 0
0.00787816, 0, 2.30684e-17, 0, 1.41421, -2.30684e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37136e-19, 0, 0, 9.16323e-20, 0, 5.39924e-21, 0, 2.27342e-17, 0, 0, 0
0.0157198, 0, 4.07095e-17, 0, 1.41421, -4.07095e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18452e-19, 0, 0, 1.64312e-19, 0, 9.73146e-21, 0, 4.0117e-17, 0, 0, 0
0.0235615, 0, 7.13618e-17, 0, 1.41421, -7.13618e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33475e-19, 0, 0, 2.92724e-19, 0, 1.74301e-20, 0, 7.03182e-17, 0, 0, 0
0.0314032, 0, 1.24273e-16, 0, 1.41421, -1.24273e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27721e-18, 0, 0, 5.18158e-19, 0, 3.10286e-20, 0, 1.22446e-16, 0, 0, 0
0.0392449, 0, 2.15014e-16, 0, 1.41421, -2.15014e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20964e-18, 0, 0, 9.11444e-19, 0, 5.49057e-20, 0, 2.11838e-16, 0, 0, 0
0.0470866, 0, 3.69641e-16, 0, 1.41421, -3.69641e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7984e-18, 0, 0, 1.59332e-18, 0, 9.65868e-20, 0, 3.64152e-16, 0, 0, 0
0.0549283, 0, 6.31472e-16, 0, 1.41421, -6.31472e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48844e-18, 0, 0, 2.76838e-18, 0, 1.68933e-19, 0, 6.22046e-16, 0, 0, 0
0.06277, 0, 1.07206e-15, 0, 1.41421, -1.07206e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10146e-17, 0, 0, 4.78116e-18, 0, 2.938e-19, 0, 1.05597e-15, 0, 0, 0
0.0706116, 0, 1.8089e-15, 0, 1.41421, -1.8089e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85834e-17, 0, 0, 8.20847e-18, 0, 5.08128e-19, 0, 1.7816e-15, 0, 0, 0
0.0784533, 0, 3.03362e-15, 0, 1.41421, -3.03362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11628e-17, 0, 0, 1.40102e-17, 0, 8.74016e-19, 0, 2.98758e-15, 0, 0, 0
0.086295, 0, 5.05699e-15, 0, 1.41421, -5.05699e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1943e-17, 0, 0, 2.37747e-17, 0, 1.4953e-18, 0, 4.97978e-15, 0, 0, 0
0.0941367, 0, 8.37974e-15, 0, 1.41421, -8.37974e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60646e-17, 0, 0, 4.01151e-17, 0, 2.54469e-18, 0, 8.25101e-15, 0, 0, 0
0.101978, 0, 1.38038e-14, 0, 1.41421, -1.38038e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4176e-16, 0, 0, 6.73065e-17, 0, 4.30799e-18, 0, 1.35905e-14, 0, 0, 0
0.10982, 0, 2.26059e-14, 0, 1.41421, -2.26059e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3213e-16, 0, 0, 1.12304e-16, 0, 7.25571e-18, 0, 2.22543e-14, 0, 0, 0
0.117662, 0, 3.68061e-14, 0, 1.41421, -3.68061e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77907e-16, 0, 0, 1.86357e-16, 0, 1.21585e-17, 0, 3.62296e-14, 0, 0, 0
0.125503, 0, 5.9581e-14, 0, 1.41421, -5.9581e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.11686e-16, 0, 0, 3.0757e-16, 0, 2.02722e-17, 0, 5.86414e-14, 0, 0, 0
0.133345, 0, 9.58972e-14, 0, 1.41421, -9.58972e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.84421e-16, 0, 0, 5.04916e-16, 0, 3.36336e-17, 0, 9.43742e-14, 0, 0, 0
0.141187, 0, 1.53472e-13, 0, 1.41421, -1.53472e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57528e-15, 0, 0, 8.24522e-16, 0, 5.55288e-17, 0, 1.51017e-13, 0, 0, 0
0.149029, 0, 2.44227e-13, 0, 1.41421, -2.44227e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50654e-15, 0, 0, 1.33945e-15, 0, 9.12425e-17, 0, 2.4029e-13, 0, 0, 0
0.15687, 0, 3.86467e-13, 0, 1.41421, -3.86467e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96594e-15, 0, 0, 2.16485e-15, 0, 1.49216e-16, 0, 3.80187e-13, 0, 0, 0
0.164712, 0, 6.08134e-13, 0, 1.41421, -6.08134e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.24001e-15, 0, 0, 3.48132e-15, 0, 2.42885e-16, 0, 5.9817e-13, 0, 0, 0
0.172554, 0, 9.51625e-13, 0, 1.41421, -9.51625e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76348e-15, 0, 0, 5.57079e-15, 0, 3.93534e-16, 0, 9.35898e-13, 0, 0, 0
0.180395, 0, 1.4809e-12, 0, 1.41421, -1.4809e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51921e-14, 0, 0, 8.8717e-15, 0, 6.34729e-16, 0, 1.4562e-12, 0, 0, 0
0.188237, 0, 2.29185e-12, 0, 1.41421, -2.29185e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35089e-14, 0, 0, 1.40624e-14, 0, 1.01918e-15, 0, 2.25326e-12, 0, 0, 0
0.196079, 0, 3.52745e-12, 0, 1.41421, -3.52745e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61797e-14, 0, 0, 2.21888e-14, 0, 1.62929e-15, 0, 3.46746e-12, 0, 0, 0
0.20392, 0, 5.39957e-12, 0, 1.41421, -5.39957e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5376e-14, 0, 0, 3.48573e-14, 0, 2.59341e-15, 0, 5.30675e-12, 0, 0, 0
0.211762, 0, 8.22036e-12, 0, 1.41421, -8.22036e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42977e-14, 0, 0, 5.45269e-14, 0, 4.11057e-15, 0, 8.07742e-12, 0, 0, 0
0.219604, 0, 1.2447e-11, 0, 1.41421, -1.2447e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27631e-13, 0, 0, 8.49511e-14, 0, 6.48833e-15, 0, 1.22279e-11, 0, 0, 0
0.227445, 0, 1.87452e-11, 0, 1.41421, -1.87452e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92201e-13, 0, 0, 1.31843e-13, 0, 1.02001e-14, 0, 1.8411e-11, 0, 0, 0
0.235287, 0, 2.80787e-11, 0, 1.41421, -2.80787e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87886e-13, 0, 0, 2.03882e-13, 0, 1.59722e-14, 0, 2.7571e-11, 0, 0, 0
0.243129, 0, 4.18346e-11, 0, 1.41421, -4.18346e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2891e-13, 0, 0, 3.14227e-13, 0, 2.49153e-14, 0, 4.10665e-11, 0, 0, 0
0.25097, 0, 6.19976e-11, 0, 1.41421, -6.19976e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35628e-13, 0, 0, 4.82809e-13, 0, 3.87221e-14, 0, 6.08405e-11, 0, 0, 0
0.258812, 0, 9.13912e-11, 1.4013e-44, 1.41421, -9.13912e-11, 0, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 1.4013e-44, 9.37002e-13, 1.4013e-44, 1.4013e-44, 7.39783e-13, 1.4013e-44, 5.99655e-14, 1.4013e-44, 8.96545e-11, 1.4013e-44, 1.4013e-44, 1.4013e-44
0.266654, 0, 1.34009e-10, 2.76056e-43, 1.41421, -1.34009e-10, 0, 2.76056e-43, 2.76056e-43, 2.76056e-43, 2.76056e-43, 2.76056e-43, 2.76056e-43, 2.76056e-43, 2.76056e-43, 2.76056e-43, 1.37402e-12, 2.76056e-43, 2.76056e-43, 1.13077e-12, 2.76056e-43, 9.25455e-14, 2.76056e-43, 1.31412e-10, 2.76056e-43, 2.76056e-43, 2.76056e-43
0.274496, 0, 1.95468e-10, 3.9895e-42, 1.41421, -1.95468e-10, 0, 3.9895e-42, 3.9895e-42, 3.9895e-42, 3.9895e-42, 3.9895e-42, 3.9895e-42, 3.9895e-42, 3.9895e-42, 3.9895e-42, 2.00433e-12, 3.9895e-42, 3.9895e-42, 1.72477e-12, 3.9895e-42, 1.42359e-13, 3.9895e-42, 1.91597e-10, 3.9895e-42, 3.9895e-42, 3.9895e-42
0.282337, 0, 2.83623e-10, 5.25837e-41, 1.41421, -2.83623e-10, 0, 5.25837e-41, 5.25837e-41, 5.25837e-41, 5.25837e-41, 5.25837e-41, 5.25837e-41, 5.25837e-41, 5.25837e-41, 5.25837e-41, 2.90863e-12, 5.25837e-41, 5.25837e-41, 2.62622e-12, 5.25837e-41, 2.18301e-13, 5.25837e-41, 2.7787e-10, 5.25837e-41, 5.25837e-41, 5.25837e-41
0.290179, 0, 4.09395e-10, 6.22687e-40, 1.41421, -4.09395e-10, 0, 6.22687e-40, 6.22687e-40, 6.22687e-40, 6.22687e-40, 6.22687e-40, 6.22687e-40, 6.22687e-40, 6.22687e-40, 6.22687e-40, 4.19917e-12, 6.22687e-40, 6.22687e-40, 3.9933e-12, 6.22687e-40, 3.33765e-13, 6.22687e-40, 4.00869e-10, 6.22687e-40, 6.22687e-40, 6.22687e-40
