   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_115.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0171578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00923586, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00131395, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00660796, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0145299, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0224518, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0303737, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0382956, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0462175, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0541394, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0620614, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0699833, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0779052, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0858271, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.093749, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.101671, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.109593, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.117515, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.125437, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.133359, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.14128, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.149202, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.157124, 0, 9.04379e-30, 0, 1.41421, -9.04379e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48923e-32, 0, 0, 1.1753e-34, 2.41603e-35, 0, 9.02876e-30, 0, 0, 0
0.165046, 0, 1.08659e-28, 0, 1.41421, -1.08659e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78925e-31, 0, 0, 1.41208e-33, 2.43587e-33, 0, 1.08477e-28, 0, 0, 0
0.172968, 0, 8.20023e-28, 0, 1.41421, -8.20023e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35028e-30, 0, 0, 1.06564e-32, 2.99013e-32, 0, 8.18632e-28, 0, 0, 0
0.18089, 0, 4.9427e-27, 0, 1.41421, -4.9427e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.13874e-30, 0, 0, 6.4231e-32, 2.31206e-31, 0, 4.93427e-27, 0, 0, 0
0.188812, 0, 2.59059e-26, 0, 1.41421, -2.59059e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26568e-29, 0, 0, 3.36781e-31, 1.41986e-30, 0, 2.58615e-26, 0, 0, 0
0.196734, 0, 1.22978e-25, 0, 1.41421, -1.22978e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02495e-28, 0, 0, 1.60013e-30, 7.55046e-30, 0, 1.22766e-25, 0, 0, 0
0.204656, 0, 5.41008e-25, 0, 1.41421, -5.41008e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90816e-28, 0, 0, 7.04829e-30, 3.62651e-29, 0, 5.40074e-25, 0, 0, 0
0.212578, 0, 2.2374e-24, 0, 1.41421, -2.2374e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68404e-27, 0, 0, 2.91949e-29, 1.61114e-28, 0, 2.23352e-24, 0, 0, 0
0.2205, 0, 8.78274e-24, 0, 1.41421, -8.78274e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44614e-26, 0, 0, 1.14812e-28, 6.72033e-28, 0, 8.76749e-24, 0, 0, 0
0.228422, 0, 3.29495e-23, 0, 1.41421, -3.29495e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42534e-26, 0, 0, 4.31617e-28, 2.65827e-27, 0, 3.28922e-23, 0, 0, 0
0.236343, 0, 1.18748e-22, 0, 1.41421, -1.18748e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95525e-25, 0, 0, 1.55905e-27, 1.00427e-26, 0, 1.18541e-22, 0, 0, 0
0.244265, 0, 4.13952e-22, 0, 1.41421, -4.13952e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81593e-25, 0, 0, 5.44973e-27, 3.66136e-26, 0, 4.13229e-22, 0, 0, 0
0.252187, 0, 1.39493e-21, 0, 1.41421, -1.39493e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29681e-24, 0, 0, 1.8418e-26, 1.28486e-25, 0, 1.39248e-21, 0, 0, 0
0.260109, 0, 4.5568e-21, 0, 1.41421, -4.5568e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50294e-24, 0, 0, 6.03524e-26, 4.3564e-25, 0, 4.5488e-21, 0, 0, 0
0.268031, 0, 1.44628e-20, 0, 1.41421, -1.44628e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38135e-23, 0, 0, 1.92184e-25, 1.43129e-24, 0, 1.44374e-20, 0, 0, 0
