   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_840.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00494152, 0.809098, 0, 0, 1.67604, 0.809098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00292047, 0.372161, 2.73197e-25, 0, 1.54018, 0.372161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99924e-26, 0, 1.93205e-25, 0, 0
0.0107825, 1.62784, 8.21554e-25, 0, 1.90469, 1.62784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46852e-25, 0, 5.74702e-25, 0, 0
0.0186445, 0.181258, 2.38689e-24, 0, 1.47691, 0.181258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33525e-25, 0, 1.65336e-24, 0, 0
0.0265065, 0.818742, 6.72678e-24, 0, 1.67891, 0.818742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10904e-24, 0, 4.61774e-24, 0, 0
0.0343685, 0, 1.84469e-23, 0, 1.41421, -1.84469e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88915e-24, 0, 1.25577e-23, 0, 0
0.0422304, 0.174026, 4.93466e-23, 0, 1.47446, 0.174026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60167e-23, 0, 3.33299e-23, 0, 0
0.0500924, 0.825974, 1.29031e-22, 0, 1.68106, 0.825974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25267e-23, 0, 8.65042e-23, 0, 0
0.0579544, 0, 3.30342e-22, 0, 1.41421, -3.30342e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10445e-22, 0, 2.19896e-22, 0, 0
0.0658164, 0, 8.29249e-22, 0, 1.41421, -8.29249e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81017e-22, 0, 5.48232e-22, 0, 0
0.0736784, 0, 2.04353e-21, 0, 1.41421, -2.04353e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01461e-22, 0, 1.34207e-21, 0, 0
0.0815404, 0, 4.94889e-21, 0, 1.41421, -4.94889e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71974e-21, 0, 3.22914e-21, 0, 0
0.0894024, 0.159561, 1.17884e-20, 0, 1.46954, 0.159561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14521e-21, 0, 7.64318e-21, 0, 0
0.0972644, 0.840439, 2.76418e-20, 0, 1.68536, 0.840439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83173e-21, 0, 1.781e-20, 0, 0
0.105126, 0, 6.38477e-20, 0, 1.41421, -6.38477e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2964e-20, 0, 4.08837e-20, 0, 0
0.112988, 0, 1.45365e-19, 0, 1.41421, -1.45365e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.28558e-20, 0, 9.25093e-20, 0, 0
