   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.108369, 0, 2.08868e-15, 0, 1.41421, -2.08868e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32497e-18, 0, 0, 2.86549e-20, 0, 2.18091e-18, 0, 2.08015e-15, 0, 0
0.116228, 0, 3.6387e-15, 0, 1.41421, -3.6387e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10185e-17, 0, 0, 5.07795e-20, 0, 3.88619e-18, 0, 3.62375e-15, 0, 0
0.124086, 0, 6.29529e-15, 0, 1.41421, -6.29529e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90625e-17, 0, 0, 8.93913e-20, 0, 6.88126e-18, 0, 6.26926e-15, 0, 0
0.131944, 0, 1.08172e-14, 0, 1.41421, -1.08172e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27542e-17, 0, 0, 1.56337e-19, 0, 1.21093e-17, 0, 1.07722e-14, 0, 0
0.139803, 0, 1.84616e-14, 0, 1.41421, -1.84616e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58999e-17, 0, 0, 2.71662e-19, 0, 2.11801e-17, 0, 1.83843e-14, 0, 0
0.147661, 0, 3.12979e-14, 0, 1.41421, -3.12979e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.47641e-17, 0, 0, 4.69073e-19, 0, 3.68244e-17, 0, 3.11658e-14, 0, 0
0.155519, 0, 5.27076e-14, 0, 1.41421, -5.27076e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59584e-16, 0, 0, 8.04883e-19, 0, 6.36485e-17, 0, 5.24836e-14, 0, 0
0.163377, 0, 8.818e-14, 0, 1.41421, -8.818e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66978e-16, 0, 0, 1.37259e-18, 0, 1.09377e-16, 0, 8.78023e-14, 0, 0
0.171236, 0, 1.46564e-13, 0, 1.41421, -1.46564e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43732e-16, 0, 0, 2.3265e-18, 0, 1.86889e-16, 0, 1.45931e-13, 0, 0
0.179094, 0, 2.42029e-13, 0, 1.41421, -2.42029e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3274e-16, 0, 0, 3.91973e-18, 0, 3.17543e-16, 0, 2.40975e-13, 0, 0
0.186952, 0, 3.97105e-13, 0, 1.41421, -3.97105e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2022e-15, 0, 0, 6.56507e-18, 0, 5.36558e-16, 0, 3.9536e-13, 0, 0
0.19481, 0, 6.47387e-13, 0, 1.41421, -6.47387e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95987e-15, 0, 0, 1.09319e-17, 0, 9.01783e-16, 0, 6.44514e-13, 0, 0
0.202669, 0, 1.04871e-12, 0, 1.41421, -1.04871e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17478e-15, 0, 0, 1.80998e-17, 0, 1.50756e-15, 0, 1.04401e-12, 0, 0
0.210527, 0, 1.6881e-12, 0, 1.41421, -1.6881e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11037e-15, 0, 0, 2.98002e-17, 0, 2.5071e-15, 0, 1.68045e-12, 0, 0
0.218385, 0, 2.70025e-12, 0, 1.41421, -2.70025e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17447e-15, 0, 0, 4.87973e-17, 0, 4.14801e-15, 0, 2.68788e-12, 0, 0
0.226243, 0, 4.29227e-12, 0, 1.41421, -4.29227e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29942e-14, 0, 0, 7.94808e-17, 0, 6.82843e-15, 0, 4.27236e-12, 0, 0
0.234102, 0, 6.78048e-12, 0, 1.41421, -6.78048e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05274e-14, 0, 0, 1.28791e-16, 0, 1.11857e-14, 0, 6.74863e-12, 0, 0
