   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_285.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00570448, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00215848, 0, 4.22568e-21, 0, 1.41421, -4.22568e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.58665e-22, 0, 3.26701e-21, 0, 0
0.0100214, 0, 9.32142e-21, 0, 1.41421, -9.32142e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14427e-21, 0, 7.17715e-21, 0, 0
0.0178844, 0, 2.02862e-20, 0, 1.41421, -2.02862e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7304e-21, 0, 1.55558e-20, 0, 0
0.0257474, 0, 4.35845e-20, 0, 1.41421, -4.35845e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02999e-20, 0, 3.32846e-20, 0, 0
0.0336103, 0, 9.24969e-20, 0, 1.41421, -9.24969e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21492e-20, 0, 7.03477e-20, 0, 0
0.0414733, 0, 1.94003e-19, 0, 1.41421, -1.94003e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70669e-20, 0, 1.46936e-19, 0, 0
0.0493363, 0, 4.02319e-19, 0, 1.41421, -4.02319e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88834e-20, 0, 3.03436e-19, 0, 0
0.0571992, 0, 8.25263e-19, 0, 1.41421, -8.25263e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05483e-19, 0, 6.1978e-19, 0, 0
0.0650622, 0, 1.67506e-18, 0, 1.41421, -1.67506e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22516e-19, 0, 1.25254e-18, 0, 0
