   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_15.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.204617, 0, 1.38704e-11, 0, 1.41421, -1.38704e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.85218e-14, 0, 0, 4.64663e-16, 0, 2.25332e-14, 0, 1.37489e-11, 0, 0, 0
0.21246, 0, 2.17822e-11, 0, 1.41421, -2.17822e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54728e-13, 0, 0, 7.47654e-16, 0, 3.66456e-14, 0, 2.15901e-11, 0, 0, 0
0.220304, 0, 3.40069e-11, 0, 1.41421, -3.40069e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41584e-13, 0, 0, 1.19719e-15, 0, 5.93209e-14, 0, 3.37048e-11, 0, 0, 0
0.228147, 0, 5.27829e-11, 0, 1.41421, -5.27829e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75011e-13, 0, 0, 1.90807e-15, 0, 9.55923e-14, 0, 5.23104e-11, 0, 0, 0
0.235991, 0, 8.14503e-11, 0, 1.41421, -8.14503e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78776e-13, 0, 0, 3.02745e-15, 0, 1.5336e-13, 0, 8.07151e-11, 0, 0, 0
0.243834, 0, 1.24961e-10, 0, 1.41421, -1.24961e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88138e-13, 0, 0, 4.78302e-15, 0, 2.44979e-13, 0, 1.23823e-10, 0, 0, 0
0.251678, 0, 1.90611e-10, 0, 1.41421, -1.90611e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35509e-12, 0, 0, 7.52607e-15, 0, 3.89691e-13, 0, 1.88858e-10, 0, 0, 0
0.259522, 0, 2.89083e-10, 0, 1.41421, -2.89083e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05583e-12, 0, 0, 1.17974e-14, 0, 6.17373e-13, 0, 2.86398e-10, 0, 0, 0
0.267365, 0, 4.35922e-10, 0, 1.41421, -4.35922e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10138e-12, 0, 0, 1.84279e-14, 0, 9.74245e-13, 0, 4.31827e-10, 0, 0, 0
0.275209, 0, 6.53601e-10, 1.70958e-43, 1.41421, -6.53601e-10, 1.70958e-43, 0, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 1.70958e-43, 4.65246e-12, 1.70958e-43, 1.70958e-43, 2.86926e-14, 1.70958e-43, 1.53161e-12, 1.70958e-43, 6.47388e-10, 1.70958e-43, 1.70958e-43, 1.70958e-43
