   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_313.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00797238, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000129189, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.007714, 0, 6.71671e-20, 0, 1.41421, -6.71671e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6894e-22, 0, 0, 1.03657e-22, 0, 3.70552e-24, 6.67908e-20, 0, 0
0.0155572, 0, 1.35254e-19, 0, 1.41421, -1.35254e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41553e-22, 0, 0, 2.11331e-22, 0, 7.59366e-24, 1.34494e-19, 0, 0
0.0234004, 0, 2.69706e-19, 0, 1.41421, -2.69706e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07987e-21, 0, 0, 4.26724e-22, 0, 1.54076e-23, 2.68184e-19, 0, 0
0.0312436, 0, 5.32736e-19, 0, 1.41421, -5.32736e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13296e-21, 0, 0, 8.53665e-22, 0, 3.09645e-23, 5.29718e-19, 0, 0
0.0390868, 0, 1.04265e-18, 0, 1.41421, -1.04265e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17444e-21, 0, 0, 1.69243e-21, 0, 6.16573e-23, 1.03672e-18, 0, 0
0.0469299, 0, 2.02245e-18, 0, 1.41421, -2.02245e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09709e-21, 0, 0, 3.32608e-21, 0, 1.21682e-22, 2.0109e-18, 0, 0
0.0547731, 0, 3.88894e-18, 0, 1.41421, -3.88894e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55695e-20, 0, 0, 6.4812e-21, 0, 2.38076e-22, 3.86665e-18, 0, 0
0.0626163, 0, 7.41467e-18, 0, 1.41421, -7.41467e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9684e-20, 0, 0, 1.25249e-20, 0, 4.61908e-22, 7.37199e-18, 0, 0
0.0704595, 0, 1.40198e-17, 0, 1.41421, -1.40198e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61256e-20, 0, 0, 2.40092e-20, 0, 8.88899e-22, 1.39387e-17, 0, 0
0.0783027, 0, 2.62938e-17, 0, 1.41421, -2.62938e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0526e-19, 0, 0, 4.56607e-20, 0, 1.69707e-21, 2.61411e-17, 0, 0
0.0861459, 0, 4.89215e-17, 0, 1.41421, -4.89215e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95839e-19, 0, 0, 8.6168e-20, 0, 3.21502e-21, 4.86363e-17, 0, 0
0.0939891, 0, 9.03115e-17, 0, 1.41421, -9.03115e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61518e-19, 0, 0, 1.61381e-19, 0, 6.04484e-21, 8.97825e-17, 0, 0
0.101832, 0, 1.65441e-16, 0, 1.41421, -1.65441e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.62244e-19, 0, 0, 3.00006e-19, 0, 1.12819e-20, 1.64467e-16, 0, 0
0.109675, 0, 3.0078e-16, 0, 1.41421, -3.0078e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20396e-18, 0, 0, 5.53641e-19, 0, 2.09047e-20, 2.99002e-16, 0, 0
