   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_363.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00677048, 0, 2.27773e-14, 0, 1.41421, -2.27773e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97152e-16, 0, 0, 1.1035e-16, 0, 5.82007e-18, 2.2464e-14, 0, 0, 0
0.0146154, 0, 3.52527e-14, 0, 1.41421, -3.52527e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05105e-16, 0, 0, 1.73937e-16, 0, 9.29745e-18, 3.47644e-14, 0, 0, 0
0.0224603, 0, 5.43177e-14, 0, 1.41421, -5.43177e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70062e-16, 0, 0, 2.73e-16, 0, 1.47933e-17, 5.35598e-14, 0, 0, 0
0.0303052, 0, 8.33218e-14, 0, 1.41421, -8.33218e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2099e-16, 0, 0, 4.26682e-16, 0, 2.34444e-17, 8.21507e-14, 0, 0, 0
0.0381502, 0, 1.27251e-13, 0, 1.41421, -1.27251e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.101e-15, 0, 0, 6.64107e-16, 0, 3.70087e-17, 1.25448e-13, 0, 0, 0
0.0459951, 0, 1.93488e-13, 0, 1.41421, -1.93488e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67392e-15, 0, 0, 1.0294e-15, 0, 5.81929e-17, 1.90726e-13, 0, 0, 0
0.05384, 0, 2.92922e-13, 0, 1.41421, -2.92922e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53389e-15, 0, 0, 1.58914e-15, 0, 9.11551e-17, 2.88708e-13, 0, 0, 0
0.0616849, 0, 4.41534e-13, 0, 1.41421, -4.41534e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81902e-15, 0, 0, 2.44343e-15, 0, 1.42243e-16, 4.35129e-13, 0, 0, 0
0.0695299, 0, 6.62673e-13, 0, 1.41421, -6.62673e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73113e-15, 0, 0, 3.74211e-15, 0, 2.21121e-16, 6.52979e-13, 0, 0, 0
0.0773748, 0, 9.903e-13, 0, 1.41421, -9.903e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56368e-15, 0, 0, 5.70874e-15, 0, 3.42449e-16, 9.75685e-13, 0, 0, 0
0.0852197, 0, 1.47358e-12, 0, 1.41421, -1.47358e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27415e-14, 0, 0, 8.67577e-15, 0, 5.28373e-16, 1.45163e-12, 0, 0, 0
0.0930646, 0, 2.18337e-12, 0, 1.41421, -2.18337e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88767e-14, 0, 0, 1.31357e-14, 0, 8.1223e-16, 2.15054e-12, 0, 0, 0
0.10091, 0, 3.22132e-12, 0, 1.41421, -3.22132e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78475e-14, 0, 0, 1.98153e-14, 0, 1.24402e-15, 3.17242e-12, 0, 0, 0
0.108754, 0, 4.73265e-12, 0, 1.41421, -4.73265e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09082e-14, 0, 0, 2.97847e-14, 0, 1.89845e-15, 4.66006e-12, 0, 0, 0
0.116599, 0, 6.92375e-12, 0, 1.41421, -6.92375e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98415e-14, 0, 0, 4.46139e-14, 0, 2.88677e-15, 6.8164e-12, 0, 0, 0
0.124444, 0, 1.00868e-11, 0, 1.41421, -1.00868e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71706e-14, 0, 0, 6.66005e-14, 0, 4.37407e-15, 9.92862e-12, 0, 0, 0
0.132289, 0, 1.46333e-11, 0, 1.41421, -1.46333e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2645e-13, 0, 0, 9.90985e-14, 0, 6.60448e-15, 1.44012e-11, 0, 0, 0
0.140134, 0, 2.11408e-11, 0, 1.41421, -2.11408e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82667e-13, 0, 0, 1.46993e-13, 0, 9.93785e-15, 2.08012e-11, 0, 0, 0
0.147979, 0, 3.04152e-11, 0, 1.41421, -3.04152e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62781e-13, 0, 0, 2.17384e-13, 0, 1.49028e-14, 2.99201e-11, 0, 0, 0
0.155824, 0, 4.3577e-11, 0, 1.41421, -4.3577e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7647e-13, 0, 0, 3.20575e-13, 0, 2.22735e-14, 4.28577e-11, 0, 0, 0
0.163669, 0, 6.21768e-11, 0, 1.41421, -6.21768e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.37125e-13, 0, 0, 4.71496e-13, 0, 3.31805e-14, 6.1135e-11, 0, 0, 0
0.171514, 0, 8.83503e-11, 0, 1.41421, -8.83503e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63194e-13, 0, 0, 6.91758e-13, 0, 4.92693e-14, 8.68461e-11, 0, 0, 0
0.179359, 0, 1.25027e-10, 0, 1.41421, -1.25027e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07998e-12, 0, 0, 1.01263e-12, 0, 7.29286e-14, 1.22861e-10, 0, 0, 0
0.187204, 0, 1.76206e-10, 0, 1.41421, -1.76206e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52205e-12, 0, 0, 1.4793e-12, 0, 1.07617e-13, 1.73097e-10, 0, 0, 0
0.195049, 0, 2.47325e-10, 0, 1.41421, -2.47325e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13637e-12, 0, 0, 2.15714e-12, 0, 1.58327e-13, 2.42873e-10, 0, 0, 0
0.202894, 0, 3.4574e-10, 0, 1.41421, -3.4574e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98656e-12, 0, 0, 3.14065e-12, 0, 2.32253e-13, 3.39381e-10, 0, 0, 0
0.210738, 0, 4.81364e-10, 1.26117e-44, 1.41421, -4.81364e-10, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 4.15832e-12, 1.26117e-44, 1.26117e-44, 4.56656e-12, 1.26117e-44, 3.39727e-13, 4.723e-10, 1.26117e-44, 1.26117e-44, 1.26117e-44
0.218583, 0, 6.67498e-10, 2.4803e-43, 1.41421, -6.67498e-10, 0, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 2.4803e-43, 5.76671e-12, 2.4803e-43, 2.4803e-43, 6.63287e-12, 2.4803e-43, 4.95569e-13, 6.54603e-10, 2.4803e-43, 2.4803e-43, 2.4803e-43
0.226428, 0, 9.21902e-10, 3.5621e-42, 1.41421, -9.21902e-10, 0, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 3.5621e-42, 7.96546e-12, 3.5621e-42, 3.5621e-42, 9.62641e-12, 3.5621e-42, 7.20974e-13, 9.03589e-10, 3.5621e-42, 3.5621e-42, 3.5621e-42
0.234273, 0, 1.2682e-09, 4.73162e-41, 1.41421, -1.2682e-09, 0, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 4.73162e-41, 1.09591e-11, 4.73162e-41, 4.73162e-41, 1.39633e-11, 4.73162e-41, 1.04621e-12, 1.24223e-09, 4.73162e-41, 4.73162e-41, 4.73162e-41
0.242118, 0, 1.73769e-09, 5.63738e-40, 1.41421, -1.73769e-09, 0, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 5.63738e-40, 1.50188e-11, 5.63738e-40, 5.63738e-40, 2.02475e-11, 5.63738e-40, 1.51441e-12, 1.70091e-09, 5.63738e-40, 5.63738e-40, 5.63738e-40
0.249963, 0, 2.37162e-09, 6.05396e-39, 1.41421, -2.37162e-09, 0, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 6.05396e-39, 2.05022e-11, 6.05396e-39, 6.05396e-39, 2.93568e-11, 6.05396e-39, 2.18692e-12, 2.31957e-09, 6.05396e-39, 6.05396e-39, 6.05396e-39
0.257808, 0, 3.22418e-09, 5.88192e-38, 1.41421, -3.22418e-09, 0, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 5.88192e-38, 2.78794e-11, 5.88192e-38, 5.88192e-38, 4.25679e-11, 5.88192e-38, 3.15084e-12, 3.15058e-09, 5.88192e-38, 5.88192e-38, 5.88192e-38
0.265653, 0, 4.36628e-09, 5.19761e-37, 1.41421, -4.36628e-09, 0, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 5.19761e-37, 3.77659e-11, 5.19761e-37, 5.19761e-37, 6.17391e-11, 5.19761e-37, 4.52965e-12, 4.26225e-09, 5.19761e-37, 5.19761e-37, 5.19761e-37
0.273498, 0, 5.89024e-09, 4.19861e-36, 1.41421, -5.89024e-09, 0, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 4.19861e-36, 5.09638e-11, 4.19861e-36, 4.19861e-36, 8.95753e-11, 4.19861e-36, 6.49802e-12, 5.74321e-09, 4.19861e-36, 4.19861e-36, 4.19861e-36
0.281343, 0, 7.91595e-09, 3.11593e-35, 1.41421, -7.91595e-09, 0, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 3.11593e-35, 6.85153e-11, 3.11593e-35, 3.11593e-35, 1.30017e-10, 3.11593e-35, 9.30278e-12, 7.70811e-09, 3.11593e-35, 3.11593e-35, 3.11593e-35
0.289188, 0, 1.05983e-08, 2.1121e-34, 1.41421, -1.05983e-08, 0, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 2.1121e-34, 9.17678e-11, 2.1121e-34, 2.1121e-34, 1.88798e-10, 2.1121e-34, 1.32919e-11, 1.03044e-08, 2.1121e-34, 2.1121e-34, 2.1121e-34
0.297033, 0, 1.4137e-08, 1.40931e-33, 1.41421, -1.4137e-08, 0, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.40931e-33, 1.22459e-10, 1.40931e-33, 1.40931e-33, 2.74268e-10, 1.40931e-33, 1.89551e-11, 1.37213e-08, 1.40931e-33, 1.40931e-33, 1.40931e-33
0.304878, 0, 1.8788e-08, 9.08762e-33, 1.41421, -1.8788e-08, 0, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 9.08762e-33, 1.62819e-10, 9.08762e-33, 9.08762e-33, 3.98561e-10, 9.08762e-33, 2.69806e-11, 1.81997e-08, 9.08762e-33, 9.08762e-33, 9.08762e-33
0.312722, 0, 2.48793e-08, 5.50225e-32, 1.41421, -2.48793e-08, 0, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 5.50225e-32, 2.15701e-10, 5.50225e-32, 5.50225e-32, 5.79296e-10, 5.50225e-32, 3.83331e-11, 2.4046e-08, 5.50225e-32, 5.50225e-32, 5.50225e-32
