   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00364298, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00422168, 0, 1.57458e-20, 0, 1.41421, -1.57458e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94927e-22, 0, 0, 1.03248e-25, 2.77647e-22, 0, 1.52731e-20, 0, 0, 0
0.0120863, 0, 3.36894e-20, 0, 1.41421, -3.36894e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16908e-22, 0, 0, 2.23438e-25, 6.06421e-22, 0, 3.26659e-20, 0, 0, 0
0.019951, 0, 7.12208e-20, 0, 1.41421, -7.12208e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.8103e-22, 0, 0, 4.77863e-25, 1.30821e-21, 0, 6.90311e-20, 0, 0, 0
0.0278157, 0, 1.48833e-19, 0, 1.41421, -1.48833e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84042e-21, 0, 0, 1.01046e-24, 2.78893e-21, 0, 1.44202e-19, 0, 0, 0
0.0356803, 0, 3.07568e-19, 0, 1.41421, -3.07568e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80186e-21, 0, 0, 2.11337e-24, 5.8784e-21, 0, 2.97886e-19, 0, 0, 0
0.043545, 0, 6.28774e-19, 0, 1.41421, -6.28774e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76929e-21, 0, 0, 4.37361e-24, 1.22555e-20, 0, 6.08745e-19, 0, 0, 0
0.0514097, 0, 1.27204e-18, 0, 1.41421, -1.27204e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57114e-20, 0, 0, 8.95889e-24, 2.52829e-20, 0, 1.23103e-18, 0, 0, 0
0.0592743, 0, 2.54731e-18, 0, 1.41421, -2.54731e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14502e-20, 0, 0, 1.81696e-23, 5.1629e-20, 0, 2.46421e-18, 0, 0, 0
0.067139, 0, 5.05081e-18, 0, 1.41421, -5.05081e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23341e-20, 0, 0, 3.64956e-23, 1.04395e-19, 0, 4.88405e-18, 0, 0, 0
0.0750037, 0, 9.91845e-18, 0, 1.41421, -9.91845e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22356e-19, 0, 0, 7.2618e-23, 2.09079e-19, 0, 9.58694e-18, 0, 0, 0
0.0828683, 0, 1.92941e-17, 0, 1.41421, -1.92941e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37913e-19, 0, 0, 1.43172e-22, 4.14865e-19, 0, 1.86412e-17, 0, 0, 0
0.090733, 0, 3.71872e-17, 0, 1.41421, -3.71872e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58348e-19, 0, 0, 2.79754e-22, 8.15792e-19, 0, 3.59128e-17, 0, 0, 0
0.0985976, 0, 7.10288e-17, 0, 1.41421, -7.10288e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75056e-19, 0, 0, 5.41855e-22, 1.59013e-18, 0, 6.8563e-17, 0, 0, 0
0.106462, 0, 1.34468e-16, 0, 1.41421, -1.34468e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65582e-18, 0, 0, 1.04053e-21, 3.07296e-18, 0, 1.29738e-16, 0, 0, 0
0.114327, 0, 2.52358e-16, 0, 1.41421, -2.52358e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10596e-18, 0, 0, 1.98138e-21, 5.88904e-18, 0, 2.43361e-16, 0, 0, 0
0.122192, 0, 4.6956e-16, 0, 1.41421, -4.6956e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77626e-18, 0, 0, 3.74186e-21, 1.11938e-17, 0, 4.52586e-16, 0, 0, 0
0.130056, 0, 8.66367e-16, 0, 1.41421, -8.66367e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06518e-17, 0, 0, 7.00934e-21, 2.11074e-17, 0, 8.34601e-16, 0, 0, 0
0.137921, 0, 1.59479e-15, 0, 1.41421, -1.59479e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95949e-17, 0, 0, 1.31333e-20, 3.98669e-17, 0, 1.53532e-15, 0, 0, 0
0.145786, 0, 2.89226e-15, 0, 1.41421, -2.89226e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55158e-17, 0, 0, 2.41937e-20, 7.39531e-17, 0, 2.78277e-15, 0, 0, 0
0.15365, 0, 5.20343e-15, 0, 1.41421, -5.20343e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38568e-17, 0, 0, 4.42282e-20, 1.36166e-16, 0, 5.00336e-15, 0, 0, 0
0.161515, 0, 9.28756e-15, 0, 1.41421, -9.28756e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13904e-16, 0, 0, 8.02444e-20, 2.4889e-16, 0, 8.92468e-15, 0, 0, 0
0.16938, 0, 1.64479e-14, 0, 1.41421, -1.64479e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01581e-16, 0, 0, 1.44509e-19, 4.5168e-16, 0, 1.57944e-14, 0, 0, 0
0.177244, 0, 2.89034e-14, 0, 1.41421, -2.89034e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5398e-16, 0, 0, 2.58336e-19, 8.13941e-16, 0, 2.77352e-14, 0, 0, 0
0.185109, 0, 5.04024e-14, 0, 1.41421, -5.04024e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16811e-16, 0, 0, 4.58485e-19, 1.45661e-15, 0, 4.83285e-14, 0, 0, 0
0.192974, 0, 8.72264e-14, 0, 1.41421, -8.72264e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0666e-15, 0, 0, 8.07906e-19, 2.58902e-15, 0, 8.35699e-14, 0, 0, 0
0.200838, 0, 1.49819e-13, 0, 1.41421, -1.49819e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83043e-15, 0, 0, 1.41363e-18, 4.57103e-15, 0, 1.43416e-13, 0, 0, 0
0.208703, 0, 2.55408e-13, 0, 1.41421, -2.55408e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11769e-15, 0, 0, 2.45636e-18, 8.01725e-15, 0, 2.44271e-13, 0, 0, 0
0.216568, 0, 4.32195e-13, 0, 1.41421, -4.32195e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.27065e-15, 0, 0, 4.23917e-18, 1.39716e-14, 0, 4.12948e-13, 0, 0, 0
0.224432, 0, 7.25975e-13, 0, 1.41421, -7.25975e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84441e-15, 0, 0, 7.2669e-18, 2.4194e-14, 0, 6.92929e-13, 0, 0, 0
0.232297, 0, 1.21056e-12, 0, 1.41421, -1.21056e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47322e-14, 0, 0, 1.23752e-17, 4.16353e-14, 0, 1.15418e-12, 0, 0, 0
0.240162, 0, 2.004e-12, 0, 1.41421, -2.004e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43604e-14, 0, 0, 2.09389e-17, 7.12135e-14, 0, 1.9084e-12, 0, 0, 0
0.248026, 0, 3.29363e-12, 0, 1.41421, -3.29363e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99886e-14, 0, 0, 3.52062e-17, 1.21077e-13, 0, 3.13252e-12, 0, 0, 0
0.255891, 0, 5.37453e-12, 0, 1.41421, -5.37453e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51692e-14, 0, 0, 5.88336e-17, 2.04655e-13, 0, 5.10465e-12, 0, 0, 0
0.263756, 0, 8.70799e-12, 0, 1.41421, -8.70799e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05444e-13, 0, 0, 9.77357e-17, 3.43957e-13, 0, 8.25849e-12, 0, 0, 0
0.27162, 0, 1.40096e-11, 0, 1.41421, -1.40096e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69391e-13, 0, 0, 1.61433e-16, 5.74876e-13, 0, 1.32652e-11, 0, 0, 0
0.279485, 0, 2.23815e-11, 0, 1.41421, -2.23815e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70191e-13, 0, 0, 2.65188e-16, 9.55672e-13, 0, 2.11553e-11, 0, 0, 0
0.28735, 0, 3.55082e-11, 0, 1.41421, -3.55082e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27936e-13, 0, 0, 4.33361e-16, 1.58048e-12, 0, 3.34994e-11, 0, 0, 0
0.295214, 0, 5.59462e-11, 0, 1.41421, -5.59462e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73028e-13, 0, 0, 7.04712e-16, 2.60076e-12, 0, 5.26717e-11, 0, 0, 0
0.303079, 0, 8.75468e-11, 1.09301e-43, 1.41421, -8.75468e-11, 1.09301e-43, 0, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.09301e-43, 1.05112e-12, 1.09301e-43, 1.09301e-43, 1.14074e-15, 4.25933e-12, 1.09301e-43, 8.22352e-11, 1.09301e-43, 1.09301e-43, 1.09301e-43
0.310944, 0, 1.36071e-10, 1.84271e-42, 1.41421, -1.36071e-10, 1.84271e-42, 0, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.84271e-42, 1.63028e-12, 1.84271e-42, 1.84271e-42, 1.8388e-15, 6.94412e-12, 1.84271e-42, 1.27495e-10, 1.84271e-42, 1.84271e-42, 1.84271e-42
0.318808, 0, 2.10076e-10, 2.58596e-41, 1.41421, -2.10076e-10, 2.58596e-41, 0, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.58596e-41, 2.51118e-12, 2.58596e-41, 2.58596e-41, 2.95274e-15, 1.1273e-11, 2.58596e-41, 1.96289e-10, 2.58596e-41, 2.58596e-41, 2.58596e-41
0.326673, 0, 3.22185e-10, 3.21499e-40, 1.41421, -3.22185e-10, 3.21499e-40, 0, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.21499e-40, 3.84171e-12, 3.21499e-40, 3.21499e-40, 4.7255e-15, 1.82277e-11, 3.21499e-40, 3.00111e-10, 3.21499e-40, 3.21499e-40, 3.21499e-40
0.334538, 0, 4.90898e-10, 3.59073e-39, 1.41421, -4.90898e-10, 3.59073e-39, 0, 3.59073e-39, 3.59073e-39, 3.59073e-39, 3.59073e-39, 3.59073e-39, 3.59073e-39, 3.59073e-39, 3.59073e-39, 3.59073e-39, 5.83747e-12, 3.59073e-39, 3.59073e-39, 7.54047e-15, 2.93643e-11, 3.59073e-39, 4.55689e-10, 3.59073e-39, 3.59073e-39, 3.59073e-39
0.342402, 0, 7.43144e-10, 3.62515e-38, 1.41421, -7.43144e-10, 3.62515e-38, 0, 3.62515e-38, 3.62515e-38, 3.62515e-38, 3.62515e-38, 3.62515e-38, 3.62515e-38, 3.62515e-38, 3.62515e-38, 3.62515e-38, 8.81057e-12, 3.62515e-38, 3.62515e-38, 1.20026e-14, 4.71452e-11, 3.62515e-38, 6.87177e-10, 3.62515e-38, 3.62515e-38, 3.62515e-38
0.350267, 0, 1.11789e-09, 3.32644e-37, 1.41421, -1.11789e-09, 3.32644e-37, 0, 3.32644e-37, 3.32644e-37, 3.32644e-37, 3.32644e-37, 3.32644e-37, 3.32644e-37, 3.32644e-37, 3.32644e-37, 3.32644e-37, 1.32097e-11, 3.32644e-37, 3.32644e-37, 1.90673e-14, 7.54614e-11, 3.32644e-37, 1.0292e-09, 3.32644e-37, 3.32644e-37, 3.32644e-37
