   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_816.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000138193, 0, 5.39535e-15, 0, 1.41421, -5.39535e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23904e-17, 0, 0, 2.57083e-17, 0, 1.31195e-18, 5.34594e-15, 0, 0, 0
0.00799341, 0, 8.52375e-15, 0, 1.41421, -8.52375e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53697e-17, 0, 0, 4.13634e-17, 0, 2.13355e-18, 8.44489e-15, 0, 0, 0
0.0158486, 0, 1.34022e-14, 0, 1.41421, -1.34022e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56075e-17, 0, 0, 6.62466e-17, 0, 3.45491e-18, 1.32769e-14, 0, 0, 0
0.0237038, 0, 2.09733e-14, 0, 1.41421, -2.09733e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.70126e-17, 0, 0, 1.05618e-16, 0, 5.57105e-18, 2.07751e-14, 0, 0, 0
0.0315591, 0, 3.26682e-14, 0, 1.41421, -3.26682e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35518e-16, 0, 0, 1.67634e-16, 0, 8.94586e-18, 3.23561e-14, 0, 0, 0
0.0394143, 0, 5.06481e-14, 0, 1.41421, -5.06481e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10082e-16, 0, 0, 2.64886e-16, 0, 1.43057e-17, 5.01589e-14, 0, 0, 0
0.0472695, 0, 7.81619e-14, 0, 1.41421, -7.81619e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2417e-16, 0, 0, 4.16726e-16, 0, 2.27831e-17, 7.73982e-14, 0, 0, 0
0.0551247, 0, 1.2007e-13, 0, 1.41421, -1.2007e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97925e-16, 0, 0, 6.52768e-16, 0, 3.61368e-17, 1.18883e-13, 0, 0, 0
0.0629799, 0, 1.83608e-13, 0, 1.41421, -1.83608e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.6133e-16, 0, 0, 1.01814e-15, 0, 5.70871e-17, 1.81771e-13, 0, 0, 0
0.0708351, 0, 2.79498e-13, 0, 1.41421, -2.79498e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15881e-15, 0, 0, 1.58132e-15, 0, 8.98285e-17, 2.76668e-13, 0, 0, 0
