   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_393.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0430909, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0351036, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0271164, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0191291, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0111418, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00315449, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00483279, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0128201, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0208074, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0287947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0367819, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0447692, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0527565, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0607438, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0687311, 0, 1.14097e-29, 0, 1.41421, -1.14097e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.77917e-32, 0, 0, 3.47234e-33, 0, 0, 1.13184e-29, 0, 0, 0
0.0767184, 0, 1.21995e-28, 0, 1.41421, -1.21995e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.38693e-31, 0, 0, 3.71272e-32, 0, 0, 1.21019e-28, 0, 0, 0
0.0847057, 0, 8.1842e-28, 0, 1.41421, -8.1842e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29734e-30, 0, 0, 2.49073e-31, 0, 0, 8.11873e-28, 0, 0, 0
0.092693, 0, 4.38777e-27, 0, 1.41421, -4.38777e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37617e-29, 0, 0, 1.33684e-30, 0, 0, 4.35267e-27, 0, 0, 0
0.10068, 0, 2.04877e-26, 0, 1.41421, -2.04877e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57643e-28, 0, 0, 6.26251e-30, 0, 0, 2.03238e-26, 0, 0, 0
0.108668, 0, 8.68296e-26, 0, 1.41421, -8.68296e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6811e-28, 0, 0, 2.66746e-29, 0, 0, 8.61348e-26, 0, 0, 0
0.116655, 0, 3.41861e-25, 0, 1.41421, -3.41861e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63044e-27, 0, 0, 1.0567e-28, 0, 0, 3.39125e-25, 0, 0, 0
0.124642, 0, 1.26855e-24, 0, 1.41421, -1.26855e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76081e-27, 0, 0, 3.94829e-28, 0, 0, 1.25839e-24, 0, 0, 0
0.132629, 0, 4.4796e-24, 0, 1.41421, -4.4796e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4468e-26, 0, 0, 1.40464e-27, 0, 0, 4.44373e-24, 0, 0, 0
0.140617, 0, 1.5157e-23, 0, 1.41421, -1.5157e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16625e-25, 0, 0, 4.79005e-27, 0, 0, 1.50356e-23, 0, 0, 0
0.148604, 0, 4.93896e-23, 0, 1.41421, -4.93896e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80023e-25, 0, 0, 1.57365e-26, 0, 0, 4.89938e-23, 0, 0, 0
0.156591, 0, 1.55593e-22, 0, 1.41421, -1.55593e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19719e-24, 0, 0, 4.99978e-26, 0, 0, 1.54346e-22, 0, 0, 0
0.164579, 0, 4.75349e-22, 0, 1.41421, -4.75349e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65751e-24, 0, 0, 1.54097e-25, 0, 0, 4.71538e-22, 0, 0, 0
0.172566, 0, 1.52432e-21, 0, 1.41421, -1.52432e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17286e-23, 0, 0, 5.01746e-25, 0, 0, 1.51209e-21, 0, 0, 0
0.180553, 0, 4.3725e-21, 0, 1.41421, -4.3725e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36433e-23, 0, 0, 1.4532e-24, 0, 0, 4.3374e-21, 0, 0, 0
0.18854, 0, 1.22531e-20, 0, 1.41421, -1.22531e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42786e-23, 0, 0, 4.11281e-24, 0, 0, 1.21547e-20, 0, 0, 0
0.196528, 0, 3.35873e-20, 0, 1.41421, -3.35873e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58429e-22, 0, 0, 1.1389e-23, 0, 0, 3.33175e-20, 0, 0, 0
0.204515, 0, 9.01553e-20, 0, 1.41421, -9.01553e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93675e-22, 0, 0, 3.08916e-23, 0, 0, 8.94308e-20, 0, 0, 0
0.212502, 0, 2.37191e-19, 0, 1.41421, -2.37191e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82499e-21, 0, 0, 8.21514e-23, 0, 0, 2.35284e-19, 0, 0, 0
0.22049, 0, 6.12136e-19, 0, 1.41421, -6.12136e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70987e-21, 0, 0, 2.14372e-22, 0, 0, 6.07212e-19, 0, 0, 0
0.228477, 0, 1.55077e-18, 0, 1.41421, -1.55077e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19318e-20, 0, 0, 5.49305e-22, 0, 0, 1.53829e-18, 0, 0, 0
0.236464, 0, 3.85895e-18, 0, 1.41421, -3.85895e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96911e-20, 0, 0, 1.38304e-21, 0, 0, 3.82787e-18, 0, 0, 0
0.244451, 0, 9.43755e-18, 0, 1.41421, -9.43755e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26129e-20, 0, 0, 3.4236e-21, 0, 0, 9.36151e-18, 0, 0, 0
0.252439, 0, 2.26953e-17, 0, 1.41421, -2.26953e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74618e-19, 0, 0, 8.33663e-21, 0, 0, 2.25124e-17, 0, 0, 0
0.260426, 0, 5.3691e-17, 0, 1.41421, -5.3691e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13095e-19, 0, 0, 1.99787e-20, 0, 0, 5.32579e-17, 0, 0, 0
0.268413, 0, 1.25007e-16, 0, 1.41421, -1.25007e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.61785e-19, 0, 0, 4.71421e-20, 0, 0, 1.23998e-16, 0, 0, 0
0.276401, 0, 2.86549e-16, 0, 1.41421, -2.86549e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20464e-18, 0, 0, 1.0957e-19, 0, 0, 2.84234e-16, 0, 0, 0
0.284388, 0, 6.46917e-16, 0, 1.41421, -6.46917e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97718e-18, 0, 0, 2.50945e-19, 0, 0, 6.41689e-16, 0, 0, 0
0.292375, 0, 1.43885e-15, 0, 1.41421, -1.43885e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10699e-17, 0, 0, 5.66524e-19, 0, 0, 1.42722e-15, 0, 0, 0
0.300362, 0, 3.15377e-15, 0, 1.41421, -3.15377e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42633e-17, 0, 0, 1.26111e-18, 0, 0, 3.12824e-15, 0, 0, 0
0.30835, 0, 6.81391e-15, 0, 1.41421, -6.81391e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24213e-17, 0, 0, 2.76887e-18, 0, 0, 6.75872e-15, 0, 0, 0
0.316337, 0, 1.45151e-14, 0, 1.41421, -1.45151e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11666e-16, 0, 0, 5.9982e-18, 0, 0, 1.43974e-14, 0, 0, 0
0.324324, 0, 3.04921e-14, 0, 1.41421, -3.04921e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34573e-16, 0, 0, 1.28241e-17, 0, 0, 3.02447e-14, 0, 0, 0
