   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_395.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00598706, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0139139, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0218407, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0297675, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0376943, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0456211, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0535478, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0614746, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0694014, 0, 1.25877e-30, 0, 1.41421, -1.25877e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22154e-33, 0, 0, 1.08504e-33, 0, 1.13808e-36, 1.24946e-30, 0, 0, 0
0.0773282, 0, 1.394e-29, 0, 1.41421, -1.394e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10472e-32, 0, 0, 1.20159e-32, 0, 1.15195e-34, 1.38368e-29, 0, 0, 0
0.085255, 0, 9.69032e-29, 0, 1.41421, -9.69032e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32908e-31, 0, 0, 8.35278e-32, 0, 1.32515e-33, 9.61854e-29, 0, 0, 0
0.0931818, 0, 5.38395e-28, 0, 1.41421, -5.38395e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51643e-30, 0, 0, 4.6408e-31, 0, 9.51834e-33, 5.34405e-28, 0, 0, 0
0.101109, 0, 2.60497e-27, 0, 1.41421, -2.60497e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70138e-29, 0, 0, 2.2468e-30, 0, 5.41515e-32, 2.58565e-27, 0, 0, 0
0.109035, 0, 1.14374e-26, 0, 1.41421, -1.14374e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.47008e-29, 0, 0, 9.8792e-30, 0, 2.66684e-31, 1.13526e-26, 0, 0, 0
0.116962, 0, 4.66365e-26, 0, 1.41421, -4.66365e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04594e-28, 0, 0, 4.03689e-29, 0, 1.1872e-30, 4.62904e-26, 0, 0, 0
0.124889, 0, 1.79162e-25, 0, 1.41421, -1.79162e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17015e-27, 0, 0, 1.55496e-28, 0, 4.89552e-30, 1.77831e-25, 0, 0, 0
0.132816, 0, 6.54759e-25, 0, 1.41421, -6.54759e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27635e-27, 0, 0, 5.70002e-28, 0, 1.89871e-29, 6.49893e-25, 0, 0, 0
0.140743, 0, 2.29189e-24, 0, 1.41421, -2.29189e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49687e-26, 0, 0, 2.00195e-27, 0, 6.99696e-29, 2.27485e-24, 0, 0, 0
0.148669, 0, 7.723e-24, 0, 1.41421, -7.723e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04399e-26, 0, 0, 6.77074e-27, 0, 2.46752e-28, 7.66555e-24, 0, 0, 0
0.156596, 0, 2.51506e-23, 0, 1.41421, -2.51506e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64261e-25, 0, 0, 2.21363e-26, 0, 8.37159e-28, 2.49633e-23, 0, 0, 0
0.164523, 0, 7.93992e-23, 0, 1.41421, -7.93992e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18561e-25, 0, 0, 7.01772e-26, 0, 2.74354e-27, 7.88077e-23, 0, 0, 0
0.17245, 0, 2.43594e-22, 0, 1.41421, -2.43594e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59092e-24, 0, 0, 2.16264e-25, 0, 8.7127e-27, 2.41778e-22, 0, 0, 0
0.180377, 0, 7.27768e-22, 0, 1.41421, -7.27768e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75305e-24, 0, 0, 6.49173e-25, 0, 2.68813e-26, 7.22338e-22, 0, 0, 0
0.188303, 0, 2.12099e-21, 0, 1.41421, -2.12099e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38521e-23, 0, 0, 1.9014e-24, 0, 8.07474e-26, 2.10515e-21, 0, 0, 0
0.19623, 0, 6.03849e-21, 0, 1.41421, -6.03849e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94369e-23, 0, 0, 5.44195e-24, 0, 2.36565e-25, 5.99338e-21, 0, 0, 0
0.204157, 0, 1.68152e-20, 0, 1.41421, -1.68152e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09818e-22, 0, 0, 1.52385e-23, 0, 6.76965e-25, 1.66895e-20, 0, 0, 0
0.212084, 0, 4.58482e-20, 0, 1.41421, -4.58482e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99427e-22, 0, 0, 4.17931e-23, 0, 1.89467e-24, 4.55051e-20, 0, 0, 0
0.220011, 0, 1.22515e-19, 0, 1.41421, -1.22515e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00118e-22, 0, 0, 1.12369e-22, 0, 5.19192e-24, 1.21597e-19, 0, 0, 0
0.227937, 0, 3.21108e-19, 0, 1.41421, -3.21108e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09708e-21, 0, 0, 2.96433e-22, 0, 1.39433e-23, 3.18701e-19, 0, 0, 0
0.235864, 0, 8.2607e-19, 0, 1.41421, -8.2607e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39482e-21, 0, 0, 7.67813e-22, 0, 3.67292e-23, 8.19871e-19, 0, 0, 0
0.243791, 0, 2.08717e-18, 0, 1.41421, -2.08717e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36306e-20, 0, 0, 1.95395e-21, 0, 9.49696e-23, 2.07149e-18, 0, 0, 0
