   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_153.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000535913, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00731779, 0, 6.79718e-19, 0, 1.41421, -6.79718e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6763e-21, 0, 0, 3.75429e-24, 2.96045e-21, 0, 6.75077e-19, 0, 0
0.0151715, 0, 1.31222e-18, 0, 1.41421, -1.31222e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2359e-21, 0, 0, 7.35309e-24, 5.81583e-21, 0, 1.30316e-18, 0, 0
0.0230252, 0, 2.51106e-18, 0, 1.41421, -2.51106e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19173e-21, 0, 0, 1.42775e-23, 1.1326e-20, 0, 2.49353e-18, 0, 0
0.0308789, 0, 4.76415e-18, 0, 1.41421, -4.76415e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17464e-20, 0, 0, 2.74903e-23, 2.18714e-20, 0, 4.7305e-18, 0, 0
0.0387326, 0, 8.96354e-18, 0, 1.41421, -8.96354e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20985e-20, 0, 0, 5.24989e-23, 4.18911e-20, 0, 8.8995e-18, 0, 0
0.0465863, 0, 1.67273e-17, 0, 1.41421, -1.67273e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12355e-20, 0, 0, 9.94605e-23, 7.96e-20, 0, 1.66064e-17, 0, 0
0.05444, 0, 3.09672e-17, 0, 1.41421, -3.09672e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63324e-20, 0, 0, 1.86966e-22, 1.50089e-19, 0, 3.07405e-17, 0, 0
0.0622937, 0, 5.68822e-17, 0, 1.41421, -5.68822e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40199e-19, 0, 0, 3.48789e-22, 2.80876e-19, 0, 5.64608e-17, 0, 0
0.0701475, 0, 1.03685e-16, 0, 1.41421, -1.03685e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5553e-19, 0, 0, 6.45826e-22, 5.21787e-19, 0, 1.02907e-16, 0, 0
