   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_139.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00207941, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00577905, 0, 9.94639e-18, 0, 1.41421, -9.94639e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12848e-20, 0, 0, 1.62349e-22, 0, 6.92969e-20, 0, 9.79565e-18, 0, 0
0.0136375, 0, 1.81542e-17, 0, 1.41421, -1.81542e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4834e-19, 0, 0, 3.00829e-22, 0, 1.29012e-19, 0, 1.78765e-17, 0, 0
0.021496, 0, 3.28896e-17, 0, 1.41421, -3.28896e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68706e-19, 0, 0, 5.53394e-22, 0, 2.38478e-19, 0, 3.23818e-17, 0, 0
0.0293544, 0, 5.91528e-17, 0, 1.41421, -5.91528e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83202e-19, 0, 0, 1.01079e-21, 0, 4.37773e-19, 0, 5.82308e-17, 0, 0
0.0372129, 0, 1.0563e-16, 0, 1.41421, -1.0563e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62722e-19, 0, 0, 1.83341e-21, 0, 7.98189e-19, 0, 1.03967e-16, 0, 0
0.0450714, 0, 1.87303e-16, 0, 1.41421, -1.87303e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52954e-18, 0, 0, 3.30288e-21, 0, 1.44574e-18, 0, 1.84325e-16, 0, 0
0.0529298, 0, 3.29842e-16, 0, 1.41421, -3.29842e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69305e-18, 0, 0, 5.91032e-21, 0, 2.60174e-18, 0, 3.24541e-16, 0, 0
0.0607883, 0, 5.76916e-16, 0, 1.41421, -5.76916e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7095e-18, 0, 0, 1.05067e-20, 0, 4.65256e-18, 0, 5.67544e-16, 0, 0
0.0686468, 0, 1.00233e-15, 0, 1.41421, -1.00233e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.1807e-18, 0, 0, 1.8557e-20, 0, 8.26853e-18, 0, 9.85858e-16, 0, 0
0.0765052, 0, 1.72996e-15, 0, 1.41421, -1.72996e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41167e-17, 0, 0, 3.25669e-20, 0, 1.46059e-17, 0, 1.70121e-15, 0, 0
0.0843637, 0, 2.98229e-15, 0, 1.41421, -2.98229e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43299e-17, 0, 0, 5.72387e-20, 0, 2.58868e-17, 0, 2.93201e-15, 0, 0
0.0922221, 0, 5.07789e-15, 0, 1.41421, -5.07789e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14173e-17, 0, 0, 9.91292e-20, 0, 4.51559e-17, 0, 4.99121e-15, 0, 0
0.100081, 0, 8.59166e-15, 0, 1.41421, -8.59166e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00612e-17, 0, 0, 1.70642e-19, 0, 7.8322e-17, 0, 8.4431e-15, 0, 0
0.107939, 0, 1.44462e-14, 0, 1.41421, -1.44462e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17775e-16, 0, 0, 2.91996e-19, 0, 1.3509e-16, 0, 1.41931e-14, 0, 0
0.115798, 0, 2.41404e-14, 0, 1.41421, -2.41404e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96759e-16, 0, 0, 4.96722e-19, 0, 2.31726e-16, 0, 2.37115e-14, 0, 0
0.123656, 0, 4.0093e-14, 0, 1.41421, -4.0093e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26696e-16, 0, 0, 8.40082e-19, 0, 3.95338e-16, 0, 3.93701e-14, 0, 0
