   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_14.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000430384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00741757, 0, 2.48485e-17, 0, 1.41421, -2.48485e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16625e-19, 0, 0, 6.61664e-22, 0, 2.57358e-20, 0, 2.46054e-17, 0, 0, 0
0.0152655, 0, 4.57918e-17, 0, 1.41421, -4.57918e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99197e-19, 0, 0, 1.23775e-21, 0, 4.83204e-20, 0, 4.5343e-17, 0, 0, 0
0.0231135, 0, 8.3748e-17, 0, 1.41421, -8.3748e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30073e-19, 0, 0, 2.29827e-21, 0, 9.00605e-20, 0, 8.29256e-17, 0, 0, 0
0.0309614, 0, 1.52031e-16, 0, 1.41421, -1.52031e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3253e-18, 0, 0, 4.23653e-21, 0, 1.66661e-19, 0, 1.50534e-16, 0, 0, 0
0.0388094, 0, 2.7398e-16, 0, 1.41421, -2.7398e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38831e-18, 0, 0, 7.75409e-21, 0, 3.06274e-19, 0, 2.71277e-16, 0, 0, 0
0.0466574, 0, 4.90227e-16, 0, 1.41421, -4.90227e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27327e-18, 0, 0, 1.40937e-20, 0, 5.59031e-19, 0, 4.85381e-16, 0, 0, 0
0.0545053, 0, 8.71005e-16, 0, 1.41421, -8.71005e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59229e-18, 0, 0, 2.54419e-20, 0, 1.01363e-18, 0, 8.62374e-16, 0, 0, 0
0.0623533, 0, 1.53689e-15, 0, 1.41421, -1.53689e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33962e-17, 0, 0, 4.56208e-20, 0, 1.82604e-18, 0, 1.52162e-15, 0, 0, 0
0.0702012, 0, 2.69341e-15, 0, 1.41421, -2.69341e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34765e-17, 0, 0, 8.12662e-20, 0, 3.26878e-18, 0, 2.66658e-15, 0, 0, 0
0.0780492, 0, 4.68865e-15, 0, 1.41421, -4.68865e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08664e-17, 0, 0, 1.43827e-19, 0, 5.81517e-18, 0, 4.64182e-15, 0, 0, 0
0.0858972, 0, 8.10802e-15, 0, 1.41421, -8.10802e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06676e-17, 0, 0, 2.52925e-19, 0, 1.02824e-17, 0, 8.02682e-15, 0, 0, 0
0.0937451, 0, 1.39297e-14, 0, 1.41421, -1.39297e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21404e-16, 0, 0, 4.41988e-19, 0, 1.8073e-17, 0, 1.37897e-14, 0, 0, 0
0.101593, 0, 2.37771e-14, 0, 1.41421, -2.37771e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07223e-16, 0, 0, 7.67594e-19, 0, 3.1581e-17, 0, 2.35376e-14, 0, 0, 0
0.109441, 0, 4.03275e-14, 0, 1.41421, -4.03275e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51452e-16, 0, 0, 1.32492e-18, 0, 5.48679e-17, 0, 3.99198e-14, 0, 0, 0
0.117289, 0, 6.79662e-14, 0, 1.41421, -6.79662e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92302e-16, 0, 0, 2.27316e-18, 0, 9.47872e-17, 0, 6.72768e-14, 0, 0, 0
0.125137, 0, 1.13831e-13, 0, 1.41421, -1.13831e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.9197e-16, 0, 0, 3.87689e-18, 0, 1.6284e-16, 0, 1.12673e-13, 0, 0, 0
0.132985, 0, 1.89467e-13, 0, 1.41421, -1.89467e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65103e-15, 0, 0, 6.57333e-18, 0, 2.78223e-16, 0, 1.87531e-13, 0, 0, 0
0.140833, 0, 3.1342e-13, 0, 1.41421, -3.1342e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73108e-15, 0, 0, 1.10807e-17, 0, 4.72797e-16, 0, 3.10205e-13, 0, 0, 0
0.148681, 0, 5.15305e-13, 0, 1.41421, -5.15305e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49014e-15, 0, 0, 1.85722e-17, 0, 7.99182e-16, 0, 5.09997e-13, 0, 0, 0
0.156529, 0, 8.42102e-13, 0, 1.41421, -8.42102e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33751e-15, 0, 0, 3.09533e-17, 0, 1.3438e-15, 0, 8.3339e-13, 0, 0, 0
0.164377, 0, 1.36787e-12, 0, 1.41421, -1.36787e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19184e-14, 0, 0, 5.13017e-17, 0, 2.24789e-15, 0, 1.35365e-12, 0, 0, 0
0.172225, 0, 2.20862e-12, 0, 1.41421, -2.20862e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92437e-14, 0, 0, 8.45617e-17, 0, 3.74133e-15, 0, 2.18555e-12, 0, 0, 0
0.180073, 0, 3.54495e-12, 0, 1.41421, -3.54495e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08869e-14, 0, 0, 1.38635e-16, 0, 6.1959e-15, 0, 3.50773e-12, 0, 0, 0
0.187921, 0, 5.65618e-12, 0, 1.41421, -5.65618e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92819e-14, 0, 0, 2.26085e-16, 0, 1.02103e-14, 0, 5.59646e-12, 0, 0, 0
0.195769, 0, 8.97169e-12, 0, 1.41421, -8.97169e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81709e-14, 0, 0, 3.66786e-16, 0, 1.67444e-14, 0, 8.87641e-12, 0, 0, 0
0.203617, 0, 1.41473e-11, 0, 1.41421, -1.41473e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23271e-13, 0, 0, 5.92052e-16, 0, 2.73292e-14, 0, 1.39961e-11, 0, 0, 0
0.211464, 0, 2.21787e-11, 0, 1.41421, -2.21787e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93262e-13, 0, 0, 9.50965e-16, 0, 4.43966e-14, 0, 2.19401e-11, 0, 0, 0
0.219312, 0, 3.45676e-11, 0, 1.41421, -3.45676e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01242e-13, 0, 0, 1.52016e-15, 0, 7.17919e-14, 0, 3.41931e-11, 0, 0, 0
0.22716, 0, 5.35654e-11, 0, 1.41421, -5.35654e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66855e-13, 0, 0, 2.41881e-15, 0, 1.15571e-13, 0, 5.29806e-11, 0, 0, 0
0.235008, 0, 8.2526e-11, 0, 1.41421, -8.2526e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19379e-13, 0, 0, 3.83164e-15, 0, 1.85229e-13, 0, 8.16176e-11, 0, 0, 0
0.242856, 0, 1.26414e-10, 0, 1.41421, -1.26414e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10219e-12, 0, 0, 6.04399e-15, 0, 2.95603e-13, 0, 1.25011e-10, 0, 0, 0
0.250704, 0, 1.92536e-10, 0, 1.41421, -1.92536e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67915e-12, 0, 0, 9.4955e-15, 0, 4.69785e-13, 0, 1.90378e-10, 0, 0, 0
0.258552, 0, 2.91573e-10, 0, 1.41421, -2.91573e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54374e-12, 0, 0, 1.4862e-14, 0, 7.43593e-13, 0, 2.8827e-10, 0, 0, 0
0.2664, 0, 4.39043e-10, 0, 1.41421, -4.39043e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83196e-12, 0, 0, 2.31802e-14, 0, 1.17241e-12, 0, 4.34016e-10, 0, 0, 0
0.274248, 0, 6.5736e-10, 1.27518e-43, 1.41421, -6.5736e-10, 1.27518e-43, 0, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 1.27518e-43, 5.74049e-12, 1.27518e-43, 1.27518e-43, 3.60389e-14, 1.27518e-43, 1.84159e-12, 1.27518e-43, 6.49742e-10, 1.27518e-43, 1.27518e-43, 1.27518e-43
0.282096, 0, 9.78685e-10, 2.50973e-42, 1.41421, -9.78685e-10, 2.50973e-42, 0, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 2.50973e-42, 8.55212e-12, 2.50973e-42, 2.50973e-42, 5.587e-14, 2.50973e-42, 2.88237e-12, 2.50973e-42, 9.67195e-10, 2.50973e-42, 2.50973e-42, 2.50973e-42
0.289944, 0, 1.44889e-09, 3.61899e-41, 1.41421, -1.44889e-09, 3.61899e-41, 0, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 3.61899e-41, 1.26711e-11, 3.61899e-41, 3.61899e-41, 8.6395e-14, 3.61899e-41, 4.49594e-12, 3.61899e-41, 1.43164e-09, 3.61899e-41, 3.61899e-41, 3.61899e-41
0.297792, 0, 2.133e-09, 4.77054e-40, 1.41421, -2.133e-09, 4.77054e-40, 0, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 4.77054e-40, 1.86718e-11, 4.77054e-40, 4.77054e-40, 1.33309e-13, 4.77054e-40, 6.99011e-12, 4.77054e-40, 2.10721e-09, 4.77054e-40, 4.77054e-40, 4.77054e-40
0.30564, 0, 3.12261e-09, 5.64918e-39, 1.41421, -3.12261e-09, 5.64918e-39, 0, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 5.64918e-39, 2.73663e-11, 5.64918e-39, 5.64918e-39, 2.05328e-13, 5.64918e-39, 1.08348e-11, 5.64918e-39, 3.08421e-09, 5.64918e-39, 5.64918e-39, 5.64918e-39
0.313488, 0, 4.54599e-09, 6.03277e-38, 1.41421, -4.54599e-09, 6.03277e-38, 0, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 6.03277e-38, 3.98956e-11, 6.03277e-38, 6.03277e-38, 3.15806e-13, 6.03277e-38, 1.67462e-11, 6.03277e-38, 4.48903e-09, 6.03277e-38, 6.03277e-38, 6.03277e-38
0.321336, 0, 6.58159e-09, 5.83417e-37, 1.41421, -6.58159e-09, 5.83417e-37, 0, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.83417e-37, 5.78545e-11, 5.83417e-37, 5.83417e-37, 4.85213e-13, 5.83417e-37, 2.58137e-11, 5.83417e-37, 6.49743e-09, 5.83417e-37, 5.83417e-37, 5.83417e-37
0.329184, 0, 9.47628e-09, 5.13625e-36, 1.41421, -9.47628e-09, 5.13625e-36, 0, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 5.13625e-36, 8.34607e-11, 5.13625e-36, 5.13625e-36, 7.44959e-13, 5.13625e-36, 3.96925e-11, 5.13625e-36, 9.35238e-09, 5.13625e-36, 5.13625e-36, 5.13625e-36
0.337032, 0, 1.35694e-08, 4.13772e-35, 1.41421, -1.35694e-08, 4.13772e-35, 0, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 4.13772e-35, 1.19781e-10, 4.13772e-35, 4.13772e-35, 1.14329e-12, 4.13772e-35, 6.08935e-11, 4.13772e-35, 1.33876e-08, 4.13772e-35, 4.13772e-35, 4.13772e-35
0.34488, 0, 1.93248e-08, 3.06496e-34, 1.41421, -1.93248e-08, 3.06496e-34, 0, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 3.06496e-34, 1.71036e-10, 3.06496e-34, 3.06496e-34, 1.75435e-12, 3.06496e-34, 9.32203e-11, 3.06496e-34, 1.90588e-08, 3.06496e-34, 3.06496e-34, 3.06496e-34
0.352728, 0, 2.73723e-08, 2.09707e-33, 1.41421, -2.73723e-08, 2.09707e-33, 0, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.09707e-33, 2.43007e-10, 2.09707e-33, 2.09707e-33, 2.69215e-12, 2.09707e-33, 1.42429e-10, 2.09707e-33, 2.69842e-08, 2.09707e-33, 2.09707e-33, 2.09707e-33
0.360576, 0, 3.85628e-08, 1.41198e-32, 1.41421, -3.85628e-08, 1.41198e-32, 0, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 1.41198e-32, 3.43569e-10, 1.41198e-32, 1.41198e-32, 4.13206e-12, 1.41198e-32, 2.17214e-10, 1.41198e-32, 3.79979e-08, 1.41198e-32, 1.41198e-32, 1.41198e-32
0.368424, 0, 5.40382e-08, 9.12991e-32, 1.41421, -5.40382e-08, 9.12991e-32, 0, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 9.12991e-32, 4.83411e-10, 9.12991e-32, 9.12991e-32, 6.34367e-12, 9.12991e-32, 3.30694e-10, 9.12991e-32, 5.32177e-08, 9.12991e-32, 9.12991e-32, 9.12991e-32
