   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_414.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0151112, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00723109, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000649002, 0, 4.34753e-15, 0, 1.41421, -4.34753e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39126e-17, 0, 0, 7.15994e-18, 3.19788e-16, 0, 4.00666e-15, 0, 0, 0
0.00852909, 0, 7.01516e-15, 0, 1.41421, -7.01516e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24025e-17, 0, 0, 1.17456e-17, 5.29376e-16, 0, 6.45163e-15, 0, 0, 0
0.0164092, 0, 1.12636e-14, 0, 1.41421, -1.12636e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5891e-17, 0, 0, 1.91731e-17, 8.72322e-16, 0, 1.03362e-14, 0, 0, 0
0.0242893, 0, 1.79961e-14, 0, 1.41421, -1.79961e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72135e-17, 0, 0, 3.11447e-17, 1.43095e-15, 0, 1.64768e-14, 0, 0, 0
0.0321694, 0, 2.86133e-14, 0, 1.41421, -2.86133e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07517e-17, 0, 0, 5.03484e-17, 2.33684e-15, 0, 2.61354e-14, 0, 0, 0
0.0400495, 0, 4.52758e-14, 0, 1.41421, -4.52758e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43243e-16, 0, 0, 8.10067e-17, 3.79937e-15, 0, 4.12522e-14, 0, 0, 0
0.0479296, 0, 7.12999e-14, 0, 1.41421, -7.12999e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24993e-16, 0, 0, 1.29721e-16, 6.1502e-15, 0, 6.4795e-14, 0, 0, 0
0.0558097, 0, 1.11752e-13, 0, 1.41421, -1.11752e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51689e-16, 0, 0, 2.06767e-16, 9.9125e-15, 0, 1.01282e-13, 0, 0, 0
