   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_145.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00375074, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0041151, 0, 2.03736e-19, 0, 1.41421, -2.03736e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71639e-21, 0, 0, 2.94096e-24, 4.09936e-21, 0, 1.97917e-19, 0, 0
0.0119809, 0, 4.0849e-19, 0, 1.41421, -4.0849e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43993e-21, 0, 0, 5.97309e-24, 8.38456e-21, 0, 3.96659e-19, 0, 0
0.0198468, 0, 8.10914e-19, 0, 1.41421, -8.10914e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82591e-21, 0, 0, 1.20135e-23, 1.69785e-20, 0, 7.87097e-19, 0, 0
0.0277126, 0, 1.59432e-18, 0, 1.41421, -1.59432e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34145e-20, 0, 0, 2.39346e-23, 3.40505e-20, 0, 1.54683e-18, 0, 0
0.0355785, 0, 3.10529e-18, 0, 1.41421, -3.10529e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61162e-20, 0, 0, 4.72492e-23, 6.76547e-20, 0, 3.01147e-18, 0, 0
0.0434443, 0, 5.99319e-18, 0, 1.41421, -5.99319e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03815e-20, 0, 0, 9.24444e-23, 1.33214e-19, 0, 5.8095e-18, 0, 0
0.0513102, 0, 1.14641e-17, 0, 1.41421, -1.14641e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63277e-20, 0, 0, 1.79301e-22, 2.60012e-19, 0, 1.11076e-17, 0, 0
0.059176, 0, 2.17388e-17, 0, 1.41421, -2.17388e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82574e-19, 0, 0, 3.44821e-22, 5.03196e-19, 0, 2.10527e-17, 0, 0
0.0670419, 0, 4.0872e-17, 0, 1.41421, -4.0872e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43096e-19, 0, 0, 6.57651e-22, 9.65791e-19, 0, 3.95624e-17, 0, 0
0.0749077, 0, 7.62048e-17, 0, 1.41421, -7.62048e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39366e-19, 0, 0, 1.24412e-21, 1.83873e-18, 0, 7.37255e-17, 0, 0
0.0827736, 0, 1.40921e-16, 0, 1.41421, -1.40921e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18171e-18, 0, 0, 2.3349e-21, 3.4732e-18, 0, 1.36263e-16, 0, 0
0.0906394, 0, 2.58502e-16, 0, 1.41421, -2.58502e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16651e-18, 0, 0, 4.34786e-21, 6.51024e-18, 0, 2.49821e-16, 0, 0
0.0985053, 0, 4.70441e-16, 0, 1.41421, -4.70441e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94051e-18, 0, 0, 8.03423e-21, 1.21113e-17, 0, 4.54382e-16, 0, 0
0.106371, 0, 8.49485e-16, 0, 1.41421, -8.49485e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11118e-18, 0, 0, 1.47344e-20, 2.23658e-17, 0, 8.19993e-16, 0, 0
0.114237, 0, 1.52216e-15, 0, 1.41421, -1.52216e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27343e-17, 0, 0, 2.68219e-20, 4.10056e-17, 0, 1.4684e-15, 0, 0
0.122103, 0, 2.70688e-15, 0, 1.41421, -2.70688e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26307e-17, 0, 0, 4.84693e-20, 7.46497e-17, 0, 2.60956e-15, 0, 0
0.129969, 0, 4.77773e-15, 0, 1.41421, -4.77773e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99163e-17, 0, 0, 8.69577e-20, 1.34958e-16, 0, 4.60277e-15, 0, 0
0.137834, 0, 8.37064e-15, 0, 1.41421, -8.37064e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98833e-17, 0, 0, 1.54903e-19, 2.42333e-16, 0, 8.05827e-15, 0, 0
0.1457, 0, 1.45585e-14, 0, 1.41421, -1.45585e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21451e-16, 0, 0, 2.74013e-19, 4.32237e-16, 0, 1.40045e-14, 0, 0
0.153566, 0, 2.5138e-14, 0, 1.41421, -2.5138e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0954e-16, 0, 0, 4.81376e-19, 7.65915e-16, 0, 2.41621e-14, 0, 0
0.161432, 0, 4.30956e-14, 0, 1.41421, -4.30956e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58923e-16, 0, 0, 8.39927e-19, 1.34845e-15, 0, 4.13874e-14, 0, 0
0.169298, 0, 7.33593e-14, 0, 1.41421, -7.33593e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10431e-16, 0, 0, 1.45575e-18, 2.35906e-15, 0, 7.03884e-14, 0, 0
0.177164, 0, 1.24001e-13, 0, 1.41421, -1.24001e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03085e-15, 0, 0, 2.50643e-18, 4.10138e-15, 0, 1.18866e-13, 0, 0
0.18503, 0, 2.08147e-13, 0, 1.41421, -2.08147e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72866e-15, 0, 0, 4.28743e-18, 7.08691e-15, 0, 1.99327e-13, 0, 0
0.192895, 0, 3.46987e-13, 0, 1.41421, -3.46987e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87869e-15, 0, 0, 7.28703e-18, 1.21719e-14, 0, 3.31929e-13, 0, 0
0.200761, 0, 5.74491e-13, 0, 1.41421, -5.74491e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7608e-15, 0, 0, 1.23073e-17, 2.07832e-14, 0, 5.48935e-13, 0, 0
0.208627, 0, 9.44717e-13, 0, 1.41421, -9.44717e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81957e-15, 0, 0, 2.06578e-17, 3.52815e-14, 0, 9.01595e-13, 0, 0
0.216493, 0, 1.54309e-12, 0, 1.41421, -1.54309e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27563e-14, 0, 0, 3.44638e-17, 5.9553e-14, 0, 1.47074e-12, 0, 0
0.224359, 0, 2.50364e-12, 0, 1.41421, -2.50364e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06692e-14, 0, 0, 5.7156e-17, 9.99615e-14, 0, 2.38295e-12, 0, 0
