   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_322.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.0090489, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0011812, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0066865, 0, 1.83548e-28, 0, 1.41421, -1.83548e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32384e-29, 0, 1.6031e-28, 0, 0
0.0145542, 0, 9.27801e-28, 0, 1.41421, -9.27801e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43118e-28, 0, 7.84683e-28, 0, 0
0.0224219, 0, 4.05661e-27, 0, 1.41421, -4.05661e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04942e-28, 0, 3.35167e-27, 0, 0
0.0302896, 0, 1.60506e-26, 0, 1.41421, -1.60506e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02637e-27, 0, 1.30242e-26, 0, 0
0.0381573, 0, 5.89418e-26, 0, 1.41421, -5.89418e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1808e-26, 0, 4.71339e-26, 0, 0
0.046025, 0, 2.52116e-25, 0, 1.41421, -2.52116e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46321e-26, 0, 1.97484e-25, 0, 0
0.0538927, 0, 8.07759e-25, 0, 1.41421, -8.07759e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81011e-25, 0, 6.26747e-25, 0, 0
0.0617604, 0, 2.49612e-24, 0, 1.41421, -2.49612e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75977e-25, 0, 1.92014e-24, 0, 0
0.0696281, 0, 7.46949e-24, 0, 1.41421, -7.46949e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76905e-24, 0, 5.70044e-24, 0, 0
0.0774958, 0, 2.17134e-23, 0, 1.41421, -2.17134e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26491e-24, 0, 1.64484e-23, 0, 0
0.0853635, 0, 6.14698e-23, 0, 1.41421, -6.14698e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52289e-23, 0, 4.62409e-23, 0, 0
0.0932312, 0, 1.69821e-22, 0, 1.41421, -1.69821e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29177e-23, 0, 1.26904e-22, 0, 0
0.101099, 0, 4.58627e-22, 0, 1.41421, -4.58627e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18076e-22, 0, 3.40551e-22, 0, 0
0.108967, 0, 1.21254e-21, 0, 1.41421, -1.21254e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17667e-22, 0, 8.94875e-22, 0, 0
0.116834, 0, 3.14225e-21, 0, 1.41421, -3.14225e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.36934e-22, 0, 2.30532e-21, 0, 0
