   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_322.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.124702, 0, 7.99016e-21, 0, 1.41421, -7.99016e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16194e-21, 0, 5.82822e-21, 0, 0
0.13257, 0, 1.99546e-20, 0, 1.41421, -1.99546e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48132e-21, 0, 1.44733e-20, 0, 0
0.140437, 0, 4.89843e-20, 0, 1.41421, -4.89843e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36525e-20, 0, 3.53318e-20, 0, 0
0.148305, 0, 1.18279e-19, 0, 1.41421, -1.18279e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34334e-20, 0, 8.48461e-20, 0, 0
0.156173, 0, 2.81108e-19, 0, 1.41421, -2.81108e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05547e-20, 0, 2.00554e-19, 0, 0
0.164041, 0, 6.57959e-19, 0, 1.41421, -6.57959e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91084e-19, 0, 4.66875e-19, 0, 0
0.171908, 0, 1.51741e-18, 0, 1.41421, -1.51741e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46503e-19, 0, 1.07091e-18, 0, 0
0.179776, 0, 3.44974e-18, 0, 1.41421, -3.44974e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02828e-18, 0, 2.42145e-18, 0, 0
0.187644, 0, 7.73437e-18, 0, 1.41421, -7.73437e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33502e-18, 0, 5.39935e-18, 0, 0
0.195511, 0, 1.71077e-17, 0, 1.41421, -1.71077e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2307e-18, 0, 1.1877e-17, 0, 0
0.203379, 0, 3.73446e-17, 0, 1.41421, -3.73446e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15629e-17, 0, 2.57817e-17, 0, 0
0.211247, 0, 8.04756e-17, 0, 1.41421, -8.04756e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52327e-17, 0, 5.5243e-17, 0, 0
0.219114, 0, 1.71249e-16, 0, 1.41421, -1.71249e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43739e-17, 0, 1.16875e-16, 0, 0
0.226982, 0, 3.59941e-16, 0, 1.41421, -3.59941e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15739e-16, 0, 2.44202e-16, 0, 0
0.23485, 0, 7.47447e-16, 0, 1.41421, -7.47447e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43416e-16, 0, 5.04031e-16, 0, 0
0.242718, 0, 1.53382e-15, 0, 1.41421, -1.53382e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05958e-16, 0, 1.02786e-15, 0, 0
0.250585, 0, 3.12761e-15, 0, 1.41421, -3.12761e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04663e-15, 0, 2.08098e-15, 0, 0
0.258453, 0, 6.26702e-15, 0, 1.41421, -6.26702e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1248e-15, 0, 4.14222e-15, 0, 0
0.266321, 0, 1.24179e-14, 0, 1.41421, -1.24179e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26661e-15, 0, 8.1513e-15, 0, 0
0.274188, 0, 2.43358e-14, 0, 1.41421, -2.43358e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47564e-15, 0, 1.58602e-14, 0, 0
0.282056, 0, 4.71762e-14, 0, 1.41421, -4.71762e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66599e-14, 0, 3.05163e-14, 0, 0
0.289924, 0, 9.04782e-14, 0, 1.41421, -9.04782e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24087e-14, 0, 5.80695e-14, 0, 0
0.297791, 0, 1.71702e-13, 0, 1.41421, -1.71702e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.24058e-14, 0, 1.09296e-13, 0, 0
0.305659, 0, 3.22462e-13, 0, 1.41421, -3.22462e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18972e-13, 0, 2.0349e-13, 0, 0
0.313527, 0, 5.99413e-13, 0, 1.41421, -5.99413e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24605e-13, 0, 3.74808e-13, 0, 0
0.321395, 0, 1.10301e-12, 0, 1.41421, -1.10301e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19986e-13, 0, 6.83026e-13, 0, 0
0.329262, 0, 2.00961e-12, 0, 1.41421, -2.00961e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7801e-13, 0, 1.23159e-12, 0, 0
0.33713, 0, 3.6257e-12, 0, 1.41421, -3.6257e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42817e-12, 0, 2.19754e-12, 0, 0
0.344998, 0, 6.47895e-12, 6.72623e-44, 1.41421, -6.47895e-12, 6.72623e-44, 0, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 6.72623e-44, 2.59856e-12, 6.72623e-44, 3.88039e-12, 6.72623e-44, 6.72623e-44
0.352865, 0, 1.14693e-11, 1.26958e-42, 1.41421, -1.14693e-11, 1.26958e-42, 0, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 1.26958e-42, 4.68787e-12, 1.26958e-42, 6.7814e-12, 1.26958e-42, 1.26958e-42
0.360733, 0, 2.01181e-11, 1.97037e-41, 1.41421, -2.01181e-11, 1.97037e-41, 0, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 1.97037e-41, 8.388e-12, 1.97037e-41, 1.17301e-11, 1.97037e-41, 1.97037e-41
0.368601, 0, 3.49758e-11, 2.67867e-40, 1.41421, -3.49758e-11, 2.67867e-40, 0, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 2.67867e-40, 1.48918e-11, 2.67867e-40, 2.00839e-11, 2.67867e-40, 2.67867e-40
0.376468, 0, 6.02851e-11, 3.25716e-39, 1.41421, -6.02851e-11, 3.25716e-39, 0, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 3.25716e-39, 2.62444e-11, 3.25716e-39, 3.40406e-11, 3.25716e-39, 3.25716e-39
0.384336, 0, 1.03054e-10, 3.57489e-38, 1.41421, -1.03054e-10, 3.57489e-38, 0, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 3.57489e-38, 4.59352e-11, 3.57489e-38, 5.71187e-11, 3.57489e-38, 3.57489e-38
0.392204, 0, 1.74785e-10, 3.55386e-37, 1.41421, -1.74785e-10, 3.55386e-37, 0, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 3.55386e-37, 7.9895e-11, 3.55386e-37, 9.48898e-11, 3.55386e-37, 3.55386e-37
0.400072, 0, 2.9426e-10, 3.22127e-36, 1.41421, -2.9426e-10, 3.22127e-36, 0, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 3.22127e-36, 1.38178e-10, 3.22127e-36, 1.56082e-10, 3.22127e-36, 3.22127e-36
0.407939, 0, 4.92019e-10, 2.67538e-35, 1.41421, -4.92019e-10, 2.67538e-35, 0, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.67538e-35, 2.37797e-10, 2.67538e-35, 2.54222e-10, 2.67538e-35, 2.67538e-35
0.415807, 0, 8.17575e-10, 2.04478e-34, 1.41421, -8.17575e-10, 2.04478e-34, 0, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 2.04478e-34, 4.0753e-10, 2.04478e-34, 4.10045e-10, 2.04478e-34, 2.04478e-34
0.423675, 0, 1.35106e-09, 1.41545e-33, 1.41421, -1.35106e-09, 1.41545e-33, 0, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 1.41545e-33, 6.96057e-10, 1.41545e-33, 6.54999e-10, 1.41545e-33, 1.41545e-33
0.431542, 0, 2.2221e-09, 8.35378e-33, 1.41421, -2.2221e-09, 8.35378e-33, 0, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 8.35378e-33, 1.18582e-09, 8.35378e-33, 1.03628e-09, 8.35378e-33, 8.35378e-33
0.43941, 0, 3.6406e-09, 5.08515e-32, 1.41421, -3.6406e-09, 5.08515e-32, 0, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 5.08515e-32, 2.01665e-09, 5.08515e-32, 1.62395e-09, 5.08515e-32, 5.08515e-32
0.447278, 0, 5.94705e-09, 2.77678e-31, 1.41421, -5.94705e-09, 2.77678e-31, 0, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 2.77678e-31, 3.42608e-09, 2.77678e-31, 2.52097e-09, 2.77678e-31, 2.77678e-31
0.455145, 0, 9.69521e-09, 1.49228e-30, 1.41421, -9.69521e-09, 1.49228e-30, 0, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 1.49228e-30, 5.81817e-09, 1.49228e-30, 3.87704e-09, 1.49228e-30, 1.49228e-30
0.463013, 0, 1.57992e-08, 1.42517e-29, 1.41421, -1.57992e-08, 1.42517e-29, 0, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 1.42517e-29, 9.89142e-09, 1.42517e-29, 5.90774e-09, 1.42517e-29, 1.42517e-29
0.470881, 0, 2.57207e-08, 6.68955e-29, 1.41421, -2.57207e-08, 6.68955e-29, 0, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 6.68955e-29, 1.68009e-08, 6.68955e-29, 8.91978e-09, 6.68955e-29, 6.68955e-29
0.478749, 0, 4.18905e-08, 3.02684e-28, 1.41421, -4.18905e-08, 3.02684e-28, 0, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 3.02684e-28, 2.85444e-08, 3.02684e-28, 1.3346e-08, 3.02684e-28, 3.02684e-28
0.486616, 0, 6.82879e-08, 1.31073e-27, 1.41421, -6.82879e-08, 1.31073e-27, 0, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 1.31073e-27, 4.84972e-08, 1.31073e-27, 1.97908e-08, 1.31073e-27, 1.31073e-27
0.494484, 0, 1.11446e-07, 5.42711e-27, 1.41421, -1.11446e-07, 5.42711e-27, 0, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 5.42711e-27, 8.23568e-08, 5.42711e-27, 2.90891e-08, 5.42711e-27, 5.42711e-27
0.502352, 0, 1.82076e-07, 2.14896e-26, 1.41421, -1.82076e-07, 2.14896e-26, 0, 2.14896e-26, 2.14896e-26, 2.14896e-26, 2.14896e-26, 2.14896e-26, 1.96502e-14, 2.14896e-26, 2.14896e-26, 2.14896e-26, 2.14896e-26, 2.14896e-26, 1.39691e-07, 2.14896e-26, 4.23846e-08, 2.14896e-26, 2.14896e-26
0.510219, 0, 2.97679e-07, 8.1474e-26, 1.41421, -2.97679e-07, 8.1474e-26, 0, 8.1474e-26, 8.1474e-26, 8.1474e-26, 8.1474e-26, 8.1474e-26, 7.31279e-14, 8.1474e-26, 8.1474e-26, 8.1474e-26, 8.1474e-26, 8.1474e-26, 2.36452e-07, 8.1474e-26, 6.12269e-08, 8.1474e-26, 8.1474e-26
0.518087, 0, 4.86716e-07, 2.96742e-25, 1.41421, -4.86716e-07, 2.96742e-25, 0, 2.96742e-25, 2.96742e-25, 2.96742e-25, 2.96742e-25, 2.96742e-25, 2.12791e-13, 2.96742e-25, 2.96742e-25, 2.96742e-25, 2.96742e-25, 2.96742e-25, 3.99018e-07, 2.96742e-25, 8.76975e-08, 2.96742e-25, 2.96742e-25
0.525955, 0, 7.9583e-07, 1.04673e-24, 1.41421, -7.9583e-07, 3.17056e-11, 0, 2.87318e-11, 2.40332e-10, 1.05521e-11, 1.94513e-10, 4.11608e-11, 1.66166e-12, 6.30442e-11, 1.75897e-12, 3.88008e-11, 2.08294e-12, 5.34634e-14, 6.70599e-07, 8.01936e-16, 1.24577e-07, 1.04673e-24, 1.04673e-24
0.533823, 0, 1.29926e-06, 7.43928e-11, 1.41421, -1.29926e-06, 1.91536e-10, 7.43928e-11, 1.80549e-10, 9.62354e-10, 1.1338e-10, 7.93065e-10, 2.2647e-10, 7.98704e-11, 3.07324e-10, 8.08917e-11, 2.17751e-10, 8.20887e-11, 7.45903e-11, 1.12132e-06, 7.43957e-11, 1.75594e-07, 7.43928e-11, 7.43928e-11
0.54169, 0, 2.1158e-06, 2.6953e-10, 1.41421, -2.1158e-06, 6.08101e-10, 2.6953e-10, 5.76345e-10, 2.83594e-09, 3.82212e-10, 2.34666e-09, 7.09069e-10, 2.84706e-10, 9.42754e-10, 2.88313e-10, 6.83868e-10, 2.91773e-10, 2.70101e-10, 1.8635e-06, 2.69538e-10, 2.45592e-07, 2.6953e-10, 2.6953e-10
0.549558, 0, 3.43365e-06, 7.68382e-10, 1.41421, -3.43365e-06, 1.6619e-09, 7.68382e-10, 1.5781e-09, 7.54139e-09, 1.06576e-09, 6.25013e-09, 1.92837e-09, 8.07442e-10, 2.54509e-09, 8.17953e-10, 1.86186e-09, 8.27083e-10, 7.69889e-10, 3.07496e-06, 7.68405e-10, 3.41017e-07, 7.68382e-10, 7.68382e-10
0.557426, 0, 5.54924e-06, 2.00918e-09, 1.41421, -5.54924e-06, 4.25055e-09, 2.00918e-09, 4.04032e-09, 1.8999e-08, 2.75515e-09, 1.57599e-08, 4.91896e-09, 2.10532e-09, 6.46598e-09, 2.13353e-09, 4.75213e-09, 2.15643e-09, 2.01296e-09, 5.0346e-06, 2.00924e-09, 4.70402e-07, 2.00918e-09, 2.00918e-09
0.565293, 0, 8.9299e-06, 5.00867e-09, 1.41421, -8.9299e-06, 1.04253e-08, 5.00867e-09, 9.91722e-09, 4.60671e-08, 6.8114e-09, 3.82394e-08, 1.20406e-08, 5.23727e-09, 1.57792e-08, 5.30917e-09, 1.16374e-08, 5.36452e-09, 5.0178e-09, 8.17789e-06, 5.0088e-09, 6.45276e-07, 5.00867e-09, 5.00867e-09
0.573161, 0, 1.42964e-05, 1.20459e-08, 1.41421, -1.42964e-05, 2.47213e-08, 1.20459e-08, 2.35324e-08, 1.08127e-07, 1.62645e-08, 8.98093e-08, 2.85013e-08, 1.25979e-08, 3.725e-08, 1.27491e-08, 2.75579e-08, 1.28786e-08, 1.20673e-08, 1.31653e-05, 1.20462e-08, 8.81625e-07, 1.20459e-08, 1.20459e-08
0.581029, 0, 2.27565e-05, 2.80698e-08, 1.41421, -2.27565e-05, 5.68533e-08, 2.80698e-08, 5.41536e-08, 2.46253e-07, 3.76494e-08, 2.04656e-07, 6.54371e-08, 2.94181e-08, 8.53038e-08, 2.96666e-08, 6.32947e-08, 2.99607e-08, 2.81183e-08, 2.09882e-05, 2.80705e-08, 1.2025e-06, 2.80698e-08, 2.80698e-08
0.588896, 0, 3.6028e-05, 6.34861e-08, 1.41421, -3.6028e-05, 1.26975e-07, 6.34861e-08, 1.2102e-07, 5.44742e-07, 8.46163e-08, 4.52991e-07, 1.45909e-07, 6.6795e-08, 1.8973e-07, 6.70083e-08, 1.41183e-07, 6.76571e-08, 6.35931e-08, 3.31383e-05, 6.34877e-08, 1.64271e-06, 6.34861e-08, 6.34861e-08
0.596764, 0, 5.67482e-05, 1.39485e-07, 1.41421, -5.67482e-05, 2.7559e-07, 1.39485e-07, 2.62825e-07, 1.17118e-06, 1.84783e-07, 9.74487e-07, 3.16179e-07, 1.47135e-07, 4.1012e-07, 1.47036e-07, 3.06049e-07, 1.48427e-07, 1.39715e-07, 5.18206e-05, 1.39489e-07, 2.2574e-06, 1.39485e-07, 1.39485e-07
0.604632, 0, 8.89676e-05, 2.97846e-07, 1.41421, -8.89676e-05, 5.81524e-07, 2.97846e-07, 5.54917e-07, 2.44816e-06, 3.92258e-07, 2.03821e-06, 6.66122e-07, 3.14897e-07, 8.61919e-07, 3.13584e-07, 6.45007e-07, 3.16482e-07, 2.98324e-07, 8.0271e-05, 2.97853e-07, 3.13717e-06, 2.97846e-07, 2.97846e-07
0.6125, 0, 0.000138907, 6.18328e-07, 1.41421, -0.000138907, 1.19336e-06, 6.18328e-07, 1.13942e-06, 4.97711e-06, 8.09707e-07, 4.14611e-06, 1.36484e-06, 6.55371e-07, 1.76173e-06, 6.50229e-07, 1.32204e-06, 6.56105e-07, 6.19297e-07, 0.000123215, 6.18342e-07, 4.43463e-06, 6.18328e-07, 6.18328e-07
0.620367, 0, 0.000216115, 1.24835e-06, 1.41421, -0.000216115, 2.38228e-06, 1.24835e-06, 2.27592e-06, 9.84367e-06, 1.62574e-06, 8.20498e-06, 2.72044e-06, 1.32682e-06, 3.50308e-06, 1.31126e-06, 2.63604e-06, 1.32284e-06, 1.25026e-06, 0.000187531, 1.24838e-06, 6.40916e-06, 1.24835e-06, 1.24835e-06
0.628235, 0, 0.000335224, 2.45161e-06, 1.41421, -0.000335224, 4.62745e-06, 2.45161e-06, 4.42337e-06, 1.89447e-05, 3.17576e-06, 1.58003e-05, 5.27632e-06, 2.61485e-06, 6.7781e-06, 2.57232e-06, 5.11437e-06, 2.59455e-06, 2.45528e-06, 0.000283217, 2.45167e-06, 9.49991e-06, 2.45161e-06, 2.45161e-06
0.636103, 0, 0.000518577, 4.68469e-06, 1.41421, -0.000518577, 8.74849e-06, 4.68469e-06, 8.36733e-06, 3.54888e-05, 6.03719e-06, 2.9616e-05, 9.96038e-06, 5.01822e-06, 1.27653e-05, 4.91015e-06, 9.65791e-06, 4.95167e-06, 4.69155e-06, 0.000424824, 4.6848e-06, 1.44408e-05, 4.68469e-06, 4.68469e-06
0.64397, 0, 0.000800075, 8.71225e-06, 1.41421, -0.000800075, 1.61017e-05, 8.71225e-06, 1.54086e-05, 6.47253e-05, 1.11716e-05, 5.40465e-05, 1.83054e-05, 9.38143e-06, 2.34057e-05, 9.12221e-06, 1.77554e-05, 9.19771e-06, 8.72471e-06, 0.000633553, 8.71244e-06, 2.24348e-05, 8.71225e-06, 8.71225e-06
0.651838, 0, 0.00123069, 1.57731e-05, 1.41421, -0.00123069, 2.88587e-05, 1.57731e-05, 2.76314e-05, 0.000114964, 2.01282e-05, 9.60533e-05, 3.27611e-05, 1.70913e-05, 4.17929e-05, 1.6499e-05, 3.17871e-05, 1.66327e-05, 1.57951e-05, 0.000940342, 1.57734e-05, 3.54027e-05, 1.57731e-05, 1.57731e-05
0.659706, 0, 0.00188607, 2.78066e-05, 1.41421, -0.00188607, 5.03799e-05, 2.78066e-05, 4.82627e-05, 0.000198915, 3.53194e-05, 0.000166294, 5.71117e-05, 3.03553e-05, 7.2692e-05, 2.90589e-05, 5.54315e-05, 2.92896e-05, 2.78447e-05, 0.00139027, 2.78072e-05, 5.63297e-05, 2.78066e-05, 2.78066e-05
0.667573, 0, 0.00287672, 4.77471e-05, 1.41421, -0.00287672, 8.56912e-05, 4.77471e-05, 8.21323e-05, 0.000335368, 6.03755e-05, 0.000280533, 9.70068e-05, 5.25809e-05, 0.000123196, 4.98522e-05, 9.41825e-05, 5.02399e-05, 4.78111e-05, 0.00204875, 4.77481e-05, 8.97183e-05, 4.77471e-05, 4.77471e-05
0.675441, 0, 0.00436103, 7.98798e-05, 1.41421, -0.00436103, 0.000142049, 7.98798e-05, 0.000136218, 0.000551128, 0.000100571, 0.000461285, 0.000160589, 8.88685e-05, 0.000203498, 8.33288e-05, 0.000155961, 8.3964e-05, 7.99846e-05, 0.00300988, 7.98814e-05, 0.000142148, 7.98798e-05, 7.98798e-05
0.683309, 0, 0.00656087, 0.000130239, 1.41421, -0.00656087, 0.000229554, 0.000130239, 0.000220239, 0.000883063, 0.000163292, 0.000739538, 0.000259172, 0.000146618, 0.00032772, 0.000135748, 0.00025178, 0.000136763, 0.000130406, 0.00440717, 0.000130241, 0.000222916, 0.000130239, 0.000130239
0.691177, 0, 0.00977939, 0.000207009, 1.41421, -0.00977939, 0.000361756, 0.000207009, 0.000347242, 0.00138001, 0.000258512, 0.00115638, 0.000407904, 0.000236239, 0.000514711, 0.000215594, 0.000396386, 0.000217176, 0.00020727, 0.00642662, 0.000207013, 0.00034472, 0.000207009, 0.000207009
0.699044, 0, 0.0144189, 0.000320865, 1.41421, -0.0144189, 0.000556116, 0.000320865, 0.000534051, 0.0021041, 0.000399161, 0.00176413, 0.000626272, 0.000371921, 0.000788643, 0.000333917, 0.000608762, 0.00033632, 0.000321262, 0.00932119, 0.000320871, 0.000524295, 0.000320865, 0.000320865
