   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_55.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00767954, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000205305, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00809014, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.015975, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0238598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0317447, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0396295, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0475143, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0553992, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.063284, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0711689, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0790537, 0, 4.61417e-30, 0, 1.41421, -4.61417e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59177e-32, 0, 0, 5.3867e-35, 0, 0, 4.5982e-30, 0, 0, 0
0.0869386, 0, 5.03567e-29, 0, 1.41421, -5.03567e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73718e-31, 0, 0, 5.87877e-34, 0, 0, 5.01824e-29, 0, 0, 0
0.0948234, 0, 3.4495e-28, 0, 1.41421, -3.4495e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18999e-30, 0, 0, 4.02703e-33, 0, 0, 3.43756e-28, 0, 0, 0
0.102708, 0, 1.88868e-27, 0, 1.41421, -1.88868e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51546e-30, 0, 0, 2.20771e-32, 0, 0, 1.88214e-27, 0, 0, 0
0.110593, 0, 9.00649e-27, 0, 1.41421, -9.00649e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10701e-29, 0, 0, 1.05634e-31, 0, 0, 8.97532e-27, 0, 0, 0
0.118478, 0, 3.89808e-26, 0, 1.41421, -3.89808e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34474e-28, 0, 0, 4.5946e-31, 0, 0, 3.88459e-26, 0, 0, 0
