   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.004073, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00379554, 0, 8.6781e-19, 0, 1.41421, -8.6781e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.57255e-21, 0, 0, 1.01677e-23, 1.76942e-22, 0, 8.6205e-19, 0, 0, 0
0.0116641, 0, 1.68061e-18, 0, 1.41421, -1.68061e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07918e-20, 0, 0, 1.99517e-23, 3.49154e-22, 0, 1.66945e-18, 0, 0, 0
0.0195326, 0, 3.22569e-18, 0, 1.41421, -3.22569e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07133e-20, 0, 0, 3.88099e-23, 6.82966e-22, 0, 3.20426e-18, 0, 0, 0
0.0274011, 0, 6.13751e-18, 0, 1.41421, -6.13751e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94109e-20, 0, 0, 7.48533e-23, 1.32463e-21, 0, 6.0967e-18, 0, 0, 0
0.0352697, 0, 1.15789e-17, 0, 1.41421, -1.15789e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43517e-20, 0, 0, 1.43181e-22, 2.5481e-21, 0, 1.15019e-17, 0, 0, 0
0.0431382, 0, 2.16639e-17, 0, 1.41421, -2.16639e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39109e-19, 0, 0, 2.71674e-22, 4.86251e-21, 0, 2.15197e-17, 0, 0, 0
0.0510068, 0, 4.02042e-17, 0, 1.41421, -4.02042e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5816e-19, 0, 0, 5.11429e-22, 9.20709e-21, 0, 3.99363e-17, 0, 0, 0
0.0588753, 0, 7.40193e-17, 0, 1.41421, -7.40193e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75292e-19, 0, 0, 9.55364e-22, 1.73016e-20, 0, 7.35257e-17, 0, 0, 0
0.0667438, 0, 1.35215e-16, 0, 1.41421, -1.35215e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68236e-19, 0, 0, 1.77122e-21, 3.22729e-20, 0, 1.34313e-16, 0, 0, 0
0.0746124, 0, 2.45113e-16, 0, 1.41421, -2.45113e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5739e-18, 0, 0, 3.25951e-21, 5.97649e-20, 0, 2.43476e-16, 0, 0, 0
0.0824809, 0, 4.40989e-16, 0, 1.41421, -4.40989e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83163e-18, 0, 0, 5.9549e-21, 1.09897e-19, 0, 4.38042e-16, 0, 0, 0
