   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0903494, 0, 7.87516e-16, 0, 1.41421, -7.87516e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.05668e-18, 0, 0, 1.08016e-20, 2.00686e-19, 0, 7.82248e-16, 0, 0, 0
0.098218, 0, 1.39607e-15, 0, 1.41421, -1.39607e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.96417e-18, 0, 0, 1.94558e-20, 3.64004e-19, 0, 1.38672e-15, 0, 0, 0
0.106086, 0, 2.45705e-15, 0, 1.41421, -2.45705e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57766e-17, 0, 0, 3.48019e-20, 6.55859e-19, 0, 2.44058e-15, 0, 0, 0
0.113955, 0, 4.29359e-15, 0, 1.41421, -4.29359e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75688e-17, 0, 0, 6.18289e-20, 1.17404e-18, 0, 4.26479e-15, 0, 0, 0
0.121824, 0, 7.45014e-15, 0, 1.41421, -7.45014e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78364e-17, 0, 0, 1.09108e-19, 2.08824e-18, 0, 7.40011e-15, 0, 0, 0
0.129692, 0, 1.28375e-14, 0, 1.41421, -1.28375e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.24273e-17, 0, 0, 1.91268e-19, 3.69102e-18, 0, 1.27512e-14, 0, 0, 0
0.137561, 0, 2.19683e-14, 0, 1.41421, -2.19683e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41054e-16, 0, 0, 3.33115e-19, 6.48382e-18, 0, 2.18204e-14, 0, 0, 0
0.145429, 0, 3.73375e-14, 0, 1.41421, -3.73375e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39735e-16, 0, 0, 5.76433e-19, 1.13208e-17, 0, 3.70859e-14, 0, 0, 0
0.153298, 0, 6.30304e-14, 0, 1.41421, -6.30304e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.047e-16, 0, 0, 9.9115e-19, 1.96484e-17, 0, 6.26051e-14, 0, 0, 0
0.161166, 0, 1.05691e-13, 0, 1.41421, -1.05691e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7861e-16, 0, 0, 1.69358e-18, 3.39014e-17, 0, 1.04977e-13, 0, 0, 0
0.169035, 0, 1.76049e-13, 0, 1.41421, -1.76049e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13035e-15, 0, 0, 2.87596e-18, 5.81552e-17, 0, 1.74857e-13, 0, 0, 0
0.176903, 0, 2.91309e-13, 0, 1.41421, -2.91309e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8704e-15, 0, 0, 4.8541e-18, 9.91921e-17, 0, 2.89334e-13, 0, 0, 0
0.184772, 0, 4.78874e-13, 0, 1.41421, -4.78874e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07472e-15, 0, 0, 8.14372e-18, 1.68247e-16, 0, 4.75623e-13, 0, 0, 0
0.19264, 0, 7.82084e-13, 0, 1.41421, -7.82084e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02161e-15, 0, 0, 1.35821e-17, 2.83807e-16, 0, 7.76765e-13, 0, 0, 0
0.200509, 0, 1.26902e-12, 0, 1.41421, -1.26902e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14829e-15, 0, 0, 2.25209e-17, 4.76147e-16, 0, 1.26037e-12, 0, 0, 0
0.208377, 0, 2.04588e-12, 0, 1.41421, -2.04588e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31368e-14, 0, 0, 3.71301e-17, 7.94587e-16, 0, 2.03191e-12, 0, 0, 0
0.216246, 0, 3.27722e-12, 0, 1.41421, -3.27722e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10443e-14, 0, 0, 6.08763e-17, 1.31907e-15, 0, 3.2548e-12, 0, 0, 0
0.224115, 0, 5.21626e-12, 0, 1.41421, -5.21626e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34974e-14, 0, 0, 9.9268e-17, 2.17852e-15, 0, 5.18048e-12, 0, 0, 0
0.231983, 0, 8.24997e-12, 0, 1.41421, -8.24997e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2983e-14, 0, 0, 1.61018e-16, 3.5799e-15, 0, 8.19325e-12, 0, 0, 0
0.239852, 0, 1.29658e-11, 0, 1.41421, -1.29658e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3277e-14, 0, 0, 2.59845e-16, 5.8539e-15, 0, 1.28764e-11, 0, 0, 0
0.24772, 0, 2.02493e-11, 0, 1.41421, -2.02493e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30074e-13, 0, 0, 4.17266e-16, 9.52661e-15, 0, 2.01093e-11, 0, 0, 0
0.255589, 0, 3.14268e-11, 0, 1.41421, -3.14268e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01906e-13, 0, 0, 6.66902e-16, 1.54315e-14, 0, 3.12088e-11, 0, 0, 0
0.263457, 0, 4.84704e-11, 0, 1.41421, -4.84704e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11467e-13, 0, 0, 1.06111e-15, 2.48839e-14, 0, 4.8133e-11, 0, 0, 0
0.271326, 0, 7.42937e-11, 0, 1.41421, -7.42937e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77525e-13, 0, 0, 1.68121e-15, 3.99516e-14, 0, 7.37746e-11, 0, 0, 0
0.279194, 0, 1.13172e-10, 0, 1.41421, -1.13172e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27642e-13, 0, 0, 2.65323e-15, 6.38755e-14, 0, 1.12378e-10, 0, 0, 0
0.287063, 0, 1.71336e-10, 9.94922e-44, 1.41421, -1.71336e-10, 0, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 9.94922e-44, 1.10202e-12, 9.94922e-44, 9.94922e-44, 4.17205e-15, 1.01717e-13, 9.94922e-44, 1.70128e-10, 9.94922e-44, 9.94922e-44, 9.94922e-44
0.294931, 0, 2.57803e-10, 1.65774e-42, 1.41421, -2.57803e-10, 0, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65774e-42, 1.65893e-12, 1.65774e-42, 1.65774e-42, 6.53878e-15, 1.61362e-13, 1.65774e-42, 2.55976e-10, 1.65774e-42, 1.65774e-42, 1.65774e-42
0.3028, 0, 3.85542e-10, 2.3127e-41, 1.41421, -3.85542e-10, 0, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.3127e-41, 2.4823e-12, 2.3127e-41, 2.3127e-41, 1.02182e-14, 2.5506e-13, 2.3127e-41, 3.82794e-10, 2.3127e-41, 2.3127e-41, 2.3127e-41
0.310668, 0, 5.73073e-10, 2.85805e-40, 1.41421, -5.73073e-10, 0, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 2.85805e-40, 3.6922e-12, 2.85805e-40, 2.85805e-40, 1.59275e-14, 4.01807e-13, 2.85805e-40, 5.68964e-10, 2.85805e-40, 2.85805e-40, 2.85805e-40
0.318537, 0, 8.46672e-10, 3.17315e-39, 1.41421, -8.46672e-10, 0, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 3.17315e-39, 5.45932e-12, 3.17315e-39, 3.17315e-39, 2.47734e-14, 6.30989e-13, 3.17315e-39, 8.40557e-10, 3.17315e-39, 3.17315e-39, 3.17315e-39
0.326406, 0, 1.24337e-09, 3.18354e-38, 1.41421, -1.24337e-09, 0, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 3.18354e-38, 8.02489e-12, 3.18354e-38, 3.18354e-38, 3.84651e-14, 9.88004e-13, 3.18354e-38, 1.23432e-09, 3.18354e-38, 3.18354e-38, 3.18354e-38
0.334274, 0, 1.81499e-09, 2.90239e-37, 1.41421, -1.81499e-09, 0, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 2.90239e-37, 1.17276e-11, 2.90239e-37, 2.90239e-37, 5.96427e-14, 1.54286e-12, 2.90239e-37, 1.80166e-09, 2.90239e-37, 2.90239e-37, 2.90239e-37
0.342143, 0, 2.63363e-09, 2.4174e-36, 1.41421, -2.63363e-09, 0, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 2.4174e-36, 1.704e-11, 2.4174e-36, 2.4174e-36, 9.23884e-14, 2.40338e-12, 2.4174e-36, 2.61409e-09, 2.4174e-36, 2.4174e-36, 2.4174e-36
0.350011, 0, 3.79885e-09, 1.84837e-35, 1.41421, -3.79885e-09, 0, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 1.84837e-35, 2.46179e-11, 1.84837e-35, 1.84837e-35, 1.43019e-13, 3.73544e-12, 1.84837e-35, 3.77035e-09, 1.84837e-35, 1.84837e-35, 1.84837e-35
0.35788, 0, 5.44731e-09, 1.30297e-34, 1.41421, -5.44731e-09, 0, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 1.30297e-34, 3.53657e-11, 1.30297e-34, 1.30297e-34, 2.21316e-13, 5.79387e-12, 1.30297e-34, 5.40593e-09, 1.30297e-34, 1.30297e-34, 1.30297e-34
0.365748, 0, 7.76535e-09, 8.86975e-34, 1.41421, -7.76535e-09, 0, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 8.86975e-34, 5.05235e-11, 8.86975e-34, 8.86975e-34, 3.42429e-13, 8.96971e-12, 8.86975e-34, 7.70552e-09, 8.86975e-34, 8.86975e-34, 8.86975e-34
0.373617, 0, 1.10054e-08, 5.87429e-33, 1.41421, -1.10054e-08, 0, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 5.87429e-33, 7.17825e-11, 5.87429e-33, 5.87429e-33, 5.29825e-13, 1.38621e-11, 5.87429e-33, 1.09192e-08, 5.87429e-33, 5.87429e-33, 5.87429e-33
0.381485, 0, 1.55071e-08, 3.66176e-32, 1.41421, -1.55071e-08, 0, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 3.66176e-32, 1.01436e-10, 3.66176e-32, 3.66176e-32, 8.19831e-13, 2.13874e-11, 3.66176e-32, 1.53834e-08, 3.66176e-32, 3.66176e-32, 3.66176e-32
0.389354, 0, 2.17248e-08, 2.13307e-31, 1.41421, -2.17248e-08, 0, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 2.13307e-31, 1.42577e-10, 2.13307e-31, 2.13307e-31, 1.26865e-12, 3.29448e-11, 2.13307e-31, 2.1548e-08, 2.13307e-31, 2.13307e-31, 2.13307e-31
0.397222, 0, 3.02622e-08, 1.16224e-30, 1.41421, -3.02622e-08, 0, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.16224e-30, 1.99358e-10, 1.16224e-30, 1.16224e-30, 1.96305e-12, 5.06653e-11, 1.16224e-30, 3.00102e-08, 1.16224e-30, 1.16224e-30, 1.16224e-30
0.405091, 0, 4.19165e-08, 5.93842e-30, 1.41421, -4.19165e-08, 0, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 5.93842e-30, 2.7732e-10, 5.93842e-30, 5.93842e-30, 3.03679e-12, 7.77858e-11, 5.93842e-30, 4.15584e-08, 5.93842e-30, 5.93842e-30, 5.93842e-30
0.412959, 0, 5.77339e-08, 2.85427e-29, 1.41421, -5.77339e-08, 0, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 2.85427e-29, 3.83829e-10, 2.85427e-29, 2.85427e-29, 4.69542e-12, 1.19208e-10, 2.85427e-29, 5.72262e-08, 2.85427e-29, 2.85427e-29, 2.85427e-29
0.420828, 0, 7.90789e-08, 1.29464e-28, 1.41421, -7.90789e-08, 0, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 1.29464e-28, 5.2862e-10, 1.29464e-28, 1.29464e-28, 7.25383e-12, 1.82324e-10, 1.29464e-28, 7.83607e-08, 1.29464e-28, 1.29464e-28, 1.29464e-28
0.428697, 0, 1.0772e-07, 5.55806e-28, 1.41421, -1.0772e-07, 0, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 5.55806e-28, 7.24509e-10, 5.55806e-28, 5.55806e-28, 1.11925e-11, 2.78237e-10, 5.55806e-28, 1.06706e-07, 5.55806e-28, 5.55806e-28, 5.55806e-28
0.436565, 0, 1.45936e-07, 2.26501e-27, 1.41421, -1.45936e-07, 0, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 2.26501e-27, 9.8828e-10, 2.26501e-27, 2.26501e-27, 1.72415e-11, 4.23546e-10, 2.26501e-27, 1.44507e-07, 2.26501e-27, 2.26501e-27, 2.26501e-27
0.444434, 0, 1.96646e-07, 8.78584e-27, 1.41421, -1.96646e-07, 0, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 8.78584e-27, 1.34183e-09, 8.78584e-27, 8.78584e-27, 2.6505e-11, 6.42932e-10, 8.78584e-27, 1.94635e-07, 8.78584e-27, 8.78584e-27, 8.78584e-27
0.452302, 0, 2.63566e-07, 3.25204e-26, 1.41421, -2.63566e-07, 0, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 3.25204e-26, 1.81356e-09, 3.25204e-26, 3.25204e-26, 4.06432e-11, 9.72874e-10, 3.25204e-26, 2.60739e-07, 3.25204e-26, 3.25204e-26, 3.25204e-26
0.460171, 0, 3.51399e-07, 1.15147e-25, 1.41421, -3.51399e-07, 0, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 1.15147e-25, 2.4402e-09, 1.15147e-25, 1.15147e-25, 6.21396e-11, 1.46696e-09, 1.15147e-25, 3.4743e-07, 1.15147e-25, 1.15147e-25, 1.15147e-25
0.468039, 0, 4.68662e-07, 3.94913e-25, 1.41421, -4.68662e-07, 0, 2.84557e-14, 6.70623e-14, 1.73567e-13, 9.59023e-13, 1.01019e-11, 4.39541e-13, 6.9037e-13, 1.41702e-11, 5.03115e-12, 2.47045e-09, 3.2691e-09, 2.22503e-13, 1.0119e-13, 9.46872e-11, 2.20336e-09, 3.78035e-15, 4.6057e-07, 3.94913e-25, 3.94913e-25, 2.25943e-11
0.475908, 0, 6.25628e-07, 1.20565e-09, 1.41421, -6.25628e-07, 1.20565e-09, 1.20576e-09, 1.2059e-09, 1.20629e-09, 1.20914e-09, 1.24239e-09, 1.20725e-09, 1.20816e-09, 1.25718e-09, 1.22395e-09, 1.01895e-08, 5.56645e-09, 1.20646e-09, 1.20602e-09, 1.34944e-09, 4.50121e-09, 1.20567e-09, 6.08645e-07, 1.20565e-09, 1.20565e-09, 1.28782e-09
0.483776, 0, 8.31853e-07, 2.99972e-09, 1.41421, -8.31853e-07, 2.99972e-09, 2.99995e-09, 3.00027e-09, 3.00115e-09, 3.00763e-09, 3.0831e-09, 3.00335e-09, 3.00542e-09, 3.11668e-09, 3.04124e-09, 2.339e-08, 8.79207e-09, 3.00156e-09, 3.00055e-09, 3.21711e-09, 7.90553e-09, 2.99975e-09, 8.00096e-07, 2.99972e-09, 2.99972e-09, 3.18621e-09
0.491645, 0, 1.10799e-06, 6.80171e-09, 1.41421, -1.10799e-06, 6.80171e-09, 6.80222e-09, 6.80291e-09, 6.80481e-09, 6.81884e-09, 6.98212e-09, 6.80956e-09, 6.81404e-09, 7.05477e-09, 6.89156e-09, 5.09198e-08, 1.44635e-08, 6.80569e-09, 6.80352e-09, 7.12893e-09, 1.40681e-08, 6.80178e-09, 1.04764e-06, 6.80171e-09, 6.80171e-09, 7.20521e-09
0.499513, 0, 1.48324e-06, 1.4703e-08, 1.41421, -1.48324e-06, 1.4703e-08, 1.47041e-08, 1.47055e-08, 1.47095e-08, 1.47389e-08, 1.50814e-08, 1.47195e-08, 1.47289e-08, 1.52338e-08, 1.48915e-08, 1.07243e-07, 2.47959e-08, 1.47113e-08, 1.47068e-08, 1.51932e-08, 2.54084e-08, 1.47031e-08, 1.36737e-06, 1.4703e-08, 1.4703e-08, 1.55494e-08
0.507382, 0, 2.0042e-06, 3.0817e-08, 1.41421, -2.0042e-06, 3.0817e-08, 3.08192e-08, 3.08221e-08, 3.08303e-08, 3.08905e-08, 3.15919e-08, 3.08507e-08, 3.08699e-08, 3.19039e-08, 3.12029e-08, 2.20321e-07, 4.40581e-08, 3.0834e-08, 3.08247e-08, 3.15476e-08, 4.65143e-08, 3.08173e-08, 1.78084e-06, 3.0817e-08, 3.0817e-08, 3.25501e-08
0.51525, 0, 2.74737e-06, 6.30636e-08, 1.41421, -2.74737e-06, 6.30636e-08, 6.30679e-08, 6.30739e-08, 6.30903e-08, 6.32111e-08, 6.46176e-08, 6.31312e-08, 6.31698e-08, 6.52435e-08, 6.38375e-08, 4.43109e-07, 8.03648e-08, 6.30978e-08, 6.30791e-08, 6.41469e-08, 8.59323e-08, 6.30641e-08, 2.31768e-06, 6.30636e-08, 6.30636e-08, 6.65394e-08
0.523119, 0, 3.84141e-06, 1.26391e-07, 1.41421, -3.84141e-06, 1.26391e-07, 1.264e-07, 1.26411e-07, 1.26443e-07, 1.26681e-07, 1.29448e-07, 1.26524e-07, 1.266e-07, 1.30679e-07, 1.27913e-07, 8.73898e-07, 1.48907e-07, 1.26458e-07, 1.26422e-07, 1.27989e-07, 1.59506e-07, 1.26392e-07, 3.02016e-06, 1.26391e-07, 1.26391e-07, 1.33227e-07
0.530988, 0, 5.50481e-06, 2.48445e-07, 1.41421, -5.50481e-06, 2.48445e-07, 2.48461e-07, 2.48484e-07, 2.48546e-07, 2.49005e-07, 2.54345e-07, 2.48701e-07, 2.48848e-07, 2.56722e-07, 2.51383e-07, 1.69147e-06, 2.7763e-07, 2.48575e-07, 2.48504e-07, 2.50788e-07, 2.96098e-07, 2.48447e-07, 3.95072e-06, 2.48445e-07, 2.48445e-07, 2.61642e-07
0.538856, 0, 8.10936e-06, 4.79329e-07, 1.41421, -8.10936e-06, 4.79329e-07, 4.7936e-07, 4.79403e-07, 4.79521e-07, 4.80391e-07, 4.90513e-07, 4.79815e-07, 4.80093e-07, 4.95017e-07, 4.84899e-07, 3.21447e-06, 5.1701e-07, 4.79575e-07, 4.79441e-07, 4.82747e-07, 5.47468e-07, 4.79333e-07, 5.20454e-06, 4.79329e-07, 4.79329e-07, 5.04344e-07
0.546725, 0, 1.22842e-05, 9.08005e-07, 1.41421, -1.22842e-05, 9.08005e-07, 9.08064e-07, 9.08143e-07, 9.08363e-07, 9.09981e-07, 9.28824e-07, 9.08911e-07, 9.09428e-07, 9.37208e-07, 9.18374e-07, 5.99931e-06, 9.56466e-07, 9.08464e-07, 9.08214e-07, 9.12961e-07, 1.00481e-06, 9.08013e-07, 6.93018e-06, 9.08005e-07, 9.08005e-07, 9.54569e-07
0.554593, 0, 1.90836e-05, 1.68924e-06, 1.41421, -1.90836e-05, 1.68924e-06, 1.68935e-06, 1.68949e-06, 1.68989e-06, 1.69285e-06, 1.7273e-06, 1.6909e-06, 1.69184e-06, 1.74263e-06, 1.7082e-06, 1.09979e-05, 1.75132e-06, 1.69008e-06, 1.68962e-06, 1.69638e-06, 1.8259e-06, 1.68925e-06, 9.36332e-06, 1.68924e-06, 1.68924e-06, 1.77438e-06
0.562462, 0, 3.02494e-05, 3.08679e-06, 1.41421, -3.02494e-05, 3.08679e-06, 3.08698e-06, 3.08724e-06, 3.08796e-06, 3.09328e-06, 3.15515e-06, 3.08976e-06, 3.09146e-06, 3.18268e-06, 3.12083e-06, 1.98055e-05, 3.16603e-06, 3.08829e-06, 3.08747e-06, 3.09703e-06, 3.27848e-06, 3.08681e-06, 1.288e-05, 3.08679e-06, 3.08679e-06, 3.23969e-06
0.57033, 0, 4.86145e-05, 5.54094e-06, 1.41421, -4.86145e-05, 5.54094e-06, 5.54128e-06, 5.54174e-06, 5.54302e-06, 5.5524e-06, 5.66157e-06, 5.54619e-06, 5.54919e-06, 5.71015e-06, 5.60102e-06, 3.50409e-05, 5.64171e-06, 5.5436e-06, 5.54215e-06, 5.55554e-06, 5.80818e-06, 5.54099e-06, 1.80802e-05, 5.54094e-06, 5.54094e-06, 5.81075e-06
0.578199, 0, 7.87045e-05, 9.7716e-06, 1.41421, -7.87045e-05, 9.7716e-06, 9.77219e-06, 9.77299e-06, 9.77519e-06, 9.79145e-06, 9.98072e-06, 9.7807e-06, 9.78589e-06, 1.00649e-05, 9.87575e-06, 6.09139e-05, 9.89929e-06, 9.77621e-06, 9.77369e-06, 9.79228e-06, 1.01419e-05, 9.77168e-06, 2.59136e-05, 9.7716e-06, 9.7716e-06, 1.02393e-05
0.586067, 0, 0.000127616, 1.69314e-05, 1.41421, -0.000127616, 1.69314e-05, 1.69324e-05, 1.69338e-05, 1.69375e-05, 1.69652e-05, 1.72876e-05, 1.69469e-05, 1.69557e-05, 1.74311e-05, 1.71088e-05, 0.000104052, 1.70927e-05, 1.69392e-05, 1.6935e-05, 1.69605e-05, 1.74417e-05, 1.69315e-05, 3.78702e-05, 1.69314e-05, 1.69314e-05, 1.77282e-05
0.593936, 0, 0.000206252, 2.88271e-05, 1.41421, -0.000206252, 2.88271e-05, 2.88287e-05, 2.8831e-05, 2.88373e-05, 2.88837e-05, 2.94234e-05, 2.8853e-05, 2.88678e-05, 2.96636e-05, 2.91241e-05, 0.000174667, 2.90301e-05, 2.88402e-05, 2.8833e-05, 2.88679e-05, 2.95265e-05, 2.88273e-05, 5.62467e-05, 2.88271e-05, 2.88271e-05, 3.01609e-05
