   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.177339, 0, 1.01525e-13, 0, 1.41421, -1.01525e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94613e-16, 0, 0, 1.08264e-18, 2.89784e-15, 0, 9.81311e-14, 0, 0, 0
0.185204, 0, 1.71621e-13, 0, 1.41421, -1.71621e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.35417e-16, 0, 0, 1.86474e-18, 5.03916e-15, 0, 1.65745e-13, 0, 0, 0
0.193069, 0, 2.88089e-13, 0, 1.41421, -2.88089e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40112e-15, 0, 0, 3.19097e-18, 8.70914e-15, 0, 2.77975e-13, 0, 0, 0
0.200933, 0, 4.80243e-13, 0, 1.41421, -4.80243e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33347e-15, 0, 0, 5.42551e-18, 1.49623e-14, 0, 4.62942e-13, 0, 0, 0
0.208798, 0, 7.95054e-13, 0, 1.41421, -7.95054e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85929e-15, 0, 0, 9.16682e-18, 2.55536e-14, 0, 7.65632e-13, 0, 0, 0
0.216662, 0, 1.30723e-12, 0, 1.41421, -1.30723e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3388e-15, 0, 0, 1.53924e-17, 4.3389e-14, 0, 1.25749e-12, 0, 0, 0
0.224527, 0, 2.13478e-12, 0, 1.41421, -2.13478e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.034e-14, 0, 0, 2.56895e-17, 7.32537e-14, 0, 2.05116e-12, 0, 0, 0
0.232391, 0, 3.46269e-12, 0, 1.41421, -3.46269e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6752e-14, 0, 0, 4.26218e-17, 1.22984e-13, 0, 3.32291e-12, 0, 0, 0
0.240256, 0, 5.57899e-12, 0, 1.41421, -5.57899e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69563e-14, 0, 0, 7.03078e-17, 2.05346e-13, 0, 5.34662e-12, 0, 0, 0
0.248121, 0, 8.92892e-12, 0, 1.41421, -8.92892e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30843e-14, 0, 0, 1.1533e-16, 3.41036e-13, 0, 8.54469e-12, 0, 0, 0
