   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_252.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0280738, 1.80669, 0, 0, 1.95107, 1.80669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200953, 0.997589, 0, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0121168, 1.18126, 0, 0, 1.78361, 1.18126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00413832, 1.81392, 0, 0, 1.95293, 1.81392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00384017, 0.818742, 0, 0, 1.67891, 0.818742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0118187, 0.176437, 0, 0, 1.47528, 0.176437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0197972, 0.997589, 0, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0277756, 0.997589, 0, 0, 1.73135, 0.997589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0357541, 0.828386, 0, 0, 1.68178, 0.828386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0437326, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0517111, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0596896, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0676681, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0756466, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0836251, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0916036, 0, 3.37189e-27, 0, 1.41421, -3.37189e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36327e-30, 0, 0, 1.36781e-32, 6.38937e-32, 3.36445e-27, 0, 0
0.099582, 0, 2.73612e-26, 0, 1.41421, -2.73612e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97482e-29, 0, 0, 1.11058e-31, 9.69447e-31, 2.73003e-26, 0, 0
0.107561, 0, 1.53194e-25, 0, 1.41421, -1.53194e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34526e-28, 0, 0, 6.24189e-31, 6.53453e-30, 1.52853e-25, 0, 0
0.115539, 0, 7.2469e-25, 0, 1.41421, -7.2469e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58248e-27, 0, 0, 2.96675e-30, 3.43467e-29, 7.23071e-25, 0, 0
0.123518, 0, 3.08627e-24, 0, 1.41421, -3.08627e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73934e-27, 0, 0, 1.26995e-29, 1.5752e-28, 3.07936e-24, 0, 0
0.131496, 0, 1.21839e-23, 0, 1.41421, -1.21839e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66053e-26, 0, 0, 5.04038e-29, 6.58857e-28, 1.21566e-23, 0, 0
0.139475, 0, 4.5321e-23, 0, 1.41421, -4.5321e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89646e-26, 0, 0, 1.8853e-28, 2.57124e-27, 4.52193e-23, 0, 0
0.147453, 0, 1.60487e-22, 0, 1.41421, -1.60487e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50444e-25, 0, 0, 6.71437e-28, 9.49047e-27, 1.60126e-22, 0, 0
0.155431, 0, 5.4482e-22, 0, 1.41421, -5.4482e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18968e-24, 0, 0, 2.29293e-27, 3.3427e-26, 5.43594e-22, 0, 0
