   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_130.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00204266, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0058164, 0, 2.97435e-20, 0, 1.41421, -2.97435e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76811e-22, 0, 4.22315e-25, 7.11734e-24, 0, 2.94591e-20, 0, 0
0.0136755, 0, 6.30735e-20, 0, 1.41421, -6.30735e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86997e-22, 0, 9.07271e-25, 1.53938e-23, 0, 6.24702e-20, 0, 0
0.0215345, 0, 1.32163e-19, 0, 1.41421, -1.32163e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22998e-21, 0, 1.92632e-24, 3.2889e-23, 0, 1.30899e-19, 0, 0
0.0293936, 0, 2.73765e-19, 0, 1.41421, -2.73765e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54779e-21, 0, 4.04396e-24, 6.94482e-23, 0, 2.71144e-19, 0, 0
0.0372526, 0, 5.6082e-19, 0, 1.41421, -5.6082e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21922e-21, 0, 8.39752e-24, 1.45006e-22, 0, 5.55447e-19, 0, 0
0.0451117, 0, 1.13658e-18, 0, 1.41421, -1.13658e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05775e-20, 0, 1.72551e-23, 2.99508e-22, 0, 1.12569e-18, 0, 0
0.0529708, 0, 2.32959e-18, 0, 1.41421, -2.32959e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16798e-20, 0, 3.60351e-23, 6.29511e-22, 0, 2.30724e-18, 0, 0
0.0608298, 0, 4.61503e-18, 0, 1.41421, -4.61503e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29487e-20, 0, 7.23995e-23, 1.27079e-21, 0, 4.57074e-18, 0, 0
0.0686889, 0, 9.05486e-18, 0, 1.41421, -9.05486e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42664e-20, 0, 1.44098e-22, 2.54105e-21, 0, 8.96791e-18, 0, 0
0.076548, 0, 1.75994e-17, 0, 1.41421, -1.75994e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63783e-19, 0, 2.84184e-22, 5.0343e-21, 0, 1.74303e-17, 0, 0
0.084407, 0, 3.38932e-17, 0, 1.41421, -3.38932e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15413e-19, 0, 5.55456e-22, 9.88469e-21, 0, 3.35673e-17, 0, 0
0.0922661, 0, 6.46856e-17, 0, 1.41421, -6.46856e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.01966e-19, 0, 1.07621e-21, 1.92393e-20, 0, 6.40633e-17, 0, 0
0.100125, 0, 1.22365e-16, 0, 1.41421, -1.22365e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13872e-18, 0, 2.06738e-21, 3.71286e-20, 0, 1.21187e-16, 0, 0
0.107984, 0, 2.29471e-16, 0, 1.41421, -2.29471e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13544e-18, 0, 3.93814e-21, 7.10579e-20, 0, 2.27261e-16, 0, 0
0.115843, 0, 4.26664e-16, 0, 1.41421, -4.26664e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97047e-18, 0, 7.44006e-21, 1.3489e-19, 0, 4.22551e-16, 0, 0
0.123702, 0, 7.86661e-16, 0, 1.41421, -7.86661e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3205e-18, 0, 1.39424e-20, 2.54034e-19, 0, 7.79072e-16, 0, 0
0.131561, 0, 1.43843e-15, 0, 1.41421, -1.43843e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33856e-17, 0, 2.59202e-20, 4.74701e-19, 0, 1.42454e-15, 0, 0
0.13942, 0, 2.60877e-15, 0, 1.41421, -2.60877e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42763e-17, 0, 4.78107e-20, 8.80299e-19, 0, 2.58357e-15, 0, 0
0.14728, 0, 4.69327e-15, 0, 1.41421, -4.69327e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36735e-17, 0, 8.75083e-20, 1.62027e-18, 0, 4.64789e-15, 0, 0
0.155139, 0, 8.37627e-15, 0, 1.41421, -8.37627e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79451e-17, 0, 1.5895e-19, 2.96041e-18, 0, 8.2952e-15, 0, 0
0.162998, 0, 1.4832e-14, 0, 1.41421, -1.4832e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38018e-16, 0, 2.86556e-19, 5.37015e-18, 0, 1.46883e-14, 0, 0
0.170857, 0, 2.60591e-14, 0, 1.41421, -2.60591e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42488e-16, 0, 5.12796e-19, 9.67263e-18, 0, 2.58064e-14, 0, 0
0.178716, 0, 4.54321e-14, 0, 1.41421, -4.54321e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22757e-16, 0, 9.1098e-19, 1.73013e-17, 0, 4.49912e-14, 0, 0
0.186575, 0, 7.86034e-14, 0, 1.41421, -7.86034e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.3142e-16, 0, 1.60674e-18, 3.07357e-17, 0, 7.78396e-14, 0, 0
0.194434, 0, 1.34966e-13, 0, 1.41421, -1.34966e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25588e-15, 0, 2.81386e-18, 5.42358e-17, 0, 1.33653e-13, 0, 0
0.202293, 0, 2.30005e-13, 0, 1.41421, -2.30005e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14023e-15, 0, 4.89351e-18, 9.50723e-17, 0, 2.27765e-13, 0, 0
0.210152, 0, 3.89053e-13, 0, 1.41421, -3.89053e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62021e-15, 0, 8.45185e-18, 1.65576e-16, 0, 3.85259e-13, 0, 0
0.218011, 0, 6.53223e-13, 0, 1.41421, -6.53223e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0784e-15, 0, 1.44992e-17, 2.86545e-16, 0, 6.46843e-13, 0, 0
0.22587, 0, 1.08872e-12, 0, 1.41421, -1.08872e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0131e-14, 0, 2.4709e-17, 4.92806e-16, 0, 1.07807e-12, 0, 0
0.233729, 0, 1.80135e-12, 0, 1.41421, -1.80135e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67626e-14, 0, 4.18351e-17, 8.42357e-16, 0, 1.7837e-12, 0, 0
0.241588, 0, 2.95884e-12, 0, 1.41421, -2.95884e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75348e-14, 0, 7.03827e-17, 1.43123e-15, 0, 2.9298e-12, 0, 0
0.249447, 0, 4.82513e-12, 0, 1.41421, -4.82513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49047e-14, 0, 1.17682e-16, 2.41753e-15, 0, 4.77769e-12, 0, 0
0.257306, 0, 7.81231e-12, 0, 1.41421, -7.81231e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.27099e-14, 0, 1.95594e-16, 4.06018e-15, 0, 7.73535e-12, 0, 0
