   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_257.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.20664, 0, 3.29952e-10, 0, 1.41421, -3.29952e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33696e-12, 0, 0, 5.09877e-12, 0, 0, 3.21517e-10, 0, 0, 0
0.214491, 0, 4.5707e-10, 7.9874e-44, 1.41421, -4.5707e-10, 0, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 7.9874e-44, 4.62162e-12, 7.9874e-44, 7.9874e-44, 7.3938e-12, 7.9874e-44, 7.9874e-44, 4.45055e-10, 7.9874e-44, 7.9874e-44, 7.9874e-44
0.222343, 0, 6.30688e-10, 1.34665e-42, 1.41421, -6.30688e-10, 0, 1.34665e-42, 1.34665e-42, 1.34665e-42, 1.34665e-42, 1.34665e-42, 1.34665e-42, 1.34665e-42, 1.34665e-42, 1.34665e-42, 6.37582e-12, 1.34665e-42, 1.34665e-42, 1.07135e-11, 1.34665e-42, 1.34665e-42, 6.13599e-10, 1.34665e-42, 1.34665e-42, 1.34665e-42
0.230195, 0, 8.66875e-10, 1.91614e-41, 1.41421, -8.66875e-10, 0, 1.91614e-41, 1.91614e-41, 1.91614e-41, 1.91614e-41, 1.91614e-41, 1.91614e-41, 1.91614e-41, 1.91614e-41, 1.91614e-41, 8.7616e-12, 1.91614e-41, 1.91614e-41, 1.55151e-11, 1.91614e-41, 1.91614e-41, 8.42599e-10, 1.91614e-41, 1.91614e-41, 1.91614e-41
0.238046, 0, 1.18692e-09, 2.41416e-40, 1.41421, -1.18692e-09, 0, 2.41416e-40, 2.41416e-40, 2.41416e-40, 2.41416e-40, 2.41416e-40, 2.41416e-40, 2.41416e-40, 2.41416e-40, 2.41416e-40, 1.19936e-11, 2.41416e-40, 2.41416e-40, 2.24616e-11, 2.41416e-40, 2.41416e-40, 1.15247e-09, 2.41416e-40, 2.41416e-40, 2.41416e-40
0.245898, 0, 1.61892e-09, 2.72761e-39, 1.41421, -1.61892e-09, 0, 2.72761e-39, 2.72761e-39, 2.72761e-39, 2.72761e-39, 2.72761e-39, 2.72761e-39, 2.72761e-39, 2.72761e-39, 2.72761e-39, 1.63547e-11, 2.72761e-39, 2.72761e-39, 3.25145e-11, 2.72761e-39, 2.72761e-39, 1.57005e-09, 2.72761e-39, 2.72761e-39, 2.72761e-39
0.25375, 0, 2.19978e-09, 2.78127e-38, 1.41421, -2.19978e-09, 0, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.78127e-38, 2.22167e-11, 2.78127e-38, 2.78127e-38, 4.70698e-11, 2.78127e-38, 2.78127e-38, 2.1305e-09, 2.78127e-38, 2.78127e-38, 2.78127e-38
0.261602, 0, 2.97786e-09, 2.57293e-37, 1.41421, -2.97786e-09, 0, 2.57293e-37, 2.57293e-37, 2.57293e-37, 2.57293e-37, 2.57293e-37, 2.57293e-37, 2.57293e-37, 2.57293e-37, 2.57293e-37, 3.00657e-11, 2.57293e-37, 2.57293e-37, 6.81552e-11, 2.57293e-37, 2.57293e-37, 2.87964e-09, 2.57293e-37, 2.57293e-37, 2.57293e-37
0.269453, 0, 4.01621e-09, 2.16956e-36, 1.41421, -4.01621e-09, 0, 2.16956e-36, 2.16956e-36, 2.16956e-36, 2.16956e-36, 2.16956e-36, 2.16956e-36, 2.16956e-36, 2.16956e-36, 2.16956e-36, 4.05349e-11, 2.16956e-36, 2.16956e-36, 9.87166e-11, 2.16956e-36, 2.16956e-36, 3.87696e-09, 2.16956e-36, 2.16956e-36, 2.16956e-36
0.277305, 0, 5.3968e-09, 1.67674e-35, 1.41421, -5.3968e-09, 0, 1.67674e-35, 1.67674e-35, 1.67674e-35, 1.67674e-35, 1.67674e-35, 1.67674e-35, 1.67674e-35, 1.67674e-35, 1.67674e-35, 5.44467e-11, 1.67674e-35, 1.67674e-35, 1.43036e-10, 1.67674e-35, 1.67674e-35, 5.19932e-09, 1.67674e-35, 1.67674e-35, 1.67674e-35
0.285157, 0, 7.22582e-09, 1.19339e-34, 1.41421, -7.22582e-09, 0, 1.19339e-34, 1.19339e-34, 1.19339e-34, 1.19339e-34, 1.19339e-34, 1.19339e-34, 1.19339e-34, 1.19339e-34, 1.19339e-34, 7.28639e-11, 1.19339e-34, 1.19339e-34, 2.07333e-10, 1.19339e-34, 1.19339e-34, 6.94563e-09, 1.19339e-34, 1.19339e-34, 1.19339e-34
0.293008, 0, 9.64039e-09, 7.88099e-34, 1.41421, -9.64039e-09, 0, 7.88099e-34, 7.88099e-34, 7.88099e-34, 7.88099e-34, 7.88099e-34, 7.88099e-34, 7.88099e-34, 7.88099e-34, 7.88099e-34, 9.71559e-11, 7.88099e-34, 7.88099e-34, 3.00639e-10, 7.88099e-34, 7.88099e-34, 9.2426e-09, 7.88099e-34, 7.88099e-34, 7.88099e-34
0.30086, 0, 1.2817e-08, 5.20863e-33, 1.41421, -1.2817e-08, 0, 5.20863e-33, 5.20863e-33, 5.20863e-33, 5.20863e-33, 5.20863e-33, 5.20863e-33, 5.20863e-33, 5.20863e-33, 5.20863e-33, 1.2908e-10, 5.20863e-33, 5.20863e-33, 4.36057e-10, 5.20863e-33, 5.20863e-33, 1.22518e-08, 5.20863e-33, 5.20863e-33, 5.20863e-33
0.308712, 0, 1.69822e-08, 3.26513e-32, 1.41421, -1.69822e-08, 0, 3.26513e-32, 3.26513e-32, 3.26513e-32, 3.26513e-32, 3.26513e-32, 3.26513e-32, 3.26513e-32, 3.26513e-32, 3.26513e-32, 1.70884e-10, 3.26513e-32, 3.26513e-32, 6.32567e-10, 3.26513e-32, 3.26513e-32, 1.61787e-08, 3.26513e-32, 3.26513e-32, 3.26513e-32
0.316563, 0, 2.24258e-08, 1.90883e-31, 1.41421, -2.24258e-08, 0, 1.90883e-31, 1.90883e-31, 1.90883e-31, 1.90883e-31, 1.90883e-31, 1.90883e-31, 1.90883e-31, 1.90883e-31, 1.90883e-31, 2.25431e-10, 1.90883e-31, 1.90883e-31, 9.17618e-10, 1.90883e-31, 1.90883e-31, 2.12827e-08, 1.90883e-31, 1.90883e-31, 1.90883e-31
0.324415, 0, 2.95182e-08, 1.04401e-30, 1.41421, -2.95182e-08, 0, 1.04401e-30, 1.04401e-30, 1.04401e-30, 1.04401e-30, 1.04401e-30, 1.04401e-30, 1.04401e-30, 1.04401e-30, 1.04401e-30, 2.96359e-10, 1.04401e-30, 1.04401e-30, 1.33083e-09, 1.04401e-30, 1.04401e-30, 2.7891e-08, 1.04401e-30, 1.04401e-30, 1.04401e-30
