   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00468301, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00318382, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0110507, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0189175, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0267843, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0346512, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.042518, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0503848, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0582517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0661185, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0739853, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0818522, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.089719, 0, 8.59809e-30, 0, 1.41421, -8.59809e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79968e-32, 0, 0, 7.04821e-35, 1.23558e-35, 0, 8.54001e-30, 0, 0, 0
0.0975858, 0, 8.99632e-29, 0, 1.41421, -8.99632e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06811e-31, 0, 0, 7.37443e-34, 2.90128e-33, 0, 8.93527e-29, 0, 0, 0
0.105453, 0, 5.92034e-28, 0, 1.41421, -5.92034e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99326e-30, 0, 0, 4.85292e-33, 2.918e-32, 0, 5.88006e-28, 0, 0, 0
0.113319, 0, 3.12007e-27, 0, 1.41421, -3.12007e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10446e-29, 0, 0, 2.56221e-32, 1.88459e-31, 0, 3.09881e-27, 0, 0, 0
0.121186, 0, 1.4347e-26, 0, 1.41421, -1.4347e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67683e-29, 0, 0, 1.18306e-31, 9.81849e-31, 0, 1.42491e-26, 0, 0, 0
0.129053, 0, 5.99785e-26, 0, 1.41421, -5.99785e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04544e-28, 0, 0, 4.97418e-31, 4.47862e-30, 0, 5.95689e-26, 0, 0, 0
0.13692, 0, 2.33285e-25, 0, 1.41421, -2.33285e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57346e-27, 0, 0, 1.94763e-30, 1.8608e-29, 0, 2.31691e-25, 0, 0, 0
0.144787, 0, 8.56357e-25, 0, 1.41421, -8.56357e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77592e-27, 0, 0, 7.20133e-30, 7.20244e-29, 0, 8.50502e-25, 0, 0, 0
0.152654, 0, 2.99543e-24, 0, 1.41421, -2.99543e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02034e-26, 0, 0, 2.53815e-29, 2.63348e-28, 0, 2.97494e-24, 0, 0, 0
0.16052, 0, 1.00517e-23, 0, 1.41421, -1.00517e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77957e-26, 0, 0, 8.5846e-29, 9.18123e-28, 0, 9.98289e-24, 0, 0, 0
0.168387, 0, 3.25213e-23, 0, 1.41421, -3.25213e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19346e-25, 0, 0, 2.80013e-28, 3.07229e-27, 0, 3.22986e-23, 0, 0, 0
0.176254, 0, 1.01838e-22, 0, 1.41421, -1.01838e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86864e-25, 0, 0, 8.84201e-28, 9.91614e-27, 0, 1.0114e-22, 0, 0, 0
0.184121, 0, 3.09583e-22, 0, 1.41421, -3.09583e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08803e-24, 0, 0, 2.71113e-27, 3.09869e-26, 0, 3.07462e-22, 0, 0, 0
0.191988, 0, 9.15859e-22, 0, 1.41421, -9.15859e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17713e-24, 0, 0, 8.09167e-27, 9.40292e-26, 0, 9.09579e-22, 0, 0, 0
0.199855, 0, 2.64202e-21, 0, 1.41421, -2.64202e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78194e-23, 0, 0, 2.35554e-26, 2.77743e-25, 0, 2.6239e-21, 0, 0, 0
0.207722, 0, 7.44433e-21, 0, 1.41421, -7.44433e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.02089e-23, 0, 0, 6.69943e-26, 8.00166e-25, 0, 7.39325e-21, 0, 0, 0
0.215588, 0, 2.05168e-20, 0, 1.41421, -2.05168e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38377e-22, 0, 0, 1.86422e-25, 2.25213e-24, 0, 2.0376e-20, 0, 0, 0
0.223455, 0, 5.53745e-20, 0, 1.41421, -5.53745e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73477e-22, 0, 0, 5.08156e-25, 6.20145e-24, 0, 5.49943e-20, 0, 0, 0
0.231322, 0, 1.46513e-19, 0, 1.41421, -1.46513e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.88165e-22, 0, 0, 1.35829e-24, 1.67262e-23, 0, 1.45507e-19, 0, 0, 0
0.239189, 0, 3.80362e-19, 0, 1.41421, -3.80362e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56536e-21, 0, 0, 3.56349e-24, 4.42341e-23, 0, 3.77749e-19, 0, 0, 0
