   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_122.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00443939, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00342818, 0, 2.51058e-20, 0, 1.41421, -2.51058e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66604e-22, 0, 0, 5.30505e-25, 4.55601e-22, 0, 2.44831e-20, 0, 0
0.0112958, 0, 5.30985e-20, 0, 1.41421, -5.30985e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52258e-22, 0, 0, 1.14216e-24, 9.79549e-22, 0, 5.17655e-20, 0, 0
0.0191633, 0, 1.10961e-19, 0, 1.41421, -1.10961e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35895e-22, 0, 0, 2.42947e-24, 2.08053e-21, 0, 1.08142e-19, 0, 0
0.0270309, 0, 2.29213e-19, 0, 1.41421, -2.29213e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51967e-21, 0, 0, 5.10803e-24, 4.36777e-21, 0, 2.23321e-19, 0, 0
0.0348985, 0, 4.68241e-19, 0, 1.41421, -4.68241e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10343e-21, 0, 0, 1.06204e-23, 9.06761e-21, 0, 4.5606e-19, 0, 0
0.0427661, 0, 9.46278e-19, 0, 1.41421, -9.46278e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26977e-21, 0, 0, 2.18448e-23, 1.86233e-20, 0, 9.21363e-19, 0, 0
0.0506337, 0, 1.89251e-18, 0, 1.41421, -1.89251e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25351e-20, 0, 0, 4.44664e-23, 3.78554e-20, 0, 1.84207e-18, 0, 0
0.0585012, 0, 3.74676e-18, 0, 1.41421, -3.74676e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48084e-20, 0, 0, 8.96048e-23, 7.61833e-20, 0, 3.64568e-18, 0, 0
0.0663688, 0, 7.34518e-18, 0, 1.41421, -7.34518e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86177e-20, 0, 0, 1.78807e-22, 1.51845e-19, 0, 7.14453e-18, 0, 0
