   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_382.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00890068, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00103362, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00683344, 0, 8.9921e-21, 0, 1.41421, -8.9921e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44685e-25, 1.42603e-21, 0, 7.56582e-21, 0, 0, 0
0.0147005, 0, 1.96703e-20, 0, 1.41421, -1.96703e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40948e-25, 3.16922e-21, 0, 1.65005e-20, 0, 0, 0
0.0225676, 0, 4.24604e-20, 0, 1.41421, -4.24604e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18031e-24, 6.94759e-21, 0, 3.55116e-20, 0, 0, 0
0.0304346, 0, 9.04992e-20, 0, 1.41421, -9.04992e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54326e-24, 1.50341e-20, 0, 7.54625e-20, 0, 0, 0
0.0383017, 0, 1.9056e-19, 0, 1.41421, -1.9056e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41482e-24, 3.2133e-20, 0, 1.58422e-19, 0, 0, 0
0.0461687, 0, 3.96608e-19, 0, 1.41421, -3.96608e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13969e-23, 6.78733e-20, 0, 3.28724e-19, 0, 0, 0
0.0540358, 0, 8.16243e-19, 0, 1.41421, -8.16243e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37242e-23, 1.41753e-19, 0, 6.74467e-19, 0, 0, 0
0.0619029, 0, 1.6618e-18, 0, 1.41421, -1.6618e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88615e-23, 2.92851e-19, 0, 1.3689e-18, 0, 0, 0
0.0697699, 0, 3.34807e-18, 0, 1.41421, -3.34807e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.96018e-23, 5.98707e-19, 0, 2.74926e-18, 0, 0, 0
0.077637, 0, 6.67734e-18, 0, 1.41421, -6.67734e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01016e-22, 1.2117e-18, 0, 5.46544e-18, 0, 0, 0
0.085504, 0, 1.31866e-17, 0, 1.41421, -1.31866e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01777e-22, 2.42844e-18, 0, 1.07577e-17, 0, 0, 0
0.0933711, 0, 2.57926e-17, 0, 1.41421, -2.57926e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.95506e-22, 4.8211e-18, 0, 2.09708e-17, 0, 0, 0
0.101238, 0, 4.99802e-17, 0, 1.41421, -4.99802e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56066e-21, 9.48351e-18, 0, 4.04951e-17, 0, 0, 0
0.109105, 0, 9.59693e-17, 0, 1.41421, -9.59693e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03441e-21, 1.84886e-17, 0, 7.74777e-17, 0, 0, 0
0.116972, 0, 1.82636e-16, 0, 1.41421, -1.82636e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84824e-21, 3.57318e-17, 0, 1.46898e-16, 0, 0, 0
0.124839, 0, 3.4454e-16, 0, 1.41421, -3.4454e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11749e-20, 6.84718e-17, 0, 2.76057e-16, 0, 0, 0
0.132706, 0, 6.44413e-16, 0, 1.41421, -6.44413e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11737e-20, 1.30125e-16, 0, 5.14267e-16, 0, 0, 0
0.140573, 0, 1.19516e-15, 0, 1.41421, -1.19516e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97878e-20, 2.45292e-16, 0, 9.4983e-16, 0, 0, 0
0.148441, 0, 2.19832e-15, 0, 1.41421, -2.19832e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41596e-20, 4.58727e-16, 0, 1.73952e-15, 0, 0, 0
0.156308, 0, 4.01065e-15, 0, 1.41421, -4.01065e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37121e-19, 8.51228e-16, 0, 3.15928e-15, 0, 0, 0
0.164175, 0, 7.25857e-15, 0, 1.41421, -7.25857e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51542e-19, 1.56755e-15, 0, 5.69077e-15, 0, 0, 0
0.172042, 0, 1.30333e-14, 0, 1.41421, -1.30333e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57865e-19, 2.86517e-15, 0, 1.01676e-14, 0, 0, 0
0.179909, 0, 2.32203e-14, 0, 1.41421, -2.32203e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27073e-19, 5.19861e-15, 0, 1.80209e-14, 0, 0, 0
0.187776, 0, 4.10527e-14, 0, 1.41421, -4.10527e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48279e-18, 9.3647e-15, 0, 3.16865e-14, 0, 0, 0
0.195643, 0, 7.20308e-14, 0, 1.41421, -7.20308e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6387e-18, 1.67503e-14, 0, 5.52778e-14, 0, 0, 0
0.20351, 0, 1.25441e-13, 0, 1.41421, -1.25441e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6615e-18, 2.97529e-14, 0, 9.56832e-14, 0, 0, 0
0.211377, 0, 2.16842e-13, 0, 1.41421, -2.16842e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17581e-18, 5.24881e-14, 0, 1.64345e-13, 0, 0, 0
0.219244, 0, 3.7211e-13, 0, 1.41421, -3.7211e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42384e-17, 9.19757e-14, 0, 2.8012e-13, 0, 0, 0
0.227111, 0, 6.33963e-13, 0, 1.41421, -6.33963e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46244e-17, 1.6011e-13, 0, 4.73828e-13, 0, 0, 0
0.234978, 0, 1.07403e-12, 0, 1.41421, -1.07403e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.23954e-17, 2.77711e-13, 0, 7.96277e-13, 0, 0, 0
0.242845, 0, 1.80383e-12, 0, 1.41421, -1.80383e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23249e-17, 4.7721e-13, 0, 1.32655e-12, 0, 0, 0
0.250712, 0, 3.00868e-12, 0, 1.41421, -3.00868e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22588e-16, 8.14988e-13, 0, 2.19357e-12, 0, 0, 0
0.258579, 0, 4.98416e-12, 0, 1.41421, -4.98416e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06476e-16, 1.38348e-12, 0, 3.60047e-12, 0, 0, 0
0.266446, 0, 8.20151e-12, 0, 1.41421, -8.20151e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45653e-16, 2.33478e-12, 0, 5.86639e-12, 0, 0, 0
0.274313, 0, 1.34069e-11, 0, 1.41421, -1.34069e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75251e-16, 3.91778e-12, 0, 9.48856e-12, 0, 0, 0
0.282181, 0, 2.17746e-11, 0, 1.41421, -2.17746e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.51982e-16, 6.53781e-12, 0, 1.52358e-11, 0, 0, 0
0.290048, 0, 3.51409e-11, 0, 1.41421, -3.51409e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56702e-15, 1.08519e-11, 0, 2.42875e-11, 0, 0, 0
0.297915, 0, 5.63617e-11, 5.88545e-44, 1.41421, -5.63617e-11, 5.88545e-44, 0, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 2.56646e-15, 1.79207e-11, 5.88545e-44, 3.84384e-11, 5.88545e-44, 5.88545e-44, 5.88545e-44
0.305782, 0, 8.98531e-11, 1.06639e-42, 1.41421, -8.98531e-11, 1.06639e-42, 0, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 1.06639e-42, 4.18364e-15, 2.94498e-11, 1.06639e-42, 6.03991e-11, 1.06639e-42, 1.06639e-42, 1.06639e-42
