   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_133.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00229704, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00556489, 0, 9.61958e-19, 0, 1.41421, -9.61958e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13244e-21, 0, 0, 2.30718e-23, 1.81828e-22, 0, 9.57621e-19, 0, 0
0.0134268, 0, 1.85612e-18, 0, 1.41421, -1.85612e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97361e-21, 0, 0, 4.51338e-23, 3.57039e-22, 0, 1.84774e-18, 0, 0
0.0212888, 0, 3.54985e-18, 0, 1.41421, -3.54985e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52496e-20, 0, 0, 8.75303e-23, 6.9504e-22, 0, 3.53382e-18, 0, 0
0.0291507, 0, 6.73081e-18, 0, 1.41421, -6.73081e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89143e-20, 0, 0, 1.68328e-22, 1.34171e-21, 0, 6.70038e-18, 0, 0
0.0370126, 0, 1.26553e-17, 0, 1.41421, -1.26553e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43645e-20, 0, 0, 3.21063e-22, 2.56906e-21, 0, 1.2598e-17, 0, 0
0.0448745, 0, 2.35996e-17, 0, 1.41421, -2.35996e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01379e-19, 0, 0, 6.07502e-22, 4.88036e-21, 0, 2.34927e-17, 0, 0
0.0527365, 0, 4.36561e-17, 0, 1.41421, -4.36561e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87536e-19, 0, 0, 1.14054e-21, 9.19999e-21, 0, 4.34582e-17, 0, 0
0.0605984, 0, 8.01238e-17, 0, 1.41421, -8.01238e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44191e-19, 0, 0, 2.12497e-21, 1.72133e-20, 0, 7.97602e-17, 0, 0
0.0684604, 0, 1.45922e-16, 0, 1.41421, -1.45922e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26841e-19, 0, 0, 3.92956e-21, 3.19716e-20, 0, 1.45259e-16, 0, 0
0.0763223, 0, 2.63743e-16, 0, 1.41421, -2.63743e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13296e-18, 0, 0, 7.21349e-21, 5.89603e-20, 0, 2.62543e-16, 0, 0
0.0841842, 0, 4.73146e-16, 0, 1.41421, -4.73146e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03248e-18, 0, 0, 1.31467e-20, 1.07974e-19, 0, 4.70992e-16, 0, 0
0.0920461, 0, 8.42585e-16, 0, 1.41421, -8.42585e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61945e-18, 0, 0, 2.37908e-20, 1.96387e-19, 0, 8.38745e-16, 0, 0
0.0999081, 0, 1.48966e-15, 0, 1.41421, -1.48966e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39903e-18, 0, 0, 4.27542e-20, 3.54812e-19, 0, 1.48286e-15, 0, 0
0.10777, 0, 2.61489e-15, 0, 1.41421, -2.61489e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12325e-17, 0, 0, 7.63076e-20, 6.36844e-19, 0, 2.60294e-15, 0, 0
0.115632, 0, 4.5578e-15, 0, 1.41421, -4.5578e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95784e-17, 0, 0, 1.35277e-19, 1.13573e-18, 0, 4.53695e-15, 0, 0
0.123494, 0, 7.88907e-15, 0, 1.41421, -7.88907e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38879e-17, 0, 0, 2.38222e-19, 2.01266e-18, 0, 7.85293e-15, 0, 0
0.131356, 0, 1.35613e-14, 0, 1.41421, -1.35613e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82529e-17, 0, 0, 4.16759e-19, 3.54464e-18, 0, 1.34991e-14, 0, 0
0.139218, 0, 2.31533e-14, 0, 1.41421, -2.31533e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.94546e-17, 0, 0, 7.24411e-19, 6.20479e-18, 0, 2.30469e-14, 0, 0
0.14708, 0, 3.92633e-14, 0, 1.41421, -3.92633e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68654e-16, 0, 0, 1.25117e-18, 1.07964e-17, 0, 3.90826e-14, 0, 0
0.154942, 0, 6.61379e-14, 0, 1.41421, -6.61379e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84092e-16, 0, 0, 2.14738e-18, 1.86752e-17, 0, 6.5833e-14, 0, 0
0.162804, 0, 1.1067e-13, 0, 1.41421, -1.1067e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75375e-16, 0, 0, 3.66274e-18, 3.21166e-17, 0, 1.10158e-13, 0, 0
0.170665, 0, 1.83968e-13, 0, 1.41421, -1.83968e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90225e-16, 0, 0, 6.20928e-18, 5.4917e-17, 0, 1.83117e-13, 0, 0
0.178527, 0, 3.0382e-13, 0, 1.41421, -3.0382e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30504e-15, 0, 0, 1.04629e-17, 9.33761e-17, 0, 3.02411e-13, 0, 0
0.186389, 0, 4.98501e-13, 0, 1.41421, -4.98501e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1413e-15, 0, 0, 1.7526e-17, 1.579e-16, 0, 4.96184e-13, 0, 0
