   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_240.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.203497, 0, 5.86334e-15, 0, 1.41421, -5.86334e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74766e-17, 0, 0, 6.67964e-20, 1.60088e-18, 0, 5.84419e-15, 0, 0
0.211321, 0, 1.19799e-14, 0, 1.41421, -1.19799e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57077e-17, 0, 0, 1.39006e-19, 3.32791e-18, 0, 1.19407e-14, 0, 0
0.219146, 0, 2.41927e-14, 0, 1.41421, -2.41927e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21091e-17, 0, 0, 2.86013e-19, 6.84016e-18, 0, 2.41134e-14, 0, 0
0.22697, 0, 4.82979e-14, 0, 1.41421, -4.82979e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43956e-16, 0, 0, 5.81982e-19, 1.39046e-17, 0, 4.81395e-14, 0, 0
0.234794, 0, 9.5338e-14, 0, 1.41421, -9.5338e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84161e-16, 0, 0, 1.17136e-18, 2.79608e-17, 0, 9.50247e-14, 0, 0
0.242618, 0, 1.8611e-13, 0, 1.41421, -1.8611e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54708e-16, 0, 0, 2.33247e-18, 5.56347e-17, 0, 1.85498e-13, 0, 0
0.250443, 0, 3.59345e-13, 0, 1.41421, -3.59345e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07103e-15, 0, 0, 4.5961e-18, 1.09558e-16, 0, 3.5816e-13, 0, 0
0.258267, 0, 6.86365e-13, 0, 1.41421, -6.86365e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04569e-15, 0, 0, 8.96371e-18, 2.1357e-16, 0, 6.84096e-13, 0, 0
0.266091, 0, 1.29706e-12, 0, 1.41421, -1.29706e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86582e-15, 0, 0, 1.7306e-17, 4.12213e-16, 0, 1.29277e-12, 0, 0
0.273915, 0, 2.4254e-12, 0, 1.41421, -2.4254e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.22869e-15, 0, 0, 3.30825e-17, 7.87908e-16, 0, 2.41735e-12, 0, 0
0.28174, 0, 4.48821e-12, 0, 1.41421, -4.48821e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33766e-14, 0, 0, 6.26295e-17, 1.49171e-15, 0, 4.47328e-12, 0, 0
0.289564, 0, 8.22015e-12, 0, 1.41421, -8.22015e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44992e-14, 0, 0, 1.17444e-16, 2.79792e-15, 0, 8.19273e-12, 0, 0
0.297388, 0, 1.49021e-11, 0, 1.41421, -1.49021e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44143e-14, 0, 0, 2.18198e-16, 5.20046e-15, 0, 1.48523e-11, 0, 0
0.305212, 0, 2.67437e-11, 0, 1.41421, -2.67437e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97078e-14, 0, 0, 4.01743e-16, 9.58031e-15, 0, 2.6654e-11, 0, 0
0.313037, 0, 4.75156e-11, 0, 1.41421, -4.75156e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41621e-13, 0, 0, 7.33231e-16, 1.74961e-14, 0, 4.73558e-11, 0, 0
0.320861, 0, 8.35856e-11, 0, 1.41421, -8.35856e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49139e-13, 0, 0, 1.32697e-15, 3.16832e-14, 0, 8.33035e-11, 0, 0
0.328685, 0, 1.45594e-10, 0, 1.41421, -1.45594e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33992e-13, 0, 0, 2.38214e-15, 5.69056e-14, 0, 1.45101e-10, 0, 0
0.336509, 0, 2.51132e-10, 0, 1.41421, -2.51132e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48659e-13, 0, 0, 4.24347e-15, 1.014e-13, 0, 2.50278e-10, 0, 0
0.344334, 0, 4.28989e-10, 2.50412e-42, 1.41421, -4.28989e-10, 2.50412e-42, 0, 2.50412e-42, 2.50412e-42, 2.50412e-42, 2.50412e-42, 2.50412e-42, 2.50412e-42, 2.50412e-42, 2.50412e-42, 1.27905e-12, 2.50412e-42, 2.50412e-42, 7.50438e-15, 1.79315e-13, 2.50412e-42, 4.27523e-10, 2.50412e-42, 2.50412e-42
0.352158, 0, 7.25778e-10, 4.2947e-41, 1.41421, -7.25778e-10, 4.2947e-41, 0, 4.2947e-41, 4.2947e-41, 4.2947e-41, 4.2947e-41, 4.2947e-41, 4.2947e-41, 4.2947e-41, 4.2947e-41, 2.16435e-12, 4.2947e-41, 4.2947e-41, 1.31814e-14, 3.14806e-13, 4.2947e-41, 7.23285e-10, 4.2947e-41, 4.2947e-41
0.359982, 0, 1.2162e-09, 6.06389e-40, 1.41421, -1.2162e-09, 6.06389e-40, 0, 6.06389e-40, 6.06389e-40, 6.06389e-40, 6.06389e-40, 6.06389e-40, 6.06389e-40, 6.06389e-40, 6.06389e-40, 3.62778e-12, 6.06389e-40, 6.06389e-40, 2.30088e-14, 5.48891e-13, 6.06389e-40, 1.212e-09, 6.06389e-40, 6.06389e-40
0.367806, 0, 2.01876e-09, 7.57279e-39, 1.41421, -2.01876e-09, 7.57279e-39, 0, 7.57279e-39, 7.57279e-39, 7.57279e-39, 7.57279e-39, 7.57279e-39, 7.57279e-39, 7.57279e-39, 7.57279e-39, 6.02375e-12, 7.57279e-39, 7.57279e-39, 3.99366e-14, 9.50911e-13, 7.57279e-39, 2.01174e-09, 7.57279e-39, 7.57279e-39
0.375631, 0, 3.31947e-09, 8.50186e-38, 1.41421, -3.31947e-09, 8.50186e-38, 0, 8.50186e-38, 8.50186e-38, 8.50186e-38, 8.50186e-38, 8.50186e-38, 8.50186e-38, 8.50186e-38, 8.50186e-38, 9.90933e-12, 8.50186e-38, 8.50186e-38, 6.89712e-14, 1.63764e-12, 8.50186e-38, 3.30786e-09, 8.50186e-38, 8.50186e-38
0.383455, 0, 5.40815e-09, 3.05675e-36, 1.41421, -5.40815e-09, 3.05675e-36, 0, 3.05675e-36, 3.05675e-36, 3.05675e-36, 3.05675e-36, 3.05675e-36, 3.05675e-36, 3.05675e-36, 3.05675e-36, 1.61541e-11, 3.05675e-36, 3.05675e-36, 1.18818e-13, 2.8097e-12, 3.05675e-36, 5.38907e-09, 3.05675e-36, 3.05675e-36
0.391279, 0, 8.72834e-09, 2.59379e-35, 1.41421, -8.72834e-09, 2.59379e-35, 0, 2.59379e-35, 2.59379e-35, 2.59379e-35, 2.59379e-35, 2.59379e-35, 2.59379e-35, 2.59379e-35, 2.59379e-35, 2.60905e-11, 2.59379e-35, 2.59379e-35, 2.0356e-13, 4.78994e-12, 2.59379e-35, 8.69726e-09, 2.59379e-35, 2.59379e-35
0.399103, 0, 1.39578e-08, 2.02336e-34, 1.41421, -1.39578e-08, 2.02336e-34, 0, 2.02336e-34, 2.02336e-34, 2.02336e-34, 2.02336e-34, 2.02336e-34, 2.02336e-34, 2.02336e-34, 2.02336e-34, 4.17605e-11, 2.02336e-34, 2.02336e-34, 3.47692e-13, 8.13177e-12, 2.02336e-34, 1.39075e-08, 2.02336e-34, 2.02336e-34
0.406928, 0, 2.21175e-08, 1.45764e-33, 1.41421, -2.21175e-08, 1.45764e-33, 0, 1.45764e-33, 1.45764e-33, 1.45764e-33, 1.45764e-33, 1.45764e-33, 1.45764e-33, 1.45764e-33, 1.45764e-33, 6.62496e-11, 1.45764e-33, 1.45764e-33, 5.92464e-13, 1.37565e-11, 1.45764e-33, 2.20369e-08, 1.45764e-33, 1.45764e-33
0.414752, 0, 3.47313e-08, 1.01271e-32, 1.41421, -3.47313e-08, 1.01271e-32, 0, 1.01271e-32, 1.01271e-32, 1.01271e-32, 1.01271e-32, 1.01271e-32, 1.01271e-32, 1.01271e-32, 1.01271e-32, 1.0418e-10, 1.01271e-32, 1.01271e-32, 1.00772e-12, 2.32049e-11, 1.01271e-32, 3.46029e-08, 1.01271e-32, 1.01271e-32
0.422576, 0, 5.40516e-08, 6.82318e-32, 1.41421, -5.40516e-08, 6.82318e-32, 0, 6.82318e-32, 6.82318e-32, 6.82318e-32, 6.82318e-32, 6.82318e-32, 6.82318e-32, 6.82318e-32, 6.82318e-32, 1.62418e-10, 6.82318e-32, 6.82318e-32, 1.71169e-12, 3.90551e-11, 6.82318e-32, 5.38485e-08, 6.82318e-32, 6.82318e-32
0.4304, 0, 8.33747e-08, 4.34179e-31, 1.41421, -8.33747e-08, 4.34179e-31, 0, 4.34179e-31, 4.34179e-31, 4.34179e-31, 4.34179e-31, 4.34179e-31, 4.34179e-31, 4.34179e-31, 4.34179e-31, 2.51064e-10, 4.34179e-31, 4.34179e-31, 2.90442e-12, 6.56226e-11, 4.34179e-31, 8.30551e-08, 4.34179e-31, 4.34179e-31
0.438225, 0, 1.27478e-07, 2.58653e-30, 1.41421, -1.27478e-07, 2.58653e-30, 0, 2.58653e-30, 2.58653e-30, 2.58653e-30, 2.58653e-30, 2.58653e-30, 2.58653e-30, 2.58653e-30, 2.58653e-30, 3.84862e-10, 2.58653e-30, 2.58653e-30, 4.92398e-12, 1.10133e-10, 2.58653e-30, 1.26978e-07, 2.58653e-30, 2.58653e-30
0.446049, 0, 1.93218e-07, 1.44451e-29, 1.41421, -1.93218e-07, 1.44451e-29, 0, 1.44451e-29, 1.44451e-29, 1.44451e-29, 1.44451e-29, 1.44451e-29, 1.44451e-29, 1.44451e-29, 1.44451e-29, 5.85148e-10, 1.44451e-29, 1.44451e-29, 8.34052e-12, 1.84684e-10, 1.44451e-29, 1.9244e-07, 1.44451e-29, 1.44451e-29
0.453873, 0, 2.90347e-07, 7.57729e-29, 1.41421, -2.90347e-07, 7.57729e-29, 0, 7.57729e-29, 7.57729e-29, 7.57729e-29, 7.57729e-29, 7.57729e-29, 7.57729e-29, 7.57729e-29, 7.57729e-29, 8.82553e-10, 7.57729e-29, 7.57729e-29, 1.41129e-11, 3.09514e-10, 7.57729e-29, 2.89141e-07, 7.57729e-29, 7.57729e-29
0.461697, 0, 4.32596e-07, 3.74371e-28, 1.41421, -4.32596e-07, 3.74371e-28, 0, 3.74371e-28, 3.74371e-28, 3.74371e-28, 3.74371e-28, 3.74371e-28, 3.74371e-28, 3.74371e-28, 3.74371e-28, 1.32071e-09, 3.74371e-28, 3.74371e-28, 2.38474e-11, 5.18415e-10, 3.74371e-28, 4.30733e-07, 3.74371e-28, 3.74371e-28
0.469522, 0, 6.39131e-07, 1.748e-27, 1.41421, -6.39131e-07, 1.748e-27, 0, 1.748e-27, 1.748e-27, 1.748e-27, 1.748e-27, 1.748e-27, 1.748e-27, 1.748e-27, 1.748e-27, 1.96133e-09, 1.748e-27, 1.748e-27, 4.02225e-11, 8.67669e-10, 1.748e-27, 6.36262e-07, 1.748e-27, 1.748e-27
0.477346, 0, 9.36454e-07, 7.73463e-27, 1.41421, -9.36454e-07, 7.73463e-27, 0, 7.73463e-27, 7.73463e-27, 7.73463e-27, 7.73463e-27, 7.73463e-27, 7.73463e-27, 7.73463e-27, 7.73463e-27, 2.89102e-09, 7.73463e-27, 7.73463e-27, 6.76798e-11, 1.45063e-09, 7.73463e-27, 9.32045e-07, 7.73463e-27, 7.73463e-27
0.48517, 0, 1.36088e-06, 3.25221e-26, 1.41421, -1.36088e-06, 3.25221e-26, 0, 3.25221e-26, 3.25221e-26, 3.25221e-26, 3.25221e-26, 3.25221e-26, 3.25221e-26, 3.25221e-26, 3.25221e-26, 4.23057e-09, 3.25221e-26, 3.25221e-26, 1.13537e-10, 2.42135e-09, 3.25221e-26, 1.35412e-06, 3.25221e-26, 3.25221e-26
0.492994, 0, 1.96174e-06, 1.30289e-25, 1.41421, -1.96174e-06, 1.30289e-25, 0, 1.30289e-25, 1.30289e-25, 1.30289e-25, 1.30289e-25, 1.30289e-25, 1.30289e-25, 1.30289e-25, 1.30289e-25, 6.14724e-09, 1.30289e-25, 1.30289e-25, 1.89765e-10, 4.03244e-09, 1.30289e-25, 1.95137e-06, 1.30289e-25, 1.30289e-25
0.500819, 0, 2.80544e-06, 4.98582e-25, 1.41421, -2.80544e-06, 4.98582e-25, 0, 4.98582e-25, 4.98582e-25, 4.98582e-25, 4.98582e-25, 3.08968e-12, 4.98582e-25, 4.98582e-25, 4.98582e-25, 8.87114e-09, 4.98582e-25, 4.98582e-25, 3.15798e-10, 6.69508e-09, 4.98582e-25, 2.78956e-06, 4.98582e-25, 4.98582e-25
0.508643, 0, 3.98065e-06, 1.8268e-24, 1.41421, -3.98065e-06, 1.8268e-24, 0, 1.8268e-24, 1.8268e-24, 1.8268e-24, 1.8268e-24, 1.11133e-11, 1.8268e-24, 1.8268e-24, 1.8268e-24, 1.27168e-08, 1.8268e-24, 1.8268e-24, 5.22923e-10, 1.10727e-08, 1.8268e-24, 3.95632e-06, 1.8268e-24, 1.8268e-24
0.516467, 0, 5.60473e-06, 6.47417e-24, 1.41421, -5.60473e-06, 6.47417e-24, 0, 6.47417e-24, 6.47417e-24, 6.47417e-24, 6.47417e-24, 3.11387e-11, 6.47417e-24, 6.47417e-24, 6.47417e-24, 1.81117e-08, 6.47417e-24, 6.47417e-24, 8.61085e-10, 1.82262e-08, 6.47417e-24, 5.5675e-06, 6.47417e-24, 6.47417e-24
0.524292, 0, 7.85403e-06, 1.94439e-08, 1.41421, -7.85403e-06, 1.96136e-08, 1.94439e-08, 1.94441e-08, 1.94446e-08, 1.94457e-08, 1.94455e-08, 1.96723e-08, 1.95123e-08, 1.94525e-08, 1.97023e-08, 4.50769e-08, 1.94534e-08, 1.94443e-08, 2.08531e-08, 4.9277e-08, 1.94439e-08, 7.79543e-06, 1.94439e-08, 2.0425e-08
0.532116, 0, 1.0942e-05, 6.92471e-08, 1.41421, -1.0942e-05, 6.98533e-08, 6.92471e-08, 6.92478e-08, 6.92495e-08, 6.92537e-08, 6.92528e-08, 6.99718e-08, 6.94915e-08, 6.92777e-08, 7.01697e-08, 1.05302e-07, 6.92811e-08, 6.92486e-08, 7.15387e-08, 1.17767e-07, 6.92471e-08, 1.0849e-05, 6.92471e-08, 7.27504e-08
0.53994, 0, 1.51799e-05, 1.92272e-07, 1.41421, -1.51799e-05, 1.93959e-07, 1.92272e-07, 1.92274e-07, 1.92279e-07, 1.9229e-07, 1.92288e-07, 1.94203e-07, 1.92952e-07, 1.92357e-07, 1.94839e-07, 2.42679e-07, 1.92366e-07, 1.92276e-07, 1.95972e-07, 2.70615e-07, 1.92272e-07, 1.50306e-05, 1.92272e-07, 2.0202e-07
0.547764, 0, 2.10152e-05, 4.87077e-07, 1.41421, -2.10152e-05, 4.91356e-07, 4.87077e-07, 4.87082e-07, 4.87094e-07, 4.87124e-07, 4.87117e-07, 4.91853e-07, 4.88803e-07, 4.87293e-07, 4.93589e-07, 5.57133e-07, 4.87317e-07, 4.87087e-07, 4.93008e-07, 6.1258e-07, 4.87078e-07, 2.07712e-05, 4.87077e-07, 5.11804e-07
0.555588, 0, 2.91298e-05, 1.17314e-06, 1.41421, -2.91298e-05, 1.18346e-06, 1.17314e-06, 1.17315e-06, 1.17318e-06, 1.17325e-06, 1.17324e-06, 1.18444e-06, 1.1773e-06, 1.17366e-06, 1.18884e-06, 1.26994e-06, 1.17372e-06, 1.17317e-06, 1.18258e-06, 1.37248e-06, 1.17314e-06, 2.87218e-05, 1.17314e-06, 1.23275e-06
0.563413, 0, 4.0621e-05, 2.72496e-06, 1.41421, -4.0621e-05, 2.74893e-06, 2.72496e-06, 2.72498e-06, 2.72505e-06, 2.72522e-06, 2.72518e-06, 2.75243e-06, 2.73462e-06, 2.72617e-06, 2.76144e-06, 2.85792e-06, 2.7263e-06, 2.72501e-06, 2.73985e-06, 3.03919e-06, 2.72496e-06, 3.99195e-05, 2.72496e-06, 2.8635e-06
0.571237, 0, 5.73407e-05, 6.13789e-06, 1.41421, -5.73407e-05, 6.19191e-06, 6.13789e-06, 6.13795e-06, 6.13811e-06, 6.13847e-06, 6.1384e-06, 6.20274e-06, 6.15967e-06, 6.14062e-06, 6.22012e-06, 6.3195e-06, 6.14092e-06, 6.13802e-06, 6.1612e-06, 6.62821e-06, 6.13789e-06, 5.61031e-05, 6.13789e-06, 6.45011e-06
