   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.257409, 0, 5.11192e-11, 0, 1.41421, -5.11192e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12361e-13, 0, 0, 1.46183e-15, 0, 0, 5.10053e-11, 0, 0
0.265266, 0, 7.71751e-11, 0, 1.41421, -7.71751e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69682e-13, 0, 0, 2.28247e-15, 0, 0, 7.70032e-11, 0, 0
0.273124, 0, 1.15859e-10, 9.80909e-45, 1.41421, -1.15859e-10, 9.80909e-45, 0, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 9.80909e-45, 2.54824e-13, 9.80909e-45, 9.80909e-45, 3.55206e-15, 9.80909e-45, 9.80909e-45, 1.15601e-10, 9.80909e-45, 9.80909e-45
0.280982, 0, 1.72962e-10, 1.96182e-43, 1.41421, -1.72962e-10, 1.96182e-43, 0, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 1.96182e-43, 3.80579e-13, 1.96182e-43, 1.96182e-43, 5.51132e-15, 1.96182e-43, 1.96182e-43, 1.72576e-10, 1.96182e-43, 1.96182e-43
0.28884, 0, 2.56771e-10, 2.81801e-42, 1.41421, -2.56771e-10, 2.81801e-42, 0, 2.81801e-42, 2.81801e-42, 2.81801e-42, 2.81801e-42, 2.81801e-42, 2.81801e-42, 2.81801e-42, 2.81801e-42, 2.81801e-42, 5.65276e-13, 2.81801e-42, 2.81801e-42, 8.52846e-15, 2.81801e-42, 2.81801e-42, 2.56198e-10, 2.81801e-42, 2.81801e-42
0.296698, 0, 3.79073e-10, 3.74707e-41, 1.41421, -3.79073e-10, 3.74707e-41, 0, 3.74707e-41, 3.74707e-41, 3.74707e-41, 3.74707e-41, 3.74707e-41, 3.74707e-41, 3.74707e-41, 3.74707e-41, 3.74707e-41, 8.35025e-13, 3.74707e-41, 3.74707e-41, 1.31666e-14, 3.74707e-41, 3.74707e-41, 3.78225e-10, 3.74707e-41, 3.74707e-41
0.304555, 0, 5.56528e-10, 4.47164e-40, 1.41421, -5.56528e-10, 4.47164e-40, 0, 4.47164e-40, 4.47164e-40, 4.47164e-40, 4.47164e-40, 4.47164e-40, 4.47164e-40, 4.47164e-40, 4.47164e-40, 4.47164e-40, 1.22681e-12, 4.47164e-40, 4.47164e-40, 2.02871e-14, 4.47164e-40, 4.47164e-40, 5.55281e-10, 4.47164e-40, 4.47164e-40
0.312413, 0, 8.12543e-10, 4.80898e-39, 1.41421, -8.12543e-10, 4.80898e-39, 0, 4.80898e-39, 4.80898e-39, 4.80898e-39, 4.80898e-39, 4.80898e-39, 4.80898e-39, 4.80898e-39, 4.80898e-39, 4.80898e-39, 1.79269e-12, 4.80898e-39, 4.80898e-39, 3.1208e-14, 4.80898e-39, 4.80898e-39, 8.10719e-10, 4.80898e-39, 4.80898e-39
0.320271, 0, 1.1798e-09, 4.68038e-38, 1.41421, -1.1798e-09, 4.68038e-38, 0, 4.68038e-38, 4.68038e-38, 4.68038e-38, 4.68038e-38, 4.68038e-38, 4.68038e-38, 4.68038e-38, 4.68038e-38, 4.68038e-38, 2.60557e-12, 4.68038e-38, 4.68038e-38, 4.79478e-14, 4.68038e-38, 4.68038e-38, 1.17715e-09, 4.68038e-38, 4.68038e-38
0.328129, 0, 1.70366e-09, 4.1438e-37, 1.41421, -1.70366e-09, 4.1438e-37, 0, 4.1438e-37, 4.1438e-37, 4.1438e-37, 4.1438e-37, 4.1438e-37, 4.1438e-37, 4.1438e-37, 4.1438e-37, 4.1438e-37, 3.76693e-12, 4.1438e-37, 4.1438e-37, 7.36e-14, 4.1438e-37, 4.1438e-37, 1.69981e-09, 4.1438e-37, 4.1438e-37
0.335987, 0, 2.44666e-09, 3.35497e-36, 1.41421, -2.44666e-09, 3.35497e-36, 0, 3.35497e-36, 3.35497e-36, 3.35497e-36, 3.35497e-36, 3.35497e-36, 3.35497e-36, 3.35497e-36, 3.35497e-36, 3.35497e-36, 5.41726e-12, 3.35497e-36, 3.35497e-36, 1.12911e-13, 3.35497e-36, 3.35497e-36, 2.44113e-09, 3.35497e-36, 3.35497e-36
0.343844, 0, 3.49458e-09, 2.49611e-35, 1.41421, -3.49458e-09, 2.49611e-35, 0, 2.49611e-35, 2.49611e-35, 2.49611e-35, 2.49611e-35, 2.49611e-35, 2.49611e-35, 2.49611e-35, 2.49611e-35, 2.49611e-35, 7.74995e-12, 2.49611e-35, 2.49611e-35, 1.73166e-13, 2.49611e-35, 2.49611e-35, 3.48665e-09, 2.49611e-35, 2.49611e-35
0.351702, 0, 4.96424e-09, 1.70986e-34, 1.41421, -4.96424e-09, 1.70986e-34, 0, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.70986e-34, 1.10298e-11, 1.70986e-34, 1.70986e-34, 2.65559e-13, 1.70986e-34, 1.70986e-34, 4.95294e-09, 1.70986e-34, 1.70986e-34
0.35956, 0, 7.0139e-09, 1.14765e-33, 1.41421, -7.0139e-09, 1.14765e-33, 0, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.14765e-33, 1.56176e-11, 1.14765e-33, 1.14765e-33, 4.07296e-13, 1.14765e-33, 1.14765e-33, 6.99787e-09, 1.14765e-33, 1.14765e-33
0.367418, 0, 9.85654e-09, 7.43582e-33, 1.41421, -9.85654e-09, 7.43582e-33, 0, 7.43582e-33, 7.43582e-33, 7.43582e-33, 7.43582e-33, 7.43582e-33, 7.43582e-33, 7.43582e-33, 7.43582e-33, 7.43582e-33, 2.20021e-11, 7.43582e-33, 7.43582e-33, 6.24815e-13, 7.43582e-33, 7.43582e-33, 9.83391e-09, 7.43582e-33, 7.43582e-33
0.375276, 0, 1.37772e-08, 4.52563e-32, 1.41421, -1.37772e-08, 4.52563e-32, 0, 4.52563e-32, 4.52563e-32, 4.52563e-32, 4.52563e-32, 4.52563e-32, 4.52563e-32, 4.52563e-32, 4.52563e-32, 4.52563e-32, 3.0842e-11, 4.52563e-32, 4.52563e-32, 9.5873e-13, 4.52563e-32, 4.52563e-32, 1.37454e-08, 4.52563e-32, 4.52563e-32
0.383133, 0, 1.91548e-08, 2.57428e-31, 1.41421, -1.91548e-08, 2.57428e-31, 0, 2.57428e-31, 2.57428e-31, 2.57428e-31, 2.57428e-31, 2.57428e-31, 2.57428e-31, 2.57428e-31, 2.57428e-31, 2.57428e-31, 4.30212e-11, 2.57428e-31, 2.57428e-31, 1.47137e-12, 2.57428e-31, 2.57428e-31, 1.91103e-08, 2.57428e-31, 2.57428e-31
0.390991, 0, 2.64907e-08, 1.37028e-30, 1.41421, -2.64907e-08, 1.37028e-30, 0, 1.37028e-30, 1.37028e-30, 1.37028e-30, 1.37028e-30, 1.37028e-30, 1.37028e-30, 1.37028e-30, 1.37028e-30, 1.37028e-30, 5.97198e-11, 1.37028e-30, 1.37028e-30, 2.25825e-12, 1.37028e-30, 1.37028e-30, 2.64288e-08, 1.37028e-30, 1.37028e-30
0.398849, 0, 3.64434e-08, 6.84429e-30, 1.41421, -3.64434e-08, 6.84429e-30, 0, 6.84429e-30, 6.84429e-30, 6.84429e-30, 6.84429e-30, 6.84429e-30, 6.84429e-30, 6.84429e-30, 6.84429e-30, 6.84429e-30, 8.2505e-11, 6.84429e-30, 6.84429e-30, 3.46542e-12, 6.84429e-30, 6.84429e-30, 3.63574e-08, 6.84429e-30, 6.84429e-30
0.406707, 0, 4.98733e-08, 3.21791e-29, 1.41421, -4.98733e-08, 3.21791e-29, 0, 3.21791e-29, 3.21791e-29, 3.21791e-29, 3.21791e-29, 3.21791e-29, 3.21791e-29, 3.21791e-29, 3.21791e-29, 3.21791e-29, 1.1345e-10, 3.21791e-29, 3.21791e-29, 5.31566e-12, 3.21791e-29, 3.21791e-29, 4.97545e-08, 3.21791e-29, 3.21791e-29
0.414565, 0, 6.78982e-08, 1.42861e-28, 1.41421, -6.78982e-08, 1.42861e-28, 0, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.42861e-28, 1.55285e-10, 1.42861e-28, 1.42861e-28, 8.14773e-12, 1.42861e-28, 1.42861e-28, 6.77348e-08, 1.42861e-28, 1.42861e-28
0.422422, 0, 9.19613e-08, 6.00687e-28, 1.41421, -9.19613e-08, 6.00687e-28, 0, 6.00687e-28, 6.00687e-28, 6.00687e-28, 6.00687e-28, 6.00687e-28, 6.00687e-28, 6.00687e-28, 6.00687e-28, 6.00687e-28, 2.11587e-10, 6.00687e-28, 6.00687e-28, 1.24749e-11, 6.00687e-28, 6.00687e-28, 9.17372e-08, 6.00687e-28, 6.00687e-28
0.43028, 0, 1.23915e-07, 2.39888e-27, 1.41421, -1.23915e-07, 2.39888e-27, 0, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.39888e-27, 2.87026e-10, 2.39888e-27, 2.39888e-27, 1.90714e-11, 2.39888e-27, 2.39888e-27, 1.23609e-07, 2.39888e-27, 2.39888e-27
0.438138, 0, 1.66126e-07, 9.12352e-27, 1.41421, -1.66126e-07, 9.12352e-27, 0, 9.12352e-27, 9.12352e-27, 9.12352e-27, 9.12352e-27, 9.12352e-27, 9.12352e-27, 9.12352e-27, 9.12352e-27, 9.12352e-27, 3.8767e-10, 9.12352e-27, 9.12352e-27, 2.91004e-11, 9.12352e-27, 9.12352e-27, 1.65709e-07, 9.12352e-27, 9.12352e-27
0.445996, 0, 2.21593e-07, 3.31309e-26, 1.41421, -2.21593e-07, 3.31309e-26, 0, 3.31309e-26, 3.31309e-26, 3.31309e-26, 3.31309e-26, 3.31309e-26, 1.34215e-13, 3.31309e-26, 3.31309e-26, 3.31309e-26, 5.2137e-10, 3.31309e-26, 3.31309e-26, 4.43002e-11, 3.31309e-26, 3.31309e-26, 2.21027e-07, 3.31309e-26, 3.31309e-26
0.453854, 0, 2.94106e-07, 1.15145e-25, 1.41421, -2.94106e-07, 1.15145e-25, 0, 1.15145e-25, 1.15145e-25, 1.15145e-25, 1.15145e-25, 1.15145e-25, 4.2024e-13, 1.15145e-25, 1.15145e-25, 1.15145e-25, 6.98245e-10, 1.15145e-25, 1.15145e-25, 6.72547e-11, 1.15145e-25, 1.15145e-25, 2.9334e-07, 1.15145e-25, 1.15145e-25
0.461711, 0, 3.90211e-07, 3.88449e-25, 1.41421, -3.90211e-07, 4.14532e-12, 0, 6.94125e-15, 6.01365e-14, 2.52354e-13, 3.88064e-11, 6.69141e-14, 6.92017e-12, 1.21265e-11, 3.7829e-12, 1.65897e-09, 9.313e-10, 8.47184e-13, 4.21223e-14, 1.01784e-10, 2.57721e-14, 2.51923e-15, 3.87435e-07, 3.88449e-25, 1.66871e-11
0.469569, 0, 5.16555e-07, 4.97892e-10, 1.41421, -5.16555e-07, 5.10834e-10, 4.97892e-10, 4.97914e-10, 4.9808e-10, 4.9868e-10, 6.19046e-10, 4.98101e-10, 5.18563e-10, 5.35751e-10, 5.09702e-10, 5.67719e-09, 1.73501e-09, 5.00537e-10, 4.98023e-10, 6.51405e-10, 4.98206e-10, 4.979e-10, 5.09724e-07, 4.97892e-10, 5.49989e-10
0.477427, 0, 6.82679e-07, 1.54784e-09, 1.41421, -6.82679e-07, 1.57912e-09, 1.54784e-09, 1.54789e-09, 1.54829e-09, 1.54974e-09, 1.8407e-09, 1.54834e-09, 1.5971e-09, 1.63936e-09, 1.57639e-09, 1.40678e-08, 3.18466e-09, 1.55423e-09, 1.54816e-09, 1.77848e-09, 1.54899e-09, 1.54786e-09, 6.67661e-07, 1.54784e-09, 1.67377e-09
0.485285, 0, 9.02552e-07, 3.72886e-09, 1.41421, -9.02552e-07, 3.79773e-09, 3.72886e-09, 3.72897e-09, 3.72985e-09, 3.73305e-09, 4.3736e-09, 3.72997e-09, 3.83653e-09, 3.93033e-09, 3.79171e-09, 3.12917e-08, 5.88602e-09, 3.74293e-09, 3.72956e-09, 4.07395e-09, 3.73189e-09, 3.7289e-09, 8.71099e-07, 3.72886e-09, 4.0061e-09
0.493143, 0, 1.19665e-06, 8.19256e-09, 1.41421, -1.19665e-06, 8.33713e-09, 8.19256e-09, 8.1928e-09, 8.19466e-09, 8.20136e-09, 9.546e-09, 8.19489e-09, 8.41755e-09, 8.61549e-09, 8.32449e-09, 6.60522e-08, 1.10244e-08, 8.22211e-09, 8.19403e-09, 8.70658e-09, 8.19962e-09, 8.19265e-09, 1.13254e-06, 8.19256e-09, 8.77455e-09
0.501, 0, 1.59656e-06, 1.71758e-08, 1.41421, -1.59656e-06, 1.74702e-08, 1.71758e-08, 1.71763e-08, 1.71801e-08, 1.71937e-08, 1.9932e-08, 1.71806e-08, 1.76322e-08, 1.80371e-08, 1.74445e-08, 1.35004e-07, 2.08792e-08, 1.7236e-08, 1.71788e-08, 1.79379e-08, 1.71912e-08, 1.7176e-08, 1.46833e-06, 1.71758e-08, 1.8361e-08
0.508858, 0, 2.15266e-06, 3.49485e-08, 1.41421, -2.15266e-06, 3.55344e-08, 3.49485e-08, 3.49495e-08, 3.4957e-08, 3.49842e-08, 4.04337e-08, 3.4958e-08, 3.59516e-08, 3.66626e-08, 3.54832e-08, 2.6944e-07, 3.97731e-08, 3.50683e-08, 3.49545e-08, 3.60727e-08, 3.49808e-08, 3.49489e-08, 1.90033e-06, 3.49485e-08, 3.73072e-08
0.516716, 0, 2.94722e-06, 6.95063e-08, 1.41421, -2.94722e-06, 7.06496e-08, 6.95063e-08, 6.95082e-08, 6.95229e-08, 6.95759e-08, 8.02092e-08, 6.95247e-08, 7.15738e-08, 7.28508e-08, 7.05496e-08, 5.27053e-07, 7.57677e-08, 6.97399e-08, 6.95179e-08, 7.11561e-08, 6.95718e-08, 6.9507e-08, 2.45844e-06, 6.95063e-08, 7.41086e-08
0.524574, 0, 4.11834e-06, 1.35553e-07, 1.41421, -4.11834e-06, 1.37743e-07, 1.35553e-07, 1.35556e-07, 1.35585e-07, 1.35686e-07, 1.56061e-07, 1.35588e-07, 1.40868e-07, 1.41961e-07, 1.37552e-07, 1.01226e-06, 1.43649e-07, 1.36e-07, 1.35575e-07, 1.37961e-07, 1.35683e-07, 1.35554e-07, 3.18508e-06, 1.35553e-07, 1.44371e-07
0.532432, 0, 5.89546e-06, 2.59611e-07, 1.41421, -5.89546e-06, 2.63736e-07, 2.59611e-07, 2.59618e-07, 2.59671e-07, 2.59862e-07, 2.98227e-07, 2.59677e-07, 2.71349e-07, 2.71678e-07, 2.63375e-07, 1.91045e-06, 2.70039e-07, 2.60454e-07, 2.59653e-07, 2.63109e-07, 2.59864e-07, 2.59613e-07, 4.14225e-06, 2.59611e-07, 2.76216e-07
0.540289, 0, 8.6639e-06, 4.88631e-07, 1.41421, -8.6639e-06, 4.96267e-07, 4.88631e-07, 4.88644e-07, 4.88742e-07, 4.89096e-07, 5.60118e-07, 4.88754e-07, 5.12884e-07, 5.1097e-07, 4.956e-07, 3.54466e-06, 5.02015e-07, 4.90192e-07, 4.88709e-07, 4.93685e-07, 4.89114e-07, 4.88636e-07, 5.42318e-06, 4.88631e-07, 5.19371e-07
0.548147, 0, 1.30651e-05, 9.04157e-07, 1.41421, -1.30651e-05, 9.18057e-07, 9.04157e-07, 9.0418e-07, 9.04358e-07, 9.05003e-07, 1.03428e-06, 9.04381e-07, 9.52411e-07, 9.4482e-07, 9.16842e-07, 6.46709e-06, 9.2127e-07, 9.06997e-07, 9.04298e-07, 9.11415e-07, 9.05063e-07, 9.04165e-07, 7.171e-06, 9.04157e-07, 9.60113e-07
0.556005, 0, 2.01551e-05, 1.64512e-06, 1.41421, -2.01551e-05, 1.67e-06, 1.64512e-06, 1.64516e-06, 1.64548e-06, 1.64663e-06, 1.87807e-06, 1.64552e-06, 1.73769e-06, 1.71791e-06, 1.66782e-06, 1.16037e-05, 1.66692e-06, 1.6502e-06, 1.64537e-06, 1.65548e-06, 1.64679e-06, 1.64513e-06, 9.60888e-06, 1.64512e-06, 1.74529e-06
0.563863, 0, 3.16528e-05, 2.94368e-06, 1.41421, -3.16528e-05, 2.98749e-06, 2.94368e-06, 2.94375e-06, 2.94431e-06, 2.94634e-06, 3.35382e-06, 2.94438e-06, 3.11899e-06, 3.07184e-06, 2.98366e-06, 2.04774e-05, 2.97136e-06, 2.95263e-06, 2.94412e-06, 2.9584e-06, 2.94671e-06, 2.9437e-06, 1.30864e-05, 2.94368e-06, 3.12004e-06
0.571721, 0, 5.03103e-05, 5.18036e-06, 1.41421, -5.03103e-05, 5.25624e-06, 5.18036e-06, 5.18049e-06, 5.18146e-06, 5.18498e-06, 5.89064e-06, 5.18159e-06, 5.50802e-06, 5.40232e-06, 5.2496e-06, 3.55445e-05, 5.21539e-06, 5.19587e-06, 5.18114e-06, 5.20117e-06, 5.18578e-06, 5.18041e-06, 1.81511e-05, 5.18036e-06, 5.48579e-06
0.579578, 0, 8.04604e-05, 8.96676e-06, 1.41421, -8.04604e-05, 9.096e-06, 8.96676e-06, 8.96697e-06, 8.96863e-06, 8.97462e-06, 1.01767e-05, 8.96884e-06, 9.57108e-06, 9.34483e-06, 9.0847e-06, 6.06897e-05, 9.01093e-06, 8.99317e-06, 8.96807e-06, 8.996e-06, 8.97627e-06, 8.96683e-06, 2.5655e-05, 8.96676e-06, 9.48702e-06
0.587436, 0, 0.00012881, 1.52665e-05, 1.41421, -0.00012881, 1.54831e-05, 1.52665e-05, 1.52669e-05, 1.52696e-05, 1.52797e-05, 1.72939e-05, 1.527e-05, 1.63663e-05, 1.59e-05, 1.54641e-05, 0.000101936, 1.5322e-05, 1.53108e-05, 1.52687e-05, 1.53074e-05, 1.5283e-05, 1.52666e-05, 3.6914e-05, 1.52665e-05, 1.61383e-05
0.595294, 0, 0.000205534, 2.55677e-05, 1.41421, -0.000205534, 2.59247e-05, 2.55677e-05, 2.55683e-05, 2.55729e-05, 2.55895e-05, 2.89096e-05, 2.55735e-05, 2.75423e-05, 2.6612e-05, 2.58935e-05, 0.000168433, 2.56374e-05, 2.56407e-05, 2.55714e-05, 2.56246e-05, 2.55957e-05, 2.55679e-05, 5.39236e-05, 2.55677e-05, 2.70048e-05
0.603152, 0, 0.000325797, 4.21229e-05, 1.41421, -0.000325797, 4.27018e-05, 4.21229e-05, 4.21239e-05, 4.21313e-05, 4.21581e-05, 4.75424e-05, 4.21323e-05, 4.56196e-05, 4.38164e-05, 4.26512e-05, 0.000273806, 4.221e-05, 4.22412e-05, 4.21288e-05, 4.22017e-05, 4.21699e-05, 4.21233e-05, 7.96754e-05, 4.21229e-05, 4.44533e-05
0.61101, 0, 0.000511747, 6.82721e-05, 1.41421, -0.000511747, 6.91957e-05, 6.82721e-05, 6.82736e-05, 6.82855e-05, 6.83283e-05, 7.6919e-05, 6.8287e-05, 7.43785e-05, 7.09741e-05, 6.9115e-05, 0.000437925, 6.83806e-05, 6.84608e-05, 6.82815e-05, 6.83806e-05, 6.83496e-05, 6.82726e-05, 0.000118575, 6.82721e-05, 7.19903e-05
