   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00189863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00595917, 0, 4.17907e-18, 0, 1.41421, -4.17907e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17516e-21, 0, 0, 6.38276e-23, 0, 0, 4.16983e-18, 0, 0
0.013817, 0, 7.70358e-18, 0, 1.41421, -7.70358e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69132e-20, 0, 0, 1.19373e-22, 0, 0, 7.68655e-18, 0, 0
0.0216748, 0, 1.40932e-17, 0, 1.41421, -1.40932e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09416e-20, 0, 0, 2.21603e-22, 0, 0, 1.4062e-17, 0, 0
0.0295326, 0, 2.55919e-17, 0, 1.41421, -2.55919e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61871e-20, 0, 0, 4.08411e-22, 0, 0, 2.55353e-17, 0, 0
0.0373904, 0, 4.61364e-17, 0, 1.41421, -4.61364e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01292e-19, 0, 0, 7.47384e-22, 0, 0, 4.60343e-17, 0, 0
0.0452482, 0, 8.25833e-17, 0, 1.41421, -8.25833e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81312e-19, 0, 0, 1.35825e-21, 0, 0, 8.24006e-17, 0, 0
0.0531059, 0, 1.46794e-16, 0, 1.41421, -1.46794e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22286e-19, 0, 0, 2.45171e-21, 0, 0, 1.46469e-16, 0, 0
0.0609637, 0, 2.59147e-16, 0, 1.41421, -2.59147e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68956e-19, 0, 0, 4.3961e-21, 0, 0, 2.58573e-16, 0, 0
0.0688215, 0, 4.54412e-16, 0, 1.41421, -4.54412e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97661e-19, 0, 0, 7.83117e-21, 0, 0, 4.53407e-16, 0, 0
0.0766793, 0, 7.9153e-16, 0, 1.41421, -7.9153e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7378e-18, 0, 0, 1.38611e-20, 0, 0, 7.89778e-16, 0, 0
0.0845371, 0, 1.36975e-15, 0, 1.41421, -1.36975e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00727e-18, 0, 0, 2.43794e-20, 0, 0, 1.36671e-15, 0, 0
0.0923949, 0, 2.35507e-15, 0, 1.41421, -2.35507e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17054e-18, 0, 0, 4.26134e-20, 0, 0, 2.34986e-15, 0, 0
0.100253, 0, 4.02341e-15, 0, 1.41421, -4.02341e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.83337e-18, 0, 0, 7.40295e-20, 0, 0, 4.0145e-15, 0, 0
0.108111, 0, 6.83036e-15, 0, 1.41421, -6.83036e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4996e-17, 0, 0, 1.27831e-19, 0, 0, 6.81524e-15, 0, 0
0.115968, 0, 1.15234e-14, 0, 1.41421, -1.15234e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52996e-17, 0, 0, 2.1942e-19, 0, 0, 1.14979e-14, 0, 0
0.123826, 0, 1.93212e-14, 0, 1.41421, -1.93212e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24196e-17, 0, 0, 3.74424e-19, 0, 0, 1.92784e-14, 0, 0
0.131684, 0, 3.21979e-14, 0, 1.41421, -3.21979e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06904e-17, 0, 0, 6.35237e-19, 0, 0, 3.21266e-14, 0, 0
0.139542, 0, 5.33314e-14, 0, 1.41421, -5.33314e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17089e-16, 0, 0, 1.07158e-18, 0, 0, 5.32133e-14, 0, 0
0.1474, 0, 8.78055e-14, 0, 1.41421, -8.78055e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92778e-16, 0, 0, 1.79747e-18, 0, 0, 8.76109e-14, 0, 0
0.155257, 0, 1.43702e-13, 0, 1.41421, -1.43702e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15502e-16, 0, 0, 2.99834e-18, 0, 0, 1.43384e-13, 0, 0
0.163115, 0, 2.33788e-13, 0, 1.41421, -2.33788e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13296e-16, 0, 0, 4.97408e-18, 0, 0, 2.3327e-13, 0, 0
0.170973, 0, 3.78111e-13, 0, 1.41421, -3.78111e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.30178e-16, 0, 0, 8.20718e-18, 0, 0, 3.77273e-13, 0, 0
0.178831, 0, 6.07948e-13, 0, 1.41421, -6.07948e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33483e-15, 0, 0, 1.34698e-17, 0, 0, 6.06599e-13, 0, 0
0.186688, 0, 9.71799e-13, 0, 1.41421, -9.71799e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13378e-15, 0, 0, 2.19914e-17, 0, 0, 9.69643e-13, 0, 0
0.194546, 0, 1.54441e-12, 0, 1.41421, -1.54441e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3912e-15, 0, 0, 3.572e-17, 0, 0, 1.54098e-12, 0, 0
0.202404, 0, 2.44026e-12, 0, 1.41421, -2.44026e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35856e-15, 0, 0, 5.77277e-17, 0, 0, 2.43484e-12, 0, 0
0.210262, 0, 3.83361e-12, 0, 1.41421, -3.83361e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.41875e-15, 0, 0, 9.28396e-17, 0, 0, 3.8251e-12, 0, 0
0.21812, 0, 5.98807e-12, 0, 1.41421, -5.98807e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31511e-14, 0, 0, 1.48598e-16, 0, 0, 5.97477e-12, 0, 0
0.225977, 0, 9.29996e-12, 0, 1.41421, -9.29996e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04268e-14, 0, 0, 2.36748e-16, 0, 0, 9.2793e-12, 0, 0
0.233835, 0, 1.43615e-11, 0, 1.41421, -1.43615e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15483e-14, 0, 0, 3.75514e-16, 0, 0, 1.43296e-11, 0, 0
0.241693, 0, 2.20522e-11, 0, 1.41421, -2.20522e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84503e-14, 0, 0, 5.93079e-16, 0, 0, 2.20032e-11, 0, 0
0.249551, 0, 3.36701e-11, 0, 1.41421, -3.36701e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39899e-14, 0, 0, 9.329e-16, 0, 0, 3.35952e-11, 0, 0
