   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_34.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0113691, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00347004, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00442904, 0, 6.27373e-30, 0, 1.41421, -6.27373e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74223e-32, 0, 0, 1.12622e-34, 1.53872e-35, 0, 6.24618e-30, 0, 0
0.0123281, 0, 5.77462e-29, 0, 1.41421, -5.77462e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52397e-31, 0, 0, 1.03658e-33, 2.42553e-33, 0, 5.74904e-29, 0, 0
0.0202272, 0, 3.34947e-28, 0, 1.41421, -3.34947e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46395e-30, 0, 0, 6.01239e-33, 2.20551e-32, 0, 3.33455e-28, 0, 0
0.0281263, 0, 1.56022e-27, 0, 1.41421, -1.56022e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.81911e-30, 0, 0, 2.80207e-32, 1.27946e-31, 0, 1.55324e-27, 0, 0
0.0360254, 0, 6.36225e-27, 0, 1.41421, -6.36225e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78066e-29, 0, 0, 1.14537e-31, 5.97319e-31, 0, 6.33373e-27, 0, 0
0.0439244, 0, 2.36719e-26, 0, 1.41421, -2.36719e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03459e-28, 0, 0, 4.27912e-31, 2.44201e-30, 0, 2.35656e-26, 0, 0
0.0518235, 0, 8.22472e-26, 0, 1.41421, -8.22472e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59461e-28, 0, 0, 1.49463e-30, 9.10853e-30, 0, 8.18771e-26, 0, 0
0.0597226, 0, 2.7071e-25, 0, 1.41421, -2.7071e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18313e-27, 0, 0, 4.94914e-30, 3.17309e-29, 0, 2.6949e-25, 0, 0
0.0676217, 0, 8.52164e-25, 0, 1.41421, -8.52164e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72433e-27, 0, 0, 1.56807e-29, 1.04728e-28, 0, 8.4832e-25, 0, 0
0.0755208, 0, 2.58274e-24, 0, 1.41421, -2.58274e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12877e-26, 0, 0, 4.78499e-29, 3.306e-28, 0, 2.57107e-24, 0, 0
0.0834199, 0, 7.57374e-24, 0, 1.41421, -7.57374e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31002e-26, 0, 0, 1.41312e-28, 1.00486e-27, 0, 7.53949e-24, 0, 0
0.0913189, 0, 2.1569e-23, 0, 1.41421, -2.1569e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42647e-26, 0, 0, 4.05377e-28, 2.95525e-27, 0, 2.14714e-23, 0, 0
0.099218, 0, 5.98285e-23, 0, 1.41421, -5.98285e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61472e-25, 0, 0, 1.13289e-27, 8.44096e-27, 0, 5.95575e-23, 0, 0
0.107117, 0, 1.62017e-22, 0, 1.41421, -1.62017e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08068e-25, 0, 0, 3.09153e-27, 2.34838e-26, 0, 1.61282e-22, 0, 0
0.115016, 0, 4.29157e-22, 0, 1.41421, -4.29157e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87556e-24, 0, 0, 8.25381e-27, 6.37886e-26, 0, 4.2721e-22, 0, 0
0.122915, 0, 1.1137e-21, 0, 1.41421, -1.1137e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86723e-24, 0, 0, 2.15934e-26, 1.69493e-25, 0, 1.10864e-21, 0, 0
0.130814, 0, 2.83531e-21, 0, 1.41421, -2.83531e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23911e-23, 0, 0, 5.54318e-26, 4.41256e-25, 0, 2.82242e-21, 0, 0
0.138713, 0, 7.08934e-21, 0, 1.41421, -7.08934e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09824e-23, 0, 0, 1.39787e-25, 1.12706e-24, 0, 7.05709e-21, 0, 0
0.146613, 0, 1.74266e-20, 0, 1.41421, -1.74266e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61589e-23, 0, 0, 3.46639e-25, 2.82763e-24, 0, 1.73473e-20, 0, 0
0.154512, 0, 4.21492e-20, 0, 1.41421, -4.21492e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84203e-22, 0, 0, 8.4598e-25, 6.97504e-24, 0, 4.19572e-20, 0, 0
0.162411, 0, 1.00382e-19, 0, 1.41421, -1.00382e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38694e-22, 0, 0, 2.03349e-24, 1.69314e-23, 0, 9.99247e-20, 0, 0
0.17031, 0, 2.35558e-19, 0, 1.41421, -2.35558e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02944e-21, 0, 0, 4.81734e-24, 4.04751e-23, 0, 2.34483e-19, 0, 0
0.178209, 0, 5.44951e-19, 0, 1.41421, -5.44951e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38155e-21, 0, 0, 1.12541e-23, 9.53496e-23, 0, 5.42463e-19, 0, 0
0.186108, 0, 1.24353e-18, 0, 1.41421, -1.24353e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43445e-21, 0, 0, 2.59403e-23, 2.21482e-22, 0, 1.23785e-18, 0, 0
0.194007, 0, 2.80018e-18, 0, 1.41421, -2.80018e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22373e-20, 0, 0, 5.90201e-23, 5.0754e-22, 0, 2.78737e-18, 0, 0
0.201906, 0, 6.2247e-18, 0, 1.41421, -6.2247e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72029e-20, 0, 0, 1.32606e-22, 1.14793e-21, 0, 6.19621e-18, 0, 0
