   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_329.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.00870545, 0, 1.74586e-21, 0, 1.41421, -1.74586e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0084e-27, 0, 4.06619e-22, 0, 1.33923e-21, 0, 0
0.0165661, 0, 3.92418e-21, 0, 1.41421, -3.92418e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82659e-27, 0, 9.27695e-22, 0, 2.99648e-21, 0, 0
0.0244268, 0, 8.69803e-21, 0, 1.41421, -8.69803e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52784e-26, 0, 2.08621e-21, 0, 6.6118e-21, 0, 0
0.0322875, 0, 1.90243e-20, 0, 1.41421, -1.90243e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37476e-26, 0, 4.62771e-21, 0, 1.43966e-20, 0, 0
0.0401482, 0, 4.10835e-20, 0, 1.41421, -4.10835e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36108e-26, 0, 1.01324e-20, 0, 3.09509e-20, 0, 0
0.0480089, 0, 8.76432e-20, 0, 1.41421, -8.76432e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58635e-25, 0, 2.19105e-20, 0, 6.57325e-20, 0, 0
0.0558695, 0, 1.84784e-19, 0, 1.41421, -1.84784e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37919e-25, 0, 4.68176e-20, 0, 1.37966e-19, 0, 0
0.0637302, 0, 3.85203e-19, 0, 1.41421, -3.85203e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11808e-25, 0, 9.88979e-20, 0, 2.86305e-19, 0, 0
0.0715909, 0, 7.94243e-19, 0, 1.41421, -7.94243e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48323e-24, 0, 2.06617e-19, 0, 5.87624e-19, 0, 0
0.0794516, 0, 1.62034e-18, 0, 1.41421, -1.62034e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05843e-24, 0, 4.27086e-19, 0, 1.19325e-18, 0, 0
0.0873123, 0, 3.33769e-18, 0, 1.41421, -3.33769e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38874e-24, 0, 8.94734e-19, 0, 2.44295e-18, 0, 0
