   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_123.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00329902, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00456405, 0, 6.1932e-20, 0, 1.41421, -6.1932e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49768e-22, 0, 0, 7.96911e-25, 8.32655e-22, 0, 6.07488e-20, 0, 0
0.0124271, 0, 1.28411e-19, 0, 1.41421, -1.28411e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.25015e-22, 0, 0, 1.67263e-24, 1.76111e-21, 0, 1.25923e-19, 0, 0
0.0202902, 0, 2.63248e-19, 0, 1.41421, -2.63248e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4859e-21, 0, 0, 3.47168e-24, 3.68188e-21, 0, 2.58077e-19, 0, 0
0.0281533, 0, 5.33817e-19, 0, 1.41421, -5.33817e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01229e-21, 0, 0, 7.12886e-24, 7.61274e-21, 0, 5.23184e-19, 0, 0
0.0360163, 0, 1.07114e-18, 0, 1.41421, -1.07114e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04265e-21, 0, 0, 1.44881e-23, 1.55738e-20, 0, 1.04951e-18, 0, 0
0.0438794, 0, 2.12754e-18, 0, 1.41421, -2.12754e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19987e-20, 0, 0, 2.91518e-23, 3.15365e-20, 0, 2.08397e-18, 0, 0
0.0517425, 0, 4.18429e-18, 0, 1.41421, -4.18429e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35912e-20, 0, 0, 5.80935e-23, 6.32355e-20, 0, 4.0974e-18, 0, 0
0.0596055, 0, 8.15086e-18, 0, 1.41421, -8.15086e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.59411e-20, 0, 0, 1.1469e-22, 1.25599e-19, 0, 7.97921e-18, 0, 0
0.0674686, 0, 1.57302e-17, 0, 1.41421, -1.57302e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86333e-20, 0, 0, 2.24375e-22, 2.47186e-19, 0, 1.53941e-17, 0, 0
0.0753317, 0, 3.00826e-17, 0, 1.41421, -3.00826e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6945e-19, 0, 0, 4.35092e-22, 4.8217e-19, 0, 2.94306e-17, 0, 0
0.0831948, 0, 5.7022e-17, 0, 1.41421, -5.7022e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21088e-19, 0, 0, 8.36457e-22, 9.32458e-19, 0, 5.57676e-17, 0, 0
0.0910578, 0, 1.07151e-16, 0, 1.41421, -1.07151e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03157e-19, 0, 0, 1.59459e-21, 1.7882e-18, 0, 1.04758e-16, 0, 0
0.0989209, 0, 1.99646e-16, 0, 1.41421, -1.99646e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12341e-18, 0, 0, 3.01497e-21, 3.4014e-18, 0, 1.95118e-16, 0, 0
0.106784, 0, 3.68893e-16, 0, 1.41421, -3.68893e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.075e-18, 0, 0, 5.65479e-21, 6.41866e-18, 0, 3.60393e-16, 0, 0
0.114647, 0, 6.76051e-16, 0, 1.41421, -6.76051e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80129e-18, 0, 0, 1.05224e-20, 1.20187e-17, 0, 6.60221e-16, 0, 0
0.12251, 0, 1.22903e-15, 0, 1.41421, -1.22903e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90777e-18, 0, 0, 1.94289e-20, 2.23345e-17, 0, 1.19977e-15, 0, 0
0.130373, 0, 2.21665e-15, 0, 1.41421, -2.21665e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24535e-17, 0, 0, 3.56015e-20, 4.11975e-17, 0, 2.16296e-15, 0, 0
0.138236, 0, 3.96674e-15, 0, 1.41421, -3.96674e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22759e-17, 0, 0, 6.47484e-20, 7.54412e-17, 0, 3.86896e-15, 0, 0
0.146099, 0, 7.044e-15, 0, 1.41421, -7.044e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95384e-17, 0, 0, 1.16891e-19, 1.37168e-16, 0, 6.86718e-15, 0, 0
0.153962, 0, 1.24135e-14, 0, 1.41421, -1.24135e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96435e-17, 0, 0, 2.0949e-19, 2.47664e-16, 0, 1.20959e-14, 0, 0
0.161825, 0, 2.17117e-14, 0, 1.41421, -2.17117e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21747e-16, 0, 0, 3.72766e-19, 4.44114e-16, 0, 2.11454e-14, 0, 0
0.169689, 0, 3.76925e-14, 0, 1.41421, -3.76925e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11244e-16, 0, 0, 6.58628e-19, 7.91045e-16, 0, 3.66895e-14, 0, 0
0.177552, 0, 6.49547e-14, 0, 1.41421, -6.49547e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63825e-16, 0, 0, 1.15564e-18, 1.3997e-15, 0, 6.319e-14, 0, 0
0.185415, 0, 1.11119e-13, 0, 1.41421, -1.11119e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22027e-16, 0, 0, 2.01381e-18, 2.4606e-15, 0, 1.08035e-13, 0, 0
0.193278, 0, 1.88721e-13, 0, 1.41421, -1.88721e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05576e-15, 0, 0, 3.48559e-18, 4.298e-15, 0, 1.83364e-13, 0, 0
0.201141, 0, 3.1822e-13, 0, 1.41421, -3.1822e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77901e-15, 0, 0, 5.99291e-18, 7.46026e-15, 0, 3.08975e-13, 0, 0
0.209004, 0, 5.32766e-13, 0, 1.41421, -5.32766e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97631e-15, 0, 0, 1.02364e-17, 1.28691e-14, 0, 5.1691e-13, 0, 0
