   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_248.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00191385, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00595059, 0, 4.78433e-18, 0, 1.41421, -4.78433e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.60219e-20, 0, 0, 2.41256e-23, 4.94297e-22, 0, 4.76779e-18, 0, 0
0.013815, 0, 1.00923e-17, 0, 1.41421, -1.00923e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.37975e-20, 0, 0, 5.17276e-23, 1.0659e-21, 0, 1.00574e-17, 0, 0
0.0216795, 0, 2.10285e-17, 0, 1.41421, -2.10285e-17, 0, 0, 0, 0, 0, 0, 0, 0, 7.04207e-20, 0, 0, 1.09573e-22, 2.27044e-21, 0, 2.09557e-17, 0, 0
0.0295439, 0, 4.32954e-17, 0, 1.41421, -4.32954e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.44988e-19, 0, 0, 2.29399e-22, 4.77937e-21, 0, 4.31454e-17, 0, 0
0.0374084, 0, 8.8113e-17, 0, 1.41421, -8.8113e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.95073e-19, 0, 0, 4.74831e-22, 9.94653e-21, 0, 8.78075e-17, 0, 0
0.0452728, 0, 1.804e-16, 0, 1.41421, -1.804e-16, 0, 0, 0, 0, 0, 0, 0, 0, 6.0412e-19, 0, 0, 9.93641e-22, 2.09627e-20, 0, 1.79774e-16, 0, 0
0.0531372, 0, 3.58452e-16, 0, 1.41421, -3.58452e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.20038e-18, 0, 0, 2.00846e-21, 4.26053e-20, 0, 3.57207e-16, 0, 0
0.0610017, 0, 7.04754e-16, 0, 1.41421, -7.04754e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.36006e-18, 0, 0, 4.01802e-21, 8.57132e-20, 0, 7.02304e-16, 0, 0
0.0688661, 0, 1.37137e-15, 0, 1.41421, -1.37137e-15, 0, 0, 0, 0, 0, 0, 0, 0, 4.59238e-18, 0, 0, 7.95753e-21, 1.70733e-19, 0, 1.3666e-15, 0, 0
0.0767306, 0, 2.64162e-15, 0, 1.41421, -2.64162e-15, 0, 0, 0, 0, 0, 0, 0, 0, 8.84612e-18, 0, 0, 1.56047e-20, 3.36811e-19, 0, 2.63242e-15, 0, 0
0.084595, 0, 5.03818e-15, 0, 1.41421, -5.03818e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.68715e-17, 0, 0, 3.03061e-20, 6.58205e-19, 0, 5.02062e-15, 0, 0
0.0924594, 0, 9.51572e-15, 0, 1.41421, -9.51572e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.18655e-17, 0, 0, 5.83028e-20, 1.27451e-18, 0, 9.48252e-15, 0, 0
0.100324, 0, 1.78011e-14, 0, 1.41421, -1.78011e-14, 0, 0, 0, 0, 0, 0, 0, 0, 5.96109e-17, 0, 0, 1.11124e-19, 2.44581e-18, 0, 1.7739e-14, 0, 0
0.108188, 0, 3.29886e-14, 0, 1.41421, -3.29886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.10469e-16, 0, 0, 2.09879e-19, 4.65271e-18, 0, 3.28732e-14, 0, 0
0.116053, 0, 6.05696e-14, 0, 1.41421, -6.05696e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.02828e-16, 0, 0, 3.92859e-19, 8.77543e-18, 0, 6.03576e-14, 0, 0
0.123917, 0, 1.102e-13, 0, 1.41421, -1.102e-13, 0, 0, 0, 0, 0, 0, 0, 0, 3.69024e-16, 0, 0, 7.28919e-19, 1.64132e-17, 0, 1.09814e-13, 0, 0
0.131782, 0, 1.98703e-13, 0, 1.41421, -1.98703e-13, 0, 0, 0, 0, 0, 0, 0, 0, 6.65389e-16, 0, 0, 1.34079e-18, 3.04481e-17, 0, 1.98006e-13, 0, 0
0.139646, 0, 3.55122e-13, 0, 1.41421, -3.55122e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.18917e-15, 0, 0, 2.44536e-18, 5.60326e-17, 0, 3.53874e-13, 0, 0
0.147511, 0, 6.29148e-13, 0, 1.41421, -6.29148e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.10678e-15, 0, 0, 4.4227e-18, 1.02308e-16, 0, 6.26934e-13, 0, 0
0.155375, 0, 1.10504e-12, 0, 1.41421, -1.10504e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.70036e-15, 0, 0, 7.93337e-18, 1.85368e-16, 0, 1.10115e-12, 0, 0
0.163239, 0, 1.92443e-12, 0, 1.41421, -1.92443e-12, 0, 0, 0, 0, 0, 0, 0, 0, 6.44417e-15, 0, 0, 1.41159e-17, 3.3333e-16, 0, 1.91764e-12, 0, 0
0.171104, 0, 3.32957e-12, 0, 1.41421, -3.32957e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.11495e-14, 0, 0, 2.50005e-17, 5.97653e-16, 0, 3.3178e-12, 0, 0
0.178968, 0, 5.70085e-12, 0, 1.41421, -5.70085e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.909e-14, 0, 0, 4.37727e-17, 1.05864e-15, 0, 5.68066e-12, 0, 0
0.186833, 0, 9.68109e-12, 0, 1.41421, -9.68109e-12, 0, 0, 0, 0, 0, 0, 0, 0, 3.24186e-14, 0, 0, 7.6054e-17, 1.86188e-15, 0, 9.64674e-12, 0, 0
0.194697, 0, 1.63072e-11, 0, 1.41421, -1.63072e-11, 0, 0, 0, 0, 0, 0, 0, 0, 5.46077e-14, 0, 0, 1.31148e-16, 3.25184e-15, 0, 1.62492e-11, 0, 0
0.202562, 0, 2.72482e-11, 0, 1.41421, -2.72482e-11, 0, 0, 0, 0, 0, 0, 0, 0, 9.12477e-14, 0, 0, 2.24483e-16, 5.64055e-15, 0, 2.71511e-11, 0, 0
0.210426, 0, 4.51683e-11, 0, 1.41421, -4.51683e-11, 0, 0, 0, 0, 0, 0, 0, 0, 1.51262e-13, 0, 0, 3.81459e-16, 9.71809e-15, 0, 4.5007e-11, 0, 0
0.21829, 0, 7.42847e-11, 0, 1.41421, -7.42847e-11, 0, 0, 0, 0, 0, 0, 0, 0, 2.48779e-13, 0, 0, 6.43611e-16, 1.66326e-14, 0, 7.40187e-11, 0, 0
0.226155, 0, 1.21217e-10, 0, 1.41421, -1.21217e-10, 0, 0, 0, 0, 0, 0, 0, 0, 4.05979e-13, 0, 0, 1.07843e-15, 2.82821e-14, 0, 1.20782e-10, 0, 0
0.234019, 0, 1.96272e-10, 0, 1.41421, -1.96272e-10, 0, 0, 0, 0, 0, 0, 0, 0, 6.57402e-13, 0, 0, 1.79487e-15, 4.77851e-14, 0, 1.95565e-10, 0, 0
0.241884, 0, 3.15362e-10, 0, 1.41421, -3.15362e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.05639e-12, 0, 0, 2.9678e-15, 8.02338e-14, 0, 3.14222e-10, 0, 0
0.249748, 0, 5.02858e-10, 0, 1.41421, -5.02858e-10, 0, 0, 0, 0, 0, 0, 0, 0, 1.68469e-12, 0, 0, 4.87639e-15, 1.33897e-13, 0, 5.01034e-10, 0, 0
0.257613, 0, 7.95783e-10, 0, 1.41421, -7.95783e-10, 0, 0, 0, 0, 0, 0, 0, 0, 2.66652e-12, 0, 0, 7.96411e-15, 2.22124e-13, 0, 7.92886e-10, 0, 0
0.265477, 0, 1.24992e-09, 0, 1.41421, -1.24992e-09, 0, 0, 0, 0, 0, 0, 0, 0, 4.18917e-12, 0, 0, 1.29323e-14, 3.66354e-13, 0, 1.24535e-09, 0, 0
0.273342, 0, 1.94866e-09, 0, 1.41421, -1.94866e-09, 0, 0, 0, 0, 0, 0, 0, 0, 6.53281e-12, 0, 0, 2.08858e-14, 6.00847e-13, 0, 1.9415e-09, 0, 0
0.281206, 0, 3.01565e-09, 0, 1.41421, -3.01565e-09, 0, 0, 0, 0, 0, 0, 0, 0, 1.01134e-11, 0, 0, 3.35602e-14, 9.80088e-13, 0, 3.00453e-09, 0, 0
0.28907, 0, 4.63281e-09, 1.48538e-43, 1.41421, -4.63281e-09, 0, 1.48538e-43, 1.48538e-43, 1.48538e-43, 1.48538e-43, 1.48538e-43, 1.48538e-43, 1.48538e-43, 1.55434e-11, 1.48538e-43, 1.48538e-43, 5.3674e-14, 1.59034e-12, 1.48538e-43, 4.61562e-09, 1.48538e-43, 1.48538e-43
0.296935, 0, 7.06652e-09, 1.97695e-41, 1.41421, -7.06652e-09, 0, 1.97695e-41, 1.97695e-41, 1.97695e-41, 1.97695e-41, 1.97695e-41, 1.97695e-41, 1.97695e-41, 2.37218e-11, 1.97695e-41, 1.97695e-41, 8.5611e-14, 2.57122e-12, 1.97695e-41, 7.04014e-09, 1.97695e-41, 1.97695e-41
0.304799, 0, 1.06998e-08, 2.78849e-40, 1.41421, -1.06998e-08, 0, 2.78849e-40, 2.78849e-40, 2.78849e-40, 2.78849e-40, 2.78849e-40, 2.78849e-40, 2.78849e-40, 3.59416e-11, 2.78849e-40, 2.78849e-40, 1.3583e-13, 4.13139e-12, 2.78849e-40, 1.06595e-08, 2.78849e-40, 2.78849e-40
0.312664, 0, 1.60857e-08, 3.52859e-39, 1.41421, -1.60857e-08, 0, 3.52859e-39, 3.52859e-39, 3.52859e-39, 3.52859e-39, 3.52859e-39, 3.52859e-39, 3.52859e-39, 5.40761e-11, 3.52859e-39, 3.52859e-39, 2.14795e-13, 6.60807e-12, 3.52859e-39, 1.60248e-08, 3.52859e-39, 3.52859e-39
0.320528, 0, 2.4012e-08, 4.01863e-38, 1.41421, -2.4012e-08, 0, 4.01863e-38, 4.01863e-38, 4.01863e-38, 4.01863e-38, 4.01863e-38, 4.01863e-38, 4.01863e-38, 8.07996e-11, 4.01863e-38, 4.01863e-38, 3.38718e-13, 1.0524e-11, 4.01863e-38, 2.39203e-08, 4.01863e-38, 4.01863e-38
