   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_41.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000113119, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00796218, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0158113, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0236603, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0315094, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0393585, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0472075, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0550566, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0629056, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0707547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0786038, 0, 6.99933e-30, 0, 1.41421, -6.99933e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36145e-32, 0, 0, 8.29524e-35, 3.34411e-35, 0, 6.9256e-30, 0, 0, 0
0.0864528, 0, 7.56593e-29, 0, 1.41421, -7.56593e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9569e-31, 0, 0, 8.96623e-34, 4.68148e-33, 0, 7.4858e-29, 0, 0, 0
0.0943019, 0, 5.13295e-28, 0, 1.41421, -5.13295e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.398e-30, 0, 0, 6.08273e-33, 5.07032e-32, 0, 5.0784e-28, 0, 0, 0
0.102151, 0, 2.78346e-27, 0, 1.41421, -2.78346e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92711e-29, 0, 0, 3.29841e-32, 3.47205e-31, 0, 2.75381e-27, 0, 0, 0
0.11, 0, 1.3147e-26, 0, 1.41421, -1.3147e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38252e-28, 0, 0, 1.55956e-31, 1.89777e-30, 0, 1.30067e-26, 0, 0, 0
0.117849, 0, 5.63653e-26, 0, 1.41421, -5.63653e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92722e-28, 0, 0, 6.701e-31, 9.01977e-30, 0, 5.57629e-26, 0, 0, 0
0.125698, 0, 2.24495e-25, 0, 1.41421, -2.24495e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3607e-27, 0, 0, 2.6771e-30, 3.88626e-29, 0, 2.22093e-25, 0, 0, 0
0.133547, 0, 8.42696e-25, 0, 1.41421, -8.42696e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86134e-27, 0, 0, 1.00863e-29, 1.55408e-28, 0, 8.33669e-25, 0, 0, 0
0.141396, 0, 3.01019e-24, 0, 1.41421, -3.01019e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16532e-26, 0, 0, 3.61794e-29, 5.85366e-28, 0, 2.97791e-24, 0, 0, 0
0.149245, 0, 1.03026e-23, 0, 1.41421, -1.03026e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08334e-25, 0, 0, 1.24389e-28, 2.09734e-27, 0, 1.0192e-23, 0, 0, 0
0.157094, 0, 3.39567e-23, 0, 1.41421, -3.39567e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57061e-25, 0, 0, 4.11979e-28, 7.19806e-27, 0, 3.35921e-23, 0, 0, 0
0.164944, 0, 1.08197e-22, 0, 1.41421, -1.08197e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1377e-24, 0, 0, 1.3195e-27, 2.37848e-26, 0, 1.07035e-22, 0, 0, 0
0.172793, 0, 3.34315e-22, 0, 1.41421, -3.34315e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51533e-24, 0, 0, 4.09943e-27, 7.59695e-26, 0, 3.3072e-22, 0, 0, 0
