   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_148.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00343511, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00443002, 0, 1.90096e-20, 0, 1.41421, -1.90096e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41371e-22, 0, 0, 8.08187e-26, 3.11508e-22, 0, 1.85567e-20, 0, 0, 0
0.0122951, 0, 4.05934e-20, 0, 1.41421, -4.05934e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01783e-22, 0, 0, 1.74629e-25, 6.78866e-22, 0, 3.96126e-20, 0, 0, 0
0.0201603, 0, 8.56483e-20, 0, 1.41421, -8.56483e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36515e-22, 0, 0, 3.72895e-25, 1.46126e-21, 0, 8.35502e-20, 0, 0, 0
0.0280254, 0, 1.7863e-19, 0, 1.41421, -1.7863e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32707e-21, 0, 0, 7.87263e-25, 3.10834e-21, 0, 1.74194e-19, 0, 0, 0
0.0358905, 0, 3.68417e-19, 0, 1.41421, -3.68417e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73607e-21, 0, 0, 1.64397e-24, 6.53729e-21, 0, 3.59142e-19, 0, 0, 0
0.0437556, 0, 7.51674e-19, 0, 1.41421, -7.51674e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58038e-21, 0, 0, 3.39678e-24, 1.35994e-20, 0, 7.32491e-19, 0, 0, 0
0.0516208, 0, 1.51763e-18, 0, 1.41421, -1.51763e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12628e-20, 0, 0, 6.94679e-24, 2.7994e-20, 0, 1.47837e-18, 0, 0, 0
0.0594859, 0, 3.03306e-18, 0, 1.41421, -3.03306e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25008e-20, 0, 0, 1.40662e-23, 5.70414e-20, 0, 2.9535e-18, 0, 0, 0
0.067351, 0, 6.00188e-18, 0, 1.41421, -6.00188e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45084e-20, 0, 0, 2.82078e-23, 1.1509e-19, 0, 5.84226e-18, 0, 0, 0
