   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_372.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00683103, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00103341, 0, 6.49951e-21, 0, 1.41421, -6.49951e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45584e-23, 0, 0, 0, 1.56636e-21, 0, 4.8686e-21, 0, 0, 0
0.00889785, 0, 1.4111e-20, 0, 1.41421, -1.4111e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39538e-22, 0, 0, 0, 3.44831e-21, 0, 1.05231e-20, 0, 0, 0
0.0167623, 0, 3.02557e-20, 0, 1.41421, -3.02557e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9786e-22, 0, 0, 0, 7.49514e-21, 0, 2.24627e-20, 0, 0, 0
0.0246267, 0, 6.40998e-20, 0, 1.41421, -6.40998e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28236e-22, 0, 0, 0, 1.60938e-20, 0, 4.73777e-20, 0, 0, 0
0.0324912, 0, 1.34247e-19, 0, 1.41421, -1.34247e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30985e-21, 0, 0, 0, 3.41564e-20, 0, 9.87807e-20, 0, 0, 0
0.0403556, 0, 2.78056e-19, 0, 1.41421, -2.78056e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70073e-21, 0, 0, 0, 7.16832e-20, 0, 2.03672e-19, 0, 0, 0
0.04822, 0, 5.69771e-19, 0, 1.41421, -5.69771e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50878e-21, 0, 0, 0, 1.48825e-19, 0, 4.15438e-19, 0, 0, 0
0.0560845, 0, 1.15547e-18, 0, 1.41421, -1.15547e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11196e-20, 0, 0, 0, 3.05783e-19, 0, 8.38571e-19, 0, 0, 0
0.0639489, 0, 2.31976e-18, 0, 1.41421, -2.31976e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22182e-20, 0, 0, 0, 6.21986e-19, 0, 1.67556e-18, 0, 0, 0
0.0718134, 0, 4.61183e-18, 0, 1.41421, -4.61183e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39572e-20, 0, 0, 0, 1.25289e-18, 0, 3.31498e-18, 0, 0, 0
0.0796778, 0, 9.08158e-18, 0, 1.41421, -9.08158e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61309e-20, 0, 0, 0, 2.5e-18, 0, 6.49546e-18, 0, 0, 0
0.0875423, 0, 1.77179e-17, 0, 1.41421, -1.77179e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67183e-19, 0, 0, 0, 4.9428e-18, 0, 1.26079e-17, 0, 0, 0
0.0954067, 0, 3.42545e-17, 0, 1.41421, -3.42545e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21526e-19, 0, 0, 0, 9.68548e-18, 0, 2.42475e-17, 0, 0, 0
0.103271, 0, 6.564e-17, 0, 1.41421, -6.564e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12793e-19, 0, 0, 0, 1.88141e-17, 0, 4.62131e-17, 0, 0, 0
0.111136, 0, 1.24694e-16, 0, 1.41421, -1.24694e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1576e-18, 0, 0, 0, 3.6237e-17, 0, 8.72991e-17, 0, 0, 0
0.119, 0, 2.34867e-16, 0, 1.41421, -2.34867e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1678e-18, 0, 0, 0, 6.92172e-17, 0, 1.63482e-16, 0, 0, 0
0.126864, 0, 4.42554e-16, 0, 1.41421, -4.42554e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05571e-18, 0, 0, 0, 1.32641e-16, 0, 3.05857e-16, 0, 0, 0
0.134729, 0, 8.19133e-16, 0, 1.41421, -8.19133e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46028e-18, 0, 0, 0, 2.49062e-16, 0, 5.6261e-16, 0, 0, 0
0.142593, 0, 1.50412e-15, 0, 1.41421, -1.50412e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36105e-17, 0, 0, 0, 4.64088e-16, 0, 1.02642e-15, 0, 0, 0
0.150458, 0, 2.74034e-15, 0, 1.41421, -2.74034e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.463e-17, 0, 0, 0, 8.58257e-16, 0, 1.85745e-15, 0, 0, 0
0.158322, 0, 4.95418e-15, 0, 1.41421, -4.95418e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42153e-17, 0, 0, 0, 1.5755e-15, 0, 3.33446e-15, 0, 0, 0
0.166187, 0, 8.88861e-15, 0, 1.41421, -8.88861e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87473e-17, 0, 0, 0, 2.87119e-15, 0, 5.93867e-15, 0, 0, 0
0.174051, 0, 1.58284e-14, 0, 1.41421, -1.58284e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39152e-16, 0, 0, 0, 5.19517e-15, 0, 1.0494e-14, 0, 0, 0
0.181916, 0, 2.79785e-14, 0, 1.41421, -2.79785e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43988e-16, 0, 0, 0, 9.3344e-15, 0, 1.84002e-14, 0, 0, 0
0.18978, 0, 4.90955e-14, 0, 1.41421, -4.90955e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24524e-16, 0, 0, 0, 1.66559e-14, 0, 3.20151e-14, 0, 0, 0
0.197644, 0, 8.55323e-14, 0, 1.41421, -8.55323e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33031e-16, 0, 0, 0, 2.95186e-14, 0, 5.52807e-14, 0, 0, 0
0.205509, 0, 1.47955e-13, 0, 1.41421, -1.47955e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25618e-15, 0, 0, 0, 5.19657e-14, 0, 9.4733e-14, 0, 0, 0
0.213373, 0, 2.54147e-13, 0, 1.41421, -2.54147e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13659e-15, 0, 0, 0, 9.08846e-14, 0, 1.61126e-13, 0, 0, 0
0.221238, 0, 4.33551e-13, 0, 1.41421, -4.33551e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60704e-15, 0, 0, 0, 1.57931e-13, 0, 2.72012e-13, 0, 0, 0
0.229102, 0, 7.34568e-13, 0, 1.41421, -7.34568e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04453e-15, 0, 0, 0, 2.72705e-13, 0, 4.55819e-13, 0, 0, 0
0.236967, 0, 1.23625e-12, 0, 1.41421, -1.23625e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00549e-14, 0, 0, 0, 4.67968e-13, 0, 7.58223e-13, 0, 0, 0
0.244831, 0, 2.06682e-12, 0, 1.41421, -2.06682e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66043e-14, 0, 0, 0, 7.98165e-13, 0, 1.25205e-12, 0, 0, 0
0.252696, 0, 3.433e-12, 0, 1.41421, -3.433e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72212e-14, 0, 0, 0, 1.35327e-12, 0, 2.05251e-12, 0, 0, 0
0.26056, 0, 5.66586e-12, 0, 1.41421, -5.66586e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43053e-14, 0, 0, 0, 2.28111e-12, 0, 3.34045e-12, 0, 0, 0
0.268424, 0, 9.29258e-12, 0, 1.41421, -9.29258e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15956e-14, 0, 0, 0, 3.82343e-12, 0, 5.39755e-12, 0, 0, 0
0.276289, 0, 1.51476e-11, 0, 1.41421, -1.51476e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14873e-13, 0, 0, 0, 6.37348e-12, 0, 8.6592e-12, 0, 0, 0
0.284153, 0, 2.45443e-11, 0, 1.41421, -2.45443e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83006e-13, 0, 0, 0, 1.05681e-11, 0, 1.37931e-11, 0, 0, 0
0.292018, 0, 3.95395e-11, 0, 1.41421, -3.95395e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89501e-13, 0, 0, 0, 1.74345e-11, 0, 2.18156e-11, 0, 0, 0
